"Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","CellAge_symbol"
826,"CAPNS1","calpain small subunit 1","Yes","Oncogene-induced","Induces",20107320,"CAPNS1"
826,"CAPNS1","calpain small subunit 1","Yes","Stress-induced","Induces",20107320,"CAPNS1"
79800,"CARF","calcium responsive transcription factor","No","Replicative","Induces",19001376,"CARF"
79800,"CARF","calcium responsive transcription factor","No","Stress-induced","Induces",19001376,"CARF"
1017,"CDK2","cyclin dependent kinase 2","No","Replicative","Inhibits",25149358,"CDK2"
1017,"CDK2","cyclin dependent kinase 2","No","Stress-induced","Inhibits",25149358,"CDK2"
1017,"CDK2","cyclin dependent kinase 2","No","Oncogene-induced","Inhibits",25149358,"CDK2"
1026,"CDKN1A","cyclin dependent kinase inhibitor 1A","No","Replicative","Induces",9242615,"CDKN1A"
1026,"CDKN1A","cyclin dependent kinase inhibitor 1A","No","Stress-induced","Induces",9242615,"CDKN1A"
1026,"CDKN1A","cyclin dependent kinase inhibitor 1A","No","Oncogene-induced","Induces",9242615,"CDKN1A"
1029,"CDKN2A","cyclin dependent kinase inhibitor 2A","No","Replicative","Induces",9607312,"CDKN2A"
1029,"CDKN2A","cyclin dependent kinase inhibitor 2A","No","Stress-induced","Induces",9607312,"CDKN2A"
1029,"CDKN2A","cyclin dependent kinase inhibitor 2A","No","Oncogene-induced","Induces",9607312,"CDKN2A"
55602,"CDKN2AIP","CDKN2A interacting protein","No","Replicative","Induces",19001376,"CDKN2AIP"
55602,"CDKN2AIP","CDKN2A interacting protein","No","Stress-induced","Induces",19001376,"CDKN2AIP"
26038,"CHD5","chromodomain helicase DNA binding protein 5","No","Replicative","Induces",23168260,"CHD5"
26038,"CHD5","chromodomain helicase DNA binding protein 5","No","Oncogene-induced","Induces",23168260,"CHD5"
1491,"CTH","cystathionine gamma-lyase","Yes","Replicative","Inhibits",23353821,"CTH"
1491,"CTH","cystathionine gamma-lyase","Yes","Stress-induced","Inhibits",23353821,"CTH"
8450,"CUL4B","cullin 4B","Yes","Replicative","Inhibits",25464270,"CUL4B"
8450,"CUL4B","cullin 4B","Yes","Stress-induced","Inhibits",25464270,"CUL4B"
3579,"CXCR2","C-X-C motif chemokine receptor 2","No","Replicative","Induces",18555777,"CXCR2"
3579,"CXCR2","C-X-C motif chemokine receptor 2","No","Oncogene-induced","Induces",18555777,"CXCR2"
1736,"DKC1","dyskerin pseudouridine synthase 1","Yes","Replicative","Inhibits",25732822,"DKC1"
1736,"DKC1","dyskerin pseudouridine synthase 1","Yes","Oncogene-induced","Inhibits",25732822,"DKC1"
2033,"EP300","E1A binding protein p300","No","Replicative","Induces",30773298,"EP300"
2033,"EP300","E1A binding protein p300","No","Oncogene-induced","Induces",30773298,"EP300"
2034,"EPAS1","endothelial PAS domain protein 1","Yes","Replicative","Inhibits",26057707,"EPAS1"
2034,"EPAS1","endothelial PAS domain protein 1","Yes","Stress-induced","Inhibits",26057707,"EPAS1"
26291,"FGF21","fibroblast growth factor 21","No","Replicative","Inhibits",31178962,"FGF21"
26291,"FGF21","fibroblast growth factor 21","No","Stress-induced","Inhibits",31178962,"FGF21"
2626,"GATA4","GATA binding protein 4","No","Replicative","Induces",26404840,"GATA4"
2626,"GATA4","GATA binding protein 4","No","Stress-induced","Induces",26404840,"GATA4"
9518,"GDF15","growth differentiation factor 15","No","Oncogene-induced","Induces",26909594,"GDF15"
9518,"GDF15","growth differentiation factor 15","No","Stress-induced","Induces",26909594,"GDF15"
51053,"GMNN","geminin DNA replication inhibitor","No","Replicative","Inhibits",23142824,"GMNN"
51053,"GMNN","geminin DNA replication inhibitor","No","Stress-induced","Inhibits",23142824,"GMNN"
2926,"GRSF1","G-rich RNA sequence binding factor 1","No","Replicative","Inhibits",30944385,"GRSF1"
2926,"GRSF1","G-rich RNA sequence binding factor 1","No","Stress-induced","Inhibits",30944385,"GRSF1"
51564,"HDAC7","histone deacetylase 7","Yes","Oncogene-induced","Inhibits",21120446,"HDAC7"
51564,"HDAC7","histone deacetylase 7","Yes","Stress-induced","Inhibits",21120446,"HDAC7"
3184,"HNRNPD","heterogeneous nuclear ribonucleoprotein D","Yes","Replicative","Inhibits",27596953,"HNRNPD"
3184,"HNRNPD","heterogeneous nuclear ribonucleoprotein D","Yes","Stress-induced","Inhibits",27596953,"HNRNPD"
5654,"HTRA1","HtrA serine peptidase 1","Yes","Replicative","Induces",23623979,"HTRA1"
5654,"HTRA1","HtrA serine peptidase 1","Yes","Stress-induced","Induces",23623979,"HTRA1"
3490,"IGFBP7","insulin like growth factor binding protein 7","No","Oncogene-induced","Induces",18267069,"IGFBP7"
3490,"IGFBP7","insulin like growth factor binding protein 7","No","Oncogene-induced","Induces",22392074,"IGFBP7"
3569,"IL6","interleukin 6","No","Oncogene-induced","Induces",18555778,"IL6"
3569,"IL6","interleukin 6","No","Stress-induced","Induces",18555778,"IL6"
3690,"ITGB3","integrin subunit beta 3","Yes","Oncogene-induced","Induces",28273461,"ITGB3"
3690,"ITGB3","integrin subunit beta 3","Yes","Stress-induced","Induces",28273461,"ITGB3"
51474,"LIMA1","LIM domain and actin binding 1","No","Replicative","Inhibits",26206181,"LIMA1"
51474,"LIMA1","LIM domain and actin binding 1","No","Stress-induced","Inhibits",26206181,"LIMA1"
4015,"LOX","lysyl oxidase","No","Oncogene-induced","Inhibits",24113189,"LOX"
4015,"LOX","lysyl oxidase","No","Stress-induced","Inhibits",24113189,"LOX"
4017,"LOXL2","lysyl oxidase like 2","No","Oncogene-induced","Inhibits",24113189,"LOXL2"
4017,"LOXL2","lysyl oxidase like 2","No","Stress-induced","Inhibits",24113189,"LOXL2"
55110,"MAGOHB","mago homolog B, exon junction complex subunit","No","Replicative","Inhibits",26206181,"MAGOHB"
55110,"MAGOHB","mago homolog B, exon junction complex subunit","No","Stress-induced","Inhibits",26206181,"MAGOHB"
1432,"MAPK14","mitogen-activated protein kinase 14","No","Replicative","Induces",12581156,"MAPK14"
1432,"MAPK14","mitogen-activated protein kinase 14","No","Stress-induced","Induces",12581156,"MAPK14"
4205,"MEF2A","myocyte enhancer factor 2A","No","Replicative","Inhibits",31182679,"MEF2A"
4205,"MEF2A","myocyte enhancer factor 2A","No","Stress-induced","Inhibits",31182679,"MEF2A"
4311,"MME","membrane metalloendopeptidase","No","Oncogene-induced","Induces",30671946,"MME"
4311,"MME","membrane metalloendopeptidase","No","Stress-induced","Induces",30671946,"MME"
80198,"MUS81","MUS81 structure-specific endonuclease subunit","Yes","Replicative","Inhibits",26415217,"MUS81"
80198,"MUS81","MUS81 structure-specific endonuclease subunit","Yes","Replicative","Inhibits",27255997,"MUS81"
4613,"MYCN","MYCN proto-oncogene, bHLH transcription factor","Yes","Replicative","Inhibits",29022893,"MYCN"
4613,"MYCN","MYCN proto-oncogene, bHLH transcription factor","Yes","Stress-induced","Inhibits",29022893,"MYCN"
4077,"NBR1","NBR1 autophagy cargo receptor","Yes","Oncogene-induced","Inhibits",30260700,"NBR1"
4077,"NBR1","NBR1 autophagy cargo receptor","Yes","Stress-induced","Inhibits",30260700,"NBR1"
6787,"NEK4","NIMA related kinase 4","No","Replicative","Induces",22851694,"NEK4"
6787,"NEK4","NIMA related kinase 4","No","Stress-induced","Induces",22851694,"NEK4"
4792,"NFKBIA","NFKB inhibitor alpha","Yes","Replicative","Induces",21552325,"NFKBIA"
4792,"NFKBIA","NFKB inhibitor alpha","Yes","Stress-induced","Induces",21552325,"NFKBIA"
50507,"NOX4","NADPH oxidase 4","No","Oncogene-induced","Induces",20523116,"NOX4"
50507,"NOX4","NADPH oxidase 4","No","Oncogene-induced","Induces",23216904,"NOX4"
54888,"NSUN2","NOP2/Sun RNA methyltransferase 2","No","Replicative","Inhibits",26687548,"NSUN2"
54888,"NSUN2","NOP2/Sun RNA methyltransferase 2","No","Stress-induced","Inhibits",26687548,"NSUN2"
64175,"P3H1","prolyl 3-hydroxylase 1","No","Replicative","Inhibits",26206181,"P3H1"
64175,"P3H1","prolyl 3-hydroxylase 1","No","Stress-induced","Inhibits",26206181,"P3H1"
11235,"PDCD10","programmed cell death 10","No","Replicative","Induces",25655101,"PDCD10"
11235,"PDCD10","programmed cell death 10","No","Oncogene-induced","Induces",25655101,"PDCD10"
22984,"PDCD11","programmed cell death 11","Yes","Replicative","Inhibits",25732822,"PDCD11"
22984,"PDCD11","programmed cell death 11","Yes","Oncogene-induced","Inhibits",25732822,"PDCD11"
8682,"PEA15","proliferation and apoptosis adaptor protein 15","Yes","Replicative","Induces",18267069,"PEA15"
8682,"PEA15","proliferation and apoptosis adaptor protein 15","Yes","Oncogene-induced","Induces",18267069,"PEA15"
23481,"PES1","pescadillo ribosomal biogenesis factor 1","Yes","Replicative","Inhibits",25732822,"PES1"
23481,"PES1","pescadillo ribosomal biogenesis factor 1","Yes","Oncogene-induced","Inhibits",25732822,"PES1"
5292,"PIM1","Pim-1 proto-oncogene, serine/threonine kinase","No","Replicative","Induces",25040935,"PIM1"
5292,"PIM1","Pim-1 proto-oncogene, serine/threonine kinase","No","Oncogene-induced","Induces",25040935,"PIM1"
8544,"PIR","pirin","Yes","Oncogene-induced","Inhibits",21514450,"PIR"
8544,"PIR","pirin","Yes","Stress-induced","Inhibits",21514450,"PIR"
22925,"PLA2R1","phospholipase A2 receptor 1","No","Replicative","Induces",19197340,"PLA2R1"
22925,"PLA2R1","phospholipase A2 receptor 1","No","Stress-induced","Induces",19197340,"PLA2R1"
5743,"PTGS2","prostaglandin-endoperoxide synthase 2","No","Replicative","Induces",28803844,"PTGS2"
5743,"PTGS2","prostaglandin-endoperoxide synthase 2","No","Stress-induced","Induces",28803844,"PTGS2"
11186,"RASSF1","Ras association domain family member 1","Yes","Replicative","Induces",19223555,"RASSF1"
11186,"RASSF1","Ras association domain family member 1","Yes","Oncogene-induced","Induces",19223555,"RASSF1"
6135,"RPL11","ribosomal protein L11","Yes","Replicative","Induces",20221446,"RPL11"
6135,"RPL11","ribosomal protein L11","Yes","Stress-induced","Induces",20221446,"RPL11"
6198,"RPS6KB1","ribosomal protein S6 kinase B1","No","Unclear","Induces",22928666,"RPS6KB1"
6198,"RPS6KB1","ribosomal protein S6 kinase B1","No","Unclear","Induces",21544240,"RPS6KB1"
6236,"RRAD","RRAD, Ras related glycolysis inhibitor and calcium channel regulator","Yes","Replicative","Inhibits",20460530,"RRAD"
6236,"RRAD","RRAD, Ras related glycolysis inhibitor and calcium channel regulator","Yes","Stress-induced","Inhibits",20460530,"RRAD"
4091,"SMAD6","SMAD family member 6","Yes","Replicative","Inhibits",19269967,"SMAD6"
4091,"SMAD6","SMAD family member 6","Yes","Stress-induced","Inhibits",19269967,"SMAD6"
8651,"SOCS1","suppressor of cytokine signaling 1","No","Replicative","Induces",20005840,"SOCS1"
8651,"SOCS1","suppressor of cytokine signaling 1","No","Oncogene-induced","Induces",20005840,"SOCS1"
6720,"SREBF1","sterol regulatory element binding transcription factor 1","Yes","Stress-induced","Induces",24396695,"SREBF1"
6720,"SREBF1","sterol regulatory element binding transcription factor 1","Yes","Stress-induced","Induces",20615871,"SREBF1"
23512,"SUZ12","SUZ12 polycomb repressive complex 2 subunit","No","Replicative","Inhibits",23455154,"SUZ12"
23512,"SUZ12","SUZ12 polycomb repressive complex 2 subunit","No","Oncogene-induced","Inhibits",23455154,"SUZ12"
7048,"TGFBR2","transforming growth factor beta receptor 2","Yes","Unclear","Unclear",28273461,"TGFBR2"
7048,"TGFBR2","transforming growth factor beta receptor 2","Yes","Unclear","Unclear",30971692,"TGFBR2"
11073,"TOPBP1","DNA topoisomerase II binding protein 1","Yes","Replicative","Inhibits",21149450,"TOPBP1"
11073,"TOPBP1","DNA topoisomerase II binding protein 1","Yes","Oncogene-induced","Inhibits",21149450,"TOPBP1"
7157,"TP53","tumor protein p53","Yes","Replicative","Induces",9275177,"TP53"
7157,"TP53","tumor protein p53","Yes","Stress-induced","Induces",9275177,"TP53"
7157,"TP53","tumor protein p53","Yes","Oncogene-induced","Induces",9275177,"TP53"
9540,"TP53I3","tumor protein p53 inducible protein 3","Yes","Replicative","Inhibits",28259183,"TP53I3"
9540,"TP53I3","tumor protein p53 inducible protein 3","Yes","Stress-induced","Inhibits",28259183,"TP53I3"
7291,"TWIST1","twist family bHLH transcription factor 1","Yes","Oncogene-induced","Inhibits",22654667,"TWIST1"
7291,"TWIST1","twist family bHLH transcription factor 1","Yes","Oncogene-induced","Inhibits",24974259,"TWIST1"
10628,"TXNIP","thioredoxin interacting protein","No","Replicative","Induces",20656682,"TXNIP"
10628,"TXNIP","thioredoxin interacting protein","No","Oncogene-induced","Induces",20656682,"TXNIP"
80019,"UBTD1","ubiquitin domain containing 1","Yes","Replicative","Induces",25382750,"UBTD1"
80019,"UBTD1","ubiquitin domain containing 1","Yes","Stress-induced","Induces",25382750,"UBTD1"
55813,"UTP6","UTP6 small subunit processome component","Yes","Replicative","Inhibits",25732822,"UTP6"
55813,"UTP6","UTP6 small subunit processome component","Yes","Oncogene-induced","Inhibits",25732822,"UTP6"
6935,"ZEB1","zinc finger E-box binding homeobox 1","Yes","Replicative","Inhibits",27965283,"ZEB1"
6935,"ZEB1","zinc finger E-box binding homeobox 1","Yes","Oncogene-induced","Inhibits",27965283,"ZEB1"
