"...1","...2","Genotype","Mouse ID","Sex","D.O.B","Age At Rupture","Group","Sac Date","Sample","...11"
2019-12-08,"RNA Seq (4W Sham)","WT (C57Bl/6)","M145","F",2019-09-17,11.7,"Sham (4W)",NA,NA,NA
2019-12-08,"RNA Seq (4W ACLR)","WT (C57Bl/6)","M146","F",2019-09-17,11.7,"Rupture (4W)",NA,NA,NA
2019-12-09,"RNA Seq (1W ACLR)","WT (C57Bl/6)","M147","M",2019-09-17,11.9,"Rupture (1W)",2019-12-16,"L+R","M147"
2019-12-09,"RNA Seq (1W Sham)","WT (C57Bl/6)","M148","M",2019-09-17,11.9,"Sham (1W)",2019-12-16,"One Tube","M148"
2019-12-09,"RNA Seq (4W Sham)","WT (C57Bl/6)","M149","M",2019-09-17,11.9,"Sham (4W)",NA,NA,NA
2019-12-09,"RNA Seq (4W ACLR)","WT (C57Bl/6)","M150","M",2019-09-17,11.9,"Rupture (4W)",NA,NA,NA
2019-12-09,"RNA Seq (1W Sham)","WT (C57Bl/6)","M151","M",2019-09-17,11.9,"Sham (1W)",2019-12-16,"One Tube","M151"
2019-12-09,"RNA Seq (4W Sham)","WT (C57Bl/6)","M152","M",2019-09-17,11.9,"Sham (4W)",NA,NA,NA
2019-12-09,"RNA Seq (1W ACLR)","WT (C57Bl/6)","M153","M",2019-09-17,11.9,"Rupture (1W)",2019-12-16,"L+R","M153"
2019-12-09,"RNA Seq (4W ACLR)","WT (C57Bl/6)","M154","M",2019-09-17,11.9,"Rupture (4W)",NA,NA,NA
2019-12-09,"RNA Seq (1W Sham)","WT (C57Bl/6)","M155","F",2019-09-17,11.9,"Sham (1W)",2019-12-16,"One Tube","M155"
2019-12-09,"RNA Seq (4W Sham)","WT (C57Bl/6)","M156","F",2019-09-17,11.9,"Sham (4W)",NA,NA,NA
2019-12-09,"RNA Seq (4W ACLR)","WT (C57Bl/6)","M157","F",2019-09-17,11.9,"Rupture (4W)",NA,NA,NA
2019-12-09,"RNA Seq (1W ACLR)","WT (C57Bl/6)","M158","F",2019-09-17,11.9,"Rupture (1W)",2019-12-16,"L+R","M158"
2019-12-09,"RNA Seq (4W Sham)","WT (C57Bl/6)","M159","F",2019-09-17,11.9,"Sham(4W)",NA,NA,NA
2019-12-09,"RNA Seq (1W ACLR)","WT (C57Bl/6)","M160","F",2019-09-17,11.9,"Rupture (1W)",2019-12-16,"L+R","M160"
2019-12-09,"RNA Seq (4W ACLR)","WT (C57Bl/6)","M161","F",2019-09-17,11.9,"Rupture (4W)",NA,NA,NA
2019-12-09,"RNA Seq (1W Sham)","WT (C57Bl/6)","M162","F",2019-09-17,11.9,"Sham (1W)",2019-12-16,"One Tube","M162"
2019-12-10,"RNA Seq (1W ACLR)","WT (C57Bl/6)","M163","M",2019-09-17,12,"Rupture (1W)",2019-12-17,"L+R","M163"
2019-12-10,"RNA Seq (4W Sham)","WT (C57Bl/6)","M164","M",2019-09-17,12,"Sham (4W)",NA,NA,NA
2019-12-10,"RNA Seq (1W Sham)","WT (C57Bl/6)","M165","M",2019-09-17,12,"Sham (1W)",2019-12-17,"One Tube","M165"
2019-12-10,"RNA Seq (4W ACLR)","WT (C57Bl/6)","M166","M",2019-09-17,12,"Rupture (4W)",NA,NA,NA
2019-12-10,"RNA Seq (1W ACLR)","WT (C57Bl/6)","M167","M",2019-09-17,12,"Rupture (1W)",2019-12-17,"L+R","M167"
2019-12-10,"RNA Seq (4W Sham)","WT (C57Bl/6)","M168","M",2019-09-17,12,"Sham (4W)",NA,NA,NA
2019-12-10,"RNA Seq (4W ACLR)","WT (C57Bl/6)","M169","M",2019-09-17,12,"Rupture (4W)",NA,NA,NA
2019-12-10,"RNA Seq (1W Sham)","WT (C57Bl/6)","M170","M",2019-09-17,12,"Sham (1W)",2019-12-17,"One Tube","M170"
2019-12-10,"RNA Seq (1W Sham)","WT (C57Bl/6)","M171","F",2019-09-17,12,"Sham (1W)",2019-12-17,"One Tube","M171"
2019-12-10,"RNA Seq (4W Sham)","WT (C57Bl/6)","M172","F",2019-09-17,12,"Sham (4W)",NA,NA,NA
2019-12-10,"RNA Seq (4W ACLR)","WT (C57Bl/6)","M173","F",2019-09-17,12,"Rupture (4W)",NA,NA,NA
2019-12-10,"RNA Seq (1W ACLR)","WT (C57Bl/6)","M174","F",2019-09-17,12,"Rupture (1W)",2019-12-17,"L+R","M174"
2019-12-10,"RNA Seq (1W Sham)","WT (C57Bl/6)","M175","F",2019-09-17,12,"Sham (1W)",2019-12-17,"One Tube","M175"
2019-12-10,"RNA Seq (4W ACLR)","WT (C57Bl/6)","M176","F",2019-09-17,12,"Rupture (4W)",NA,NA,NA
2019-12-10,"RNA Seq (4W Sham)","WT (C57Bl/6)","M177","F",2019-09-17,12,"Sham (4W)",NA,NA,NA
2019-12-10,"RNA Seq (1W ACLR)","WT (C57Bl/6)","M178","F",2019-09-17,12,"Rupture (1W)",2019-12-17,"L+R","M178"
