"human_gene","mouse_symbol","pig_ensg","pig_symbol","signature_direction"
"PIK3R5","Pik3r5","ENSSSCG00000017991","PIK3R5","Up_in_ACLR"
"PITX1","Pitx1","ENSSSCG00000061433","PITX1","Up_in_ACLR"
"PLK1","Plk1","ENSSSCG00000026748","PLK1","Up_in_ACLR"
"RACGAP1","Racgap1","ENSSSCG00000000217","RACGAP1","Up_in_ACLR"
"RASSF5","Rassf5","ENSSSCG00000031970","RASSF5","Up_in_ACLR"
"RUNX1","Runx1","ENSSSCG00000035537","RUNX1","Up_in_ACLR"
"SDC1","Sdc1","ENSSSCG00000008601","SDC1","Up_in_ACLR"
"SERPINE1","Serpine1","ENSSSCG00000025698","SERPINE1","Up_in_ACLR"
"SFRP1","Sfrp1","ENSSSCG00000025822","SFRP1","Up_in_ACLR"
"SNAI1","Snai1","ENSSSCG00000032613","SNAI1","Up_in_ACLR"
"SOCS1","Socs1","ENSSSCG00000027855","SOCS1","Up_in_ACLR"
"SOX4","Sox4","ENSSSCG00000056309","SOX4","Up_in_ACLR"
"SPARC","Sparc","ENSSSCG00000017082","SPARC","Up_in_ACLR"
"SPHK1","Sphk1","ENSSSCG00000017178","SPHK1","Up_in_ACLR"
"SRC","Src","ENSSSCG00000007334","SRC","Up_in_ACLR"
"STK32C","Stk32c","ENSSSCG00000010761","STK32C","Up_in_ACLR"
"TGFB1I1","Tgfb1i1","ENSSSCG00000035952","TGFB1I1","Up_in_ACLR"
"TGFBR2","Tgfbr2","ENSSSCG00000011226","TGFBR2","Up_in_ACLR"
"TLR2","Tlr2","ENSSSCG00000009002","TLR2","Up_in_ACLR"
"TNFSF15","Tnfsf15","ENSSSCG00000059646","TNFSF15","Up_in_ACLR"
"TTK","Ttk","ENSSSCG00000004466","TTK","Up_in_ACLR"
"VCAN","Vcan","ENSSSCG00000014136","VCAN","Up_in_ACLR"
"VDR","Vdr","ENSSSCG00000020864","VDR","Up_in_ACLR"
"WNT16","Wnt16","ENSSSCG00000016617","WNT16","Up_in_ACLR"
