"input_number","input","input_ensg","ensg_number","ortholog_name","ortholog_ensg","description"
52,"PLK1","ENSG00000166851","52.1.1","PLK1","ENSSSCG00000026748","polo like kinase 1 [Source:VGNC Symbol;Acc:VGNC:91562]"
53,"PON1","ENSG00000005421","53.1.1","PON1","ENSSSCG00000015332","paraoxonase 1 [Source:VGNC Symbol;Acc:VGNC:91661]"
54,"PPARG","ENSG00000132170","54.1.1","PPARG","ENSSSCG00000011579","peroxisome proliferator activated receptor gamma [Source:VGNC Symbol;Acc:VGNC:91684]"
55,"PPARGC1A","ENSG00000109819","55.1.1","PPARGC1A","ENSSSCG00000029275","PPARG coactivator 1 alpha [Source:VGNC Symbol;Acc:VGNC:91685]"
56,"PRKAA2","ENSG00000162409","56.1.1","PRKAA2","ENSSSCG00000036145","protein kinase AMP-activated catalytic subunit alpha 2 [Source:VGNC Symbol;Acc:VGNC:91798]"
57,"PRODH","ENSG00000100033","57.1.1","ENSSSCG00000033787","ENSSSCG00000033787","proline dehydrogenase 1 [Source:UniProtKB Gene Name;Acc:M3V806]"
58,"RACGAP1","ENSG00000161800","58.1.1","RACGAP1","ENSSSCG00000000217","Rac GTPase activating protein 1 [Source:VGNC Symbol;Acc:VGNC:92050]"
59,"RASSF5","ENSG00000266094","59.1.1","RASSF5","ENSSSCG00000031970","Ras association domain family member 5 [Source:VGNC Symbol;Acc:VGNC:92125]"
60,"RUNX1","ENSG00000159216","60.1.1","RUNX1","ENSSSCG00000035537","RUNX family transcription factor 1 [Source:VGNC Symbol;Acc:VGNC:92516]"
61,"SDC1","ENSG00000115884","61.1.1","SDC1","ENSSSCG00000008601","syndecan 1 [Source:VGNC Symbol;Acc:VGNC:92654]"
62,"SERPINE1","ENSG00000106366","62.1.1","SERPINE1","ENSSSCG00000025698","serpin family E member 1 [Source:NCBI gene (formerly Entrezgene);Acc:396945]"
63,"SFRP1","ENSG00000104332","63.1.1","SFRP1","ENSSSCG00000025822","secreted frizzled related protein 1 [Source:VGNC Symbol;Acc:VGNC:95493]"
64,"SNAI1","ENSG00000124216","64.1.1","SNAI1","ENSSSCG00000032613","snail family transcriptional repressor 1 [Source:VGNC Symbol;Acc:VGNC:95508]"
65,"SOCS1","ENSG00000185338","65.1.1","SOCS1","ENSSSCG00000027855","suppressor of cytokine signaling 1 [Source:VGNC Symbol;Acc:VGNC:93330]"
66,"SOX4","ENSG00000124766","66.1.1","SOX4","ENSSSCG00000056309","SRY-box transcription factor 4 [Source:UniProtKB Gene Name;Acc:F1RUF9]"
67,"SPARC","ENSG00000113140","67.1.1","SPARC","ENSSSCG00000017082","secreted protein acidic and cysteine rich [Source:NCBI gene (formerly Entrezgene);Acc:595124]"
68,"SPHK1","ENSG00000176170","68.1.1","SPHK1","ENSSSCG00000017178","sphingosine kinase 1 [Source:VGNC Symbol;Acc:VGNC:93404]"
69,"SRC","ENSG00000197122","69.1.1","SRC","ENSSSCG00000007334","SRC proto-onco, non-receptor tyrosine kinase [Source:VGNC Symbol;Acc:VGNC:95516]"
70,"STK32C","ENSG00000165752","70.1.1","STK32C","ENSSSCG00000010761","serine/threonine kinase 32C [Source:VGNC Symbol;Acc:VGNC:93554]"
71,"TGFB1I1","ENSG00000140682","71.1.1","TGFB1I1","ENSSSCG00000035952","transforming growth factor beta 1 induced transcript 1 [Source:VGNC Symbol;Acc:VGNC:93929]"
72,"TGFBR2","ENSG00000163513","72.1.1","TGFBR2","ENSSSCG00000011226","transforming growth factor beta receptor 2 [Source:VGNC Symbol;Acc:VGNC:93931]"
73,"TLR2","ENSG00000137462","73.1.1","TLR2","ENSSSCG00000009002","toll like receptor 2 [Source:VGNC Symbol;Acc:VGNC:94024]"
74,"TNFSF15","ENSG00000181634","74.1.1","TNFSF15","ENSSSCG00000059646","TNF superfamily member 15 [Source:NCBI gene (formerly Entrezgene);Acc:100624969]"
75,"TTK","ENSG00000112742","75.1.1","TTK","ENSSSCG00000004466","TTK protein kinase [Source:VGNC Symbol;Acc:VGNC:94565]"
76,"VCAN","ENSG00000038427","76.1.1","VCAN","ENSSSCG00000014136","versican [Source:VGNC Symbol;Acc:VGNC:108163]"
77,"VDR","ENSG00000111424","77.1.1","VDR","ENSSSCG00000020864","vitamin D receptor [Source:VGNC Symbol;Acc:VGNC:94814]"
78,"WNT16","ENSG00000002745","78.1.1","WNT16","ENSSSCG00000016617","Wnt family member 16 [Source:VGNC Symbol;Acc:VGNC:94967]"
