"GeneID","Chr","Start","End","Strand","Length"
"ENSSSCG00000057774","1;1","228956209;228956674","228956589;228956955","+;+",663
"ENSSSCG00000037277","1;1;1;1;1;1;1;1;1","229329092;229330347;229330682;229332834;229332834;229332984;229335569;229335685;229336652","229330019;229331773;229331773;229332936;229332936;229334999;229335682;229335719;229337075","-;-;-;-;-;-;-;-;-",5047
"ENSSSCG00000005277","1;1;1","229429066;229429951;229465458","229429187;229430105;229468268","+;+;+",3088
"ENSSSCG00000004361","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","68057538;68057538;68057538;68057538;68289345;68289345;68289345;68289345;68292934;68292934;68292934;68292934;68331440;68331440;68331440;68331440;68337752;68337752;68337752;68340608;68340608;68340608;68439845;68439845;68439845;68439845;68443404;68443404;68443404;68443404;68462136;68462136;68462136;68462136;68491151;68491151;68491151;68491151;68530553;68530553;68530553;68530553;68564272;68564272;68564272;68564272;68567973;68567973;68567973;68567973;68645763;68645763;68645763;68645763;68664335;68664335;68664335;68664335;68674365;68675990;68678725;68678725","68057851;68057851;68057851;68057851;68289512;68289512;68289512;68289512;68293191;68293191;68293191;68293191;68331621;68331621;68331621;68331621;68337805;68337805;68337805;68340781;68340781;68340781;68439988;68439988;68439988;68439988;68443511;68443511;68443511;68443511;68462249;68462249;68462249;68462249;68491357;68491357;68491357;68491357;68530776;68530776;68530776;68530776;68564390;68564390;68564390;68564390;68568190;68568190;68568190;68568190;68645988;68645988;68645988;68645988;68664585;68664585;68664585;68664585;68674451;68676124;68679256;68679256","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",3515
"ENSSSCG00000004349","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","66232181;66241710;66280961;66290999;66302684;66308749;66308749;66320349;66320349;66321292;66321461;66324082;66324082;66324082;66324082;66327217;66327217;66327217;66332071;66332071;66332071;66332071;66336420;66336420;66336420;66336420;66338938;66338938;66338938;66338938;66346437;66346437;66346437","66232680;66241826;66281184;66291195;66302819;66308870;66308870;66321652;66321652;66321652;66321652;66324241;66324241;66324241;66324241;66327459;66327459;66327459;66332170;66332170;66332170;66332170;66336572;66336572;66336572;66336572;66339064;66339064;66339064;66339064;66346562;66346575;66346562","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",3522
"ENSSSCG00000004272","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","49868613;49870082;49870779;49870779;49894310;49894310;49895996;49895996;49898054;49898054;49898735;49898735;49899192;49899192;49916145;49916145;49919213;49919213;49928660;49928660;49931983;49931983;49945208;49945208;49962571;49962571;49971591;49971591;49971741;49977728;49977728","49870641;49870641;49870870;49870870;49894388;49894388;49896145;49896145;49898158;49898158;49898837;49898837;49899256;49899256;49916297;49916297;49919338;49919338;49928733;49928733;49932070;49932070;49945305;49945305;49962631;49962631;49971767;49971631;49971767;49977965;49977822","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",3638
"ENSSSCG00000037594","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","66350969;66350969;66351203;66351566;66353976;66353976;66353976;66355324;66355324;66355324;66356093;66356093;66356093;66358763;66360779;66360779;66360779;66364099;66364099;66364099;66365707;66365707;66365707;66367794;66367794;66367794;66369935;66369935;66369935;66372262;66372262;66372262;66381351;66381351;66381351","66352652;66352652;66351320;66352652;66354146;66354146;66354146;66355377;66355377;66355377;66356192;66356192;66356192;66358900;66360969;66360969;66360969;66364270;66364270;66364270;66365930;66365930;66365930;66367982;66367982;66367982;66370053;66370053;66370053;66372342;66372342;66372342;66381454;66381454;66381414","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",3227
"ENSSSCG00000044472","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","50045065;50058364;50071089;50072240;50101281;50102758;50107251;50111072;50112281;50135882;50138340;50181173;50191247;50193466;50226902;50270146;50294506;50309393;50315094;50319343;50320399;50320531;50321282;50326888;50327593;50328441;50328592;50330541;50330680;50330834;50332565;50336645;50336831;50337129;50342199;50343657;50346500;50348485;50348621;50349101;50352978;50358171;50361354;50361502;50366667;50366838;50372648;50372797;50374438;50384617;50394414;50394673","50045099;50058490;50071163;50072339;50101404;50103033;50107331;50111197;50112343;50135926;50138384;50181226;50191300;50193501;50226955;50270199;50294559;50309416;50315156;50319378;50320434;50320584;50321335;50326941;50327682;50328485;50328669;50330576;50330733;50330887;50332606;50336749;50336884;50337182;50342252;50343710;50346544;50348535;50348665;50349127;50353031;50358215;50361398;50361564;50366702;50366882;50372794;50372817;50374504;50384745;50394491;50399969","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",8639
"ENSSSCG00000004261","1;1","44899219;44899366","44899284;44899545","+;+",246
"ENSSSCG00000050732","1;1","66381413;66382157","66381523;66382252","+;+",207
"ENSSSCG00000004351","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","66387608;66390525;66392727;66392727;66395163;66395163;66397024;66397024;66398761;66398761;66401091;66401575;66401575;66403743;66403743;66405987;66405987;66412649;66412649;66420056;66420067;66420083;66420083;66424606;66424606;66424606;66425062;66425062;66425062;66439014;66439014;66439014;66443843;66443843;66443843;66445398;66445398;66445398;66449679;66449679;66449679;66450200;66454711;66454711","66392110;66392110;66392880;66392880;66395249;66395249;66397121;66397121;66399433;66399433;66401234;66401631;66401631;66403834;66403834;66406068;66406068;66412736;66412736;66420064;66420213;66420213;66420213;66424701;66424701;66424701;66425204;66425204;66425204;66439114;66439114;66439114;66443946;66443946;66443946;66445570;66445570;66445570;66449788;66449788;66449788;66453136;66454737;66454735","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",9825
"ENSSSCG00000004262","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","44900497;44900497;44900497;44910892;44910892;44910892;44913141;44913513;44913515;44913515;44914497;44914497;44914497;44916265;44916265;44916265;44918054;44918054;44918054;44921012;44921012;44921012;44926339;44926339;44926339;44928513;44928513;44928513;44930393;44930393;44930393;44933177;44933177;44933177;44933393;44933408;44933408;44935207;44935207;44935207;44936150;44938670;44938670","44903957;44903957;44903957;44911070;44911059;44911070;44913191;44913642;44913642;44913642;44914622;44914622;44914622;44916343;44916343;44916343;44918217;44918217;44918217;44921111;44921111;44921111;44926427;44926427;44926427;44928644;44928644;44928644;44930487;44930487;44930487;44933276;44933276;44933276;44933494;44933494;44933494;44935340;44935340;44935340;44936162;44938947;44938947","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",5233
"ENSSSCG00000038757","1;1;1;1;1","66459987;66463179;66463448;66464131;66467163","66460099;66463352;66463607;66465641;66467850","+;+;+;+;+",2646
"ENSSSCG00000004353","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","66471782;66473052;66474841;66475785;66475785;66477213;66477213;66481679;66481679;66482293;66482293;66483050;66483050;66484081;66484081;66487805;66487805;66491821;66491821;66492110;66492110;66492889;66492889;66498747;66498887","66474295;66474295;66474935;66475903;66475903;66477292;66477292;66481746;66481746;66482384;66482384;66483085;66483085;66484136;66484136;66487856;66487856;66491890;66491890;66492194;66492194;66492995;66492995;66499044;66499188","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",3816
"ENSSSCG00000005284","1;1;1;1;1;1;1;1;1;1;1;1","230341942;230341943;230344110;230344110;230346737;230348328;230351032;230431570;230431570;230544868;230544868;230545846","230342969;230342969;230344263;230344263;230346866;230348456;230351186;230431754;230431754;230545563;230545810;230546120","-;-;-;-;-;-;-;-;-;-;-;-",2999
"ENSSSCG00000004263","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","44939951;44939956;44940306;44941496;44941496;44944275;44944275;44946365;44946365;44948817;44953283;44953283;44953767;44957982;44959487;44961082","44940048;44940174;44940322;44942068;44942068;44944385;44944385;44946486;44946486;44948985;44953471;44953333;44953932;44958133;44959707;44961145","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",2008
"ENSSSCG00000021802","1;1;1;1;1","225150682;225154199;225158746;225161369;225192720","225151477;225154378;225159215;225161443;225193287","-;-;-;-;-",2089
"ENSSSCG00000031105","1;1;1;1;1;1;1;1","225193689;225193755;225227655;225227655;225256097;225256097;225256698;225260801","225193909;225193909;225227761;225227761;225256118;225256210;225258922;225263647","+;+;+;+;+;+;+;+",5514
"ENSSSCG00000004354","1;1;1;1;1","66538862;66540711;66541120;66544674;66546407","66539204;66540842;66541240;66546403;66546409","+;+;+;+;+",2329
"ENSSSCG00000004355","1;1","66579143;66579836","66579535;66579910","-;-",468
"ENSSSCG00000034919","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","225403138;225425483;225425483;225425483;225425483;225425491;225425491;225425495;225425732;225515932;225517028;225517028;225517028;225517028;225517028;225517028;225517028;225517028;225522496;225522496;225522496;225522496;225522496;225522496;225522496;225522496;225530338;225530338;225530338;225530338;225530338;225530338;225530338;225530338;225532515;225532515;225532515;225532515;225532515;225532515;225532515;225532515;225533972;225533972;225533972;225533972;225533972;225533972;225533972;225533972;225535146;225535146;225535146;225535146;225535146;225535146;225535146;225538884;225538884;225538884;225538884;225538884;225538884;225538884;225538884;225540763;225540763;225540763;225540763;225540763;225540763;225540763;225540763;225543539;225543539;225543539;225543539;225543539;225543539;225543539;225543539;225579213;225579213;225579213;225579213;225579213;225579213;225579213;225579213;225582772;225582772;225582772;225582772;225582772;225582772;225582772;225582772;225582969;225584686;225585075;225585075;225585075;225585075;225585075;225585884;225585921;225585921;225585921;225585921;225585921;225586343;225586343","225403217;225425751;225425751;225425751;225425751;225425751;225425751;225425751;225425751;225515960;225517116;225517116;225517116;225517116;225517116;225517116;225517116;225517116;225522667;225522667;225522667;225522667;225522667;225522667;225522667;225522667;225530425;225530425;225530425;225530425;225530425;225530425;225530425;225530425;225532620;225532620;225532620;225532620;225532620;225532620;225532620;225532620;225533999;225533999;225533999;225533999;225533999;225533999;225533999;225533999;225535253;225535253;225535253;225535253;225535253;225535253;225535253;225538991;225538991;225538991;225538991;225538991;225538991;225538991;225538991;225540860;225540860;225540860;225540860;225540860;225540860;225540860;225540860;225543606;225543606;225543606;225543606;225543606;225543606;225543606;225543606;225579359;225579359;225579359;225579359;225579359;225579359;225579359;225579359;225582902;225582902;225582902;225582902;225582902;225582906;225582902;225582906;225582997;225584742;225585102;225585102;225585102;225585102;225585102;225589826;225589827;225586132;225586132;225587038;225585991;225587242;225587242","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",5583
"ENSSSCG00000023834","1;1;1;1;1;1;1;1;1;1;1","44963886;44964435;44966236;44966236;44969962;44969962;44971762;44979365;44979365;44984357;44984357","44964803;44964803;44966353;44966353;44970109;44970109;44972499;44979599;44979599;44985202;44985126","-;-;-;-;-;-;-;-;-;-;-",3003
"ENSSSCG00000032533","1;1;1;1;1;1;1;1","45010227;45013025;45013125;45018227;45019418;45024053;45025960;45026037","45011349;45013067;45013208;45018321;45019517;45024177;45026002;45026102","-;-;-;-;-;-;-;-",1679
"ENSSSCG00000031854","1;1","66642754;66643407","66643374;66643547","-;-",762
"ENSSSCG00000025941","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","45170468;45170514;45172038;45173524;45173527;45173978;45174890;45175190;45175190;45175190;45175713;45175713;45175713;45175713;45177362;45177362;45177362;45178347;45178347;45178347;45178347;45179509;45179509","45170696;45170696;45172218;45174073;45174073;45174073;45174955;45175282;45175282;45175282;45175843;45175843;45175843;45175843;45177436;45177436;45177436;45179743;45180289;45178997;45178997;45179733;45179733","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",3268
"ENSSSCG00000004356","1;1;1;1;1;1;1","66837600;66840547;66843338;66848873;66856766;66862710;66876881","66837976;66840666;66843532;66849082;66856973;66862857;66877276","-;-;-;-;-;-;-",1654
"ENSSSCG00000030268","1;1;1;1;1;1;1","225703200;225705542;225707747;225708471;225709031;225713330;225714114","225704841;225705667;225707850;225708582;225709190;225713862;225714365","-;-;-;-;-;-;-",2929
"ENSSSCG00000027002","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","64078669;64078669;64078693;64078916;64079035;64127621;64127621;64127621;64127621;64136293;64136293;64136293;64136293;64136293;64136293;64178611;64178611;64178611;64178611;64178611;64207982;64207982;64207982;64207982;64207982;64233579;64233579;64233579;64259726;64259726;64259726;64259726;64259726;64260552;64281137;64281137;64281137;64281137;64281137;64284409;64284409;64284409;64284409;64284409;64286266;64286266;64286266;64286266;64286266;64302963;64302963;64302963;64302963;64302963","64079076;64079109;64079076;64079109;64079109;64127708;64127717;64127708;64127708;64136473;64136473;64136473;64136473;64136473;64136473;64178718;64178718;64178718;64178718;64178718;64208080;64208080;64208080;64208080;64208080;64233794;64233794;64233794;64260452;64260452;64260452;64260452;64260398;64261905;64281195;64281195;64281195;64281195;64281195;64284601;64284601;64284601;64284601;64284601;64286360;64286360;64286360;64286360;64286360;64307174;64307174;64307179;64304337;64307183","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",7791
"ENSSSCG00000005266","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","225929109;225951643;225951795;225985119;225988973;225988973;225994570;225994573;226014570;226014570;226016329;226016329;226027335;226027335;226031669;226031669;226044216;226044216;226055994;226055994;226056738;226056738;226060036;226060036;226060341;226060341;226067493;226067493;226078480;226078480;226084659;226084659;226089550;226089550;226093490;226093490;226093675;226109327;226109327;226109350;226109437;226109464","225929324;225951810;225951810;225985166;225989138;225989138;225994698;225994698;226014660;226014660;226016410;226016410;226027441;226027441;226031767;226031767;226044358;226044358;226056138;226056138;226056932;226056932;226060215;226060215;226060502;226060502;226067621;226067621;226078547;226078547;226084898;226084898;226089675;226089675;226093568;226093568;226093726;226109434;226109346;226109355;226109460;226109469","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",2763
