"human_symbol","CellAge_effect","ortholog_name","input_number","input_ensg","ensg_number","ortholog_ensg","description","n_mouse_orthologs","n_human_inputs","mouse_symbol","score_type"
"AR","Induces","Ar",28,"ENSG00000169083","28.1.1","ENSMUSG00000046532","androgen receptor [Source:MGI Symbol;Acc:MGI:88064]",1,1,"Ar","CellAge_induces"
"ARF1","Induces","Arf1",29,"ENSG00000143761","29.1.1","ENSMUSG00000048076","ADP-ribosylation factor 1 [Source:MGI Symbol;Acc:MGI:99431]",1,1,"Arf1","CellAge_induces"
"ARG2","Induces","Arg2",30,"ENSG00000081181","30.1.1","ENSMUSG00000021125","arginase type II [Source:MGI Symbol;Acc:MGI:1330806]",1,1,"Arg2","CellAge_induces"
"ARID1A","Induces","Arid1a",31,"ENSG00000117713","31.1.1","ENSMUSG00000007880","AT-rich interaction domain 1A [Source:MGI Symbol;Acc:MGI:1935147]",1,1,"Arid1a","CellAge_induces"
"ARID1B","Induces","Arid1b",32,"ENSG00000049618","32.1.1","ENSMUSG00000069729","AT-rich interaction domain 1B [Source:MGI Symbol;Acc:MGI:1926129]",1,1,"Arid1b","CellAge_induces"
"ARID3A","Inhibits","Arid3a",33,"ENSG00000116017","33.1.1","ENSMUSG00000019564","AT-rich interaction domain 3A [Source:MGI Symbol;Acc:MGI:1328360]",1,1,"Arid3a","CellAge_inhibits"
"ARID4B","Induces","Arid4b",34,"ENSG00000054267","34.1.1","ENSMUSG00000039219","AT-rich interaction domain 4B [Source:MGI Symbol;Acc:MGI:2137512]",1,1,"Arid4b","CellAge_induces"
"ARRB1","Induces","Arrb1",36,"ENSG00000137486","36.1.1","ENSMUSG00000018909","arrestin, beta 1 [Source:MGI Symbol;Acc:MGI:99473]",1,1,"Arrb1","CellAge_induces"
"ASAH1","Inhibits","Asah1",37,"ENSG00000104763","37.1.1","ENSMUSG00000031591","N-acylsphingosine amidohydrolase 1 [Source:MGI Symbol;Acc:MGI:1277124]",1,1,"Asah1","CellAge_inhibits"
"ASF1A","Induces","Asf1a",38,"ENSG00000111875","38.1.1","ENSMUSG00000019857","anti-silencing function 1A histone chaperone [Source:MGI Symbol;Acc:MGI:1913653]",1,1,"Asf1a","CellAge_induces"
"ASPH","Inhibits","Asph",39,"ENSG00000198363","39.1.1","ENSMUSG00000028207","aspartate-beta-hydroxylase [Source:MGI Symbol;Acc:MGI:1914186]",1,1,"Asph","CellAge_inhibits"
"ASXL2","Induces","Asxl2",40,"ENSG00000143970","40.1.1","ENSMUSG00000037486","ASXL transcriptional regulator 2 [Source:MGI Symbol;Acc:MGI:1922552]",1,1,"Asxl2","CellAge_induces"
"ATF3","Inhibits","Atf3",41,"ENSG00000162772","41.1.1","ENSMUSG00000026628","activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]",1,1,"Atf3","CellAge_inhibits"
"ATF6","Induces","Atf6",42,"ENSG00000118217","42.1.1","ENSMUSG00000026663","activating transcription factor 6 [Source:MGI Symbol;Acc:MGI:1926157]",1,1,"Atf6","CellAge_induces"
"ATF7IP","Inhibits","Atf7ip",43,"ENSG00000171681","43.1.1","ENSMUSG00000030213","activating transcription factor 7 interacting protein [Source:MGI Symbol;Acc:MGI:1858965]",1,1,"Atf7ip","CellAge_inhibits"
"ATG10","Induces","Atg10",44,"ENSG00000152348","44.1.1","ENSMUSG00000021619","autophagy related 10 [Source:MGI Symbol;Acc:MGI:1914045]",1,1,"Atg10","CellAge_induces"
"ATG12","Inhibits","Atg12",45,"ENSG00000145782","45.1.1","ENSMUSG00000032905","autophagy related 12 [Source:MGI Symbol;Acc:MGI:1914776]",1,1,"Atg12","CellAge_inhibits"
"ATG16L1","Unclear","Atg16l1",46,"ENSG00000085978","46.1.1","ENSMUSG00000026289","autophagy related 16 like 1 [Source:MGI Symbol;Acc:MGI:1924290]",1,1,"Atg16l1","CellAge_all_only"
"ATG4D","Inhibits","Atg4d",47,"ENSG00000130734","47.1.1","ENSMUSG00000002820","autophagy related 4D, cysteine peptidase [Source:MGI Symbol;Acc:MGI:2444308]",1,1,"Atg4d","CellAge_inhibits"
"ATG5","Inhibits","Atg5",48,"ENSG00000057663","48.1.1","ENSMUSG00000038160","autophagy related 5 [Source:MGI Symbol;Acc:MGI:1277186]",1,1,"Atg5","CellAge_inhibits"
"ATG7","Inhibits","Atg7",49,"ENSG00000197548","49.1.1","ENSMUSG00000030314","autophagy related 7 [Source:MGI Symbol;Acc:MGI:1921494]",1,1,"Atg7","CellAge_inhibits"
"ATM","Inhibits","Atm",50,"ENSG00000149311","50.1.1","ENSMUSG00000034218","ataxia telangiectasia mutated [Source:MGI Symbol;Acc:MGI:107202]",1,1,"Atm","CellAge_inhibits"
"ATP6V0A2","Inhibits","Atp6v0a2",51,"ENSG00000185344","51.1.1","ENSMUSG00000038023","ATPase, H+ transporting, lysosomal V0 subunit A2 [Source:MGI Symbol;Acc:MGI:104855]",1,1,"Atp6v0a2","CellAge_inhibits"
"ATP6V0C","Inhibits","Atp6v0c",52,"ENSG00000185883","52.1.1","ENSMUSG00000024121","ATPase, H+ transporting, lysosomal V0 subunit C [Source:MGI Symbol;Acc:MGI:88116]",1,1,"Atp6v0c","CellAge_inhibits"
"ATR","Induces","Atr",53,"ENSG00000175054","53.1.1","ENSMUSG00000032409","ataxia telangiectasia and Rad3 related [Source:MGI Symbol;Acc:MGI:108028]",1,1,"Atr","CellAge_induces"
"ATRAID","Induces","Atraid",54,"ENSG00000138085","54.1.1","ENSMUSG00000013622","all-trans retinoic acid induced differentiation factor [Source:MGI Symbol;Acc:MGI:1918918]",1,1,"Atraid","CellAge_induces"
"ATRX","Induces","Atrx",55,"ENSG00000085224","55.1.1","ENSMUSG00000031229","ATRX, chromatin remodeler [Source:MGI Symbol;Acc:MGI:103067]",1,1,"Atrx","CellAge_induces"
"ATXN10","Induces","Atxn10",56,"ENSG00000130638","56.1.1","ENSMUSG00000016541","ataxin 10 [Source:MGI Symbol;Acc:MGI:1859293]",1,1,"Atxn10","CellAge_induces"
"AURKA","Inhibits","Aurka",57,"ENSG00000087586","57.1.1","ENSMUSG00000027496","aurora kinase A [Source:MGI Symbol;Acc:MGI:894678]",1,1,"Aurka","CellAge_inhibits"
"AURKB","Inhibits","Aurkb",58,"ENSG00000178999","58.1.1","ENSMUSG00000020897","aurora kinase B [Source:MGI Symbol;Acc:MGI:107168]",1,1,"Aurkb","CellAge_inhibits"
"AXL","Induces","Axl",59,"ENSG00000167601","59.1.1","ENSMUSG00000002602","AXL receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:1347244]",1,1,"Axl","CellAge_induces"
"BAG3","Inhibits","Bag3",60,"ENSG00000151929","60.1.1","ENSMUSG00000030847","BCL2-associated athanogene 3 [Source:MGI Symbol;Acc:MGI:1352493]",1,1,"Bag3","CellAge_inhibits"
"BAP1","Induces","Bap1",61,"ENSG00000163930","61.1.1","ENSMUSG00000021901","Brca1 associated protein 1 [Source:MGI Symbol;Acc:MGI:1206586]",1,1,"Bap1","CellAge_induces"
"BAZ1A","Inhibits","Baz1a",62,"ENSG00000198604","62.1.1","ENSMUSG00000035021","bromodomain adjacent to zinc finger domain 1A [Source:MGI Symbol;Acc:MGI:1309478]",1,1,"Baz1a","CellAge_inhibits"
"BCL11B","Inhibits","Bcl11b",63,"ENSG00000127152","63.1.1","ENSMUSG00000048251","B cell leukemia/lymphoma 11B [Source:MGI Symbol;Acc:MGI:1929913]",1,1,"Bcl11b","CellAge_inhibits"
"BCL2","Induces","Bcl2",64,"ENSG00000171791","64.1.1","ENSMUSG00000057329","B cell leukemia/lymphoma 2 [Source:MGI Symbol;Acc:MGI:88138]",1,1,"Bcl2","CellAge_induces"
"BCL2L1","Inhibits","Bcl2l1",65,"ENSG00000171552","65.1.1","ENSMUSG00000007659","BCL2-like 1 [Source:MGI Symbol;Acc:MGI:88139]",1,1,"Bcl2l1","CellAge_inhibits"
"BCL3","Inhibits","Bcl3",67,"ENSG00000069399","67.1.1","ENSMUSG00000053175","B cell leukemia/lymphoma 3 [Source:MGI Symbol;Acc:MGI:88140]",1,1,"Bcl3","CellAge_inhibits"
"BCL6","Inhibits","Bcl6",68,"ENSG00000113916","68.1.1","ENSMUSG00000022508","B cell leukemia/lymphoma 6 [Source:MGI Symbol;Acc:MGI:107187]",1,1,"Bcl6","CellAge_inhibits"
"BCLAF1","Induces","Bclaf1",69,"ENSG00000029363","69.1.1","ENSMUSG00000037608","BCL2-associated transcription factor 1 [Source:MGI Symbol;Acc:MGI:1917580]",1,1,"Bclaf1","CellAge_induces"
"BECN1","Inhibits","Becn1",70,"ENSG00000126581","70.1.1","ENSMUSG00000035086","beclin 1, autophagy related [Source:MGI Symbol;Acc:MGI:1891828]",1,1,"Becn1","CellAge_inhibits"
"BHLHE40","Induces","Bhlhe40",71,"ENSG00000134107","71.1.1","ENSMUSG00000030103","basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]",1,1,"Bhlhe40","CellAge_induces"
"BIN1","Induces","Bin1",72,"ENSG00000136717","72.1.1","ENSMUSG00000024381","bridging integrator 1 [Source:MGI Symbol;Acc:MGI:108092]",1,1,"Bin1","CellAge_induces"
"BIRC5","Inhibits","Birc5",73,"ENSG00000089685","73.1.1","ENSMUSG00000017716","baculoviral IAP repeat-containing 5 [Source:MGI Symbol;Acc:MGI:1203517]",1,1,"Birc5","CellAge_inhibits"
"BLK","Induces","Blk",74,"ENSG00000136573","74.1.1","ENSMUSG00000014453","B lymphoid kinase [Source:MGI Symbol;Acc:MGI:88169]",1,1,"Blk","CellAge_induces"
"BLVRA","Inhibits","Blvra",75,"ENSG00000106605","75.1.1","ENSMUSG00000001999","biliverdin reductase A [Source:MGI Symbol;Acc:MGI:88170]",1,1,"Blvra","CellAge_inhibits"
"BMI1","Inhibits","Bmi1",76,"ENSG00000168283","76.1.1","ENSMUSG00000026739","Bmi1 polycomb ring finger oncogene [Source:MGI Symbol;Acc:MGI:88174]",1,1,"Bmi1","CellAge_inhibits"
"BMP4","Induces","Bmp4",77,"ENSG00000125378","77.1.1","ENSMUSG00000021835","bone morphogenetic protein 4 [Source:MGI Symbol;Acc:MGI:88180]",1,1,"Bmp4","CellAge_induces"
"BMPR2","Induces","Bmpr2",78,"ENSG00000204217","78.1.1","ENSMUSG00000067336","bone morphogenetic protein receptor type 2 [Source:MGI Symbol;Acc:MGI:1095407]",1,1,"Bmpr2","CellAge_induces"
"BMS1","Inhibits","Bms1",79,"ENSG00000165733","79.1.1","ENSMUSG00000030138","BMS1, ribosome biogenesis factor [Source:MGI Symbol;Acc:MGI:2446132]",1,1,"Bms1","CellAge_inhibits"
"BNIP3L","Induces","Bnip3l",80,"ENSG00000104765","80.1.1","ENSMUSG00000022051","BCL2/adenovirus E1B interacting protein 3-like [Source:MGI Symbol;Acc:MGI:1332659]",1,1,"Bnip3l","CellAge_induces"
"BRAF","Induces","Braf",81,"ENSG00000157764","81.1.1","ENSMUSG00000002413","Braf transforming gene [Source:MGI Symbol;Acc:MGI:88190]",1,1,"Braf","CellAge_induces"
"BRCA1","Inhibits","Brca1",82,"ENSG00000012048","82.1.1","ENSMUSG00000017146","breast cancer 1, early onset [Source:MGI Symbol;Acc:MGI:104537]",1,1,"Brca1","CellAge_inhibits"
"BRD4","Inhibits","Brd4",83,"ENSG00000141867","83.1.1","ENSMUSG00000024002","bromodomain containing 4 [Source:MGI Symbol;Acc:MGI:1888520]",1,1,"Brd4","CellAge_inhibits"
"BRD7","Induces","Brd7",84,"ENSG00000166164","84.1.1","ENSMUSG00000031660","bromodomain containing 7 [Source:MGI Symbol;Acc:MGI:1349766]",1,1,"Brd7","CellAge_induces"
"BRIP1","Inhibits","Brip1",85,"ENSG00000136492","85.1.1","ENSMUSG00000034329","BRCA1 interacting protein C-terminal helicase 1 [Source:MGI Symbol;Acc:MGI:2442836]",1,1,"Brip1","CellAge_inhibits"
"BTG1","Induces","Btg1",86,"ENSG00000133639","86.1.1","ENSMUSG00000036478","BTG anti-proliferation factor 1 [Source:MGI Symbol;Acc:MGI:88215]",1,1,"Btg1","CellAge_induces"
"BTG2","Induces","Btg2",87,"ENSG00000159388","87.1.1","ENSMUSG00000020423","BTG anti-proliferation factor 2 [Source:MGI Symbol;Acc:MGI:108384]",1,1,"Btg2","CellAge_induces"
"BTG3","Inhibits","Btg3",88,"ENSG00000154640","88.1.1","ENSMUSG00000022863","BTG anti-proliferation factor 3 [Source:MGI Symbol;Acc:MGI:109532]",1,1,"Btg3","CellAge_inhibits"
"BUB1","Inhibits","Bub1",89,"ENSG00000169679","89.1.1","ENSMUSG00000027379","BUB1, mitotic checkpoint serine/threonine kinase [Source:MGI Symbol;Acc:MGI:1100510]",1,1,"Bub1","CellAge_inhibits"
"BUB1B","Inhibits","Bub1b",90,"ENSG00000156970","90.1.1","ENSMUSG00000040084","BUB1B, mitotic checkpoint serine/threonine kinase [Source:MGI Symbol;Acc:MGI:1333889]",1,1,"Bub1b","CellAge_inhibits"
"CALR","Inhibits","Calr",91,"ENSG00000179218","91.1.1","ENSMUSG00000003814","calreticulin [Source:MGI Symbol;Acc:MGI:88252]",1,1,"Calr","CellAge_inhibits"
"CAPNS1","Induces","Capns1",92,"ENSG00000126247","92.1.1","ENSMUSG00000001794","calpain, small subunit 1 [Source:MGI Symbol;Acc:MGI:88266]",1,1,"Capns1","CellAge_induces"
"CARF","Induces","Carf",93,"ENSG00000138380","93.1.1","ENSMUSG00000026017","calcium response factor [Source:MGI Symbol;Acc:MGI:2182269]",1,1,"Carf","CellAge_induces"
"CARM1","Inhibits","Carm1",94,"ENSG00000142453","94.1.1","ENSMUSG00000032185","coactivator-associated arginine methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1913208]",1,1,"Carm1","CellAge_inhibits"
"CASP2","Induces","Casp2",95,"ENSG00000106144","95.1.1","ENSMUSG00000029863","caspase 2 [Source:MGI Symbol;Acc:MGI:97295]",1,1,"Casp2","CellAge_induces"
"CAV1","Induces","Cav1",96,"ENSG00000105974","96.1.1","ENSMUSG00000007655","caveolin 1, caveolae protein [Source:MGI Symbol;Acc:MGI:102709]",1,1,"Cav1","CellAge_induces"
"CAVIN1","Induces","Cavin1",97,"ENSG00000177469","97.1.1","ENSMUSG00000004044","caveolae associated 1 [Source:MGI Symbol;Acc:MGI:1277968]",1,1,"Cavin1","CellAge_induces"
"CBS","Inhibits","Cbs",98,"ENSG00000160200","98.1.1","ENSMUSG00000024039","cystathionine beta-synthase [Source:MGI Symbol;Acc:MGI:88285]",1,1,"Cbs","CellAge_inhibits"
"CBX5","Inhibits","Cbx5",99,"ENSG00000094916","99.1.1","ENSMUSG00000009575","chromobox 5 [Source:MGI Symbol;Acc:MGI:109372]",1,1,"Cbx5","CellAge_inhibits"
"CBX7","Inhibits","Cbx7",100,"ENSG00000100307","100.1.1","ENSMUSG00000053411","chromobox 7 [Source:MGI Symbol;Acc:MGI:1196439]",1,1,"Cbx7","CellAge_inhibits"
"CBX8","Inhibits","Cbx8",101,"ENSG00000141570","101.1.1","ENSMUSG00000025578","chromobox 8 [Source:MGI Symbol;Acc:MGI:1353589]",1,1,"Cbx8","CellAge_inhibits"
"CCL2","Induces","Ccl2",102,"ENSG00000108691","102.1.1","ENSMUSG00000035385","C-C motif chemokine ligand 2 [Source:MGI Symbol;Acc:MGI:98259]",1,1,"Ccl2","CellAge_induces"
"CCN2","Induces","Ccn2",103,"ENSG00000118523","103.1.1","ENSMUSG00000019997","cellular communication network factor 2 [Source:MGI Symbol;Acc:MGI:95537]",1,1,"Ccn2","CellAge_induces"
"CCN6","Induces","Ccn6",104,"ENSG00000112761","104.1.1","ENSMUSG00000062074","cellular communication network factor 6 [Source:MGI Symbol;Acc:MGI:2685581]",1,1,"Ccn6","CellAge_induces"
"CCNA2","Inhibits","Ccna2",105,"ENSG00000145386","105.1.1","ENSMUSG00000027715","cyclin A2 [Source:MGI Symbol;Acc:MGI:108069]",1,1,"Ccna2","CellAge_inhibits"
"CCNB1","Inhibits","Ccnb1",106,"ENSG00000134057","106.1.1","ENSMUSG00000041431","cyclin B1 [Source:MGI Symbol;Acc:MGI:88302]",1,1,"Ccnb1","CellAge_inhibits"
"CCND1","Induces","Ccnd1",107,"ENSG00000110092","107.1.1","ENSMUSG00000070348","cyclin D1 [Source:MGI Symbol;Acc:MGI:88313]",1,1,"Ccnd1","CellAge_induces"
"CCND3","Inhibits","Ccnd3",108,"ENSG00000112576","108.1.1","ENSMUSG00000034165","cyclin D3 [Source:MGI Symbol;Acc:MGI:88315]",1,1,"Ccnd3","CellAge_inhibits"
"CD28","Inhibits","Cd28",109,"ENSG00000178562","109.1.1","ENSMUSG00000026012","CD28 antigen [Source:MGI Symbol;Acc:MGI:88327]",1,1,"Cd28","CellAge_inhibits"
"CD34","Induces","Cd34",110,"ENSG00000174059","110.1.1","ENSMUSG00000016494","CD34 antigen [Source:MGI Symbol;Acc:MGI:88329]",1,1,"Cd34","CellAge_induces"
"CD40LG","Unclear","Cd40lg",111,"ENSG00000102245","111.1.1","ENSMUSG00000031132","CD40 ligand [Source:MGI Symbol;Acc:MGI:88337]",1,1,"Cd40lg","CellAge_all_only"
"CD82","Induces","Cd82",112,"ENSG00000085117","112.1.1","ENSMUSG00000027215","CD82 antigen [Source:MGI Symbol;Acc:MGI:104651]",1,1,"Cd82","CellAge_induces"
"CDC25A","Inhibits","Cdc25a",113,"ENSG00000164045","113.1.1","ENSMUSG00000032477","cell division cycle 25A [Source:MGI Symbol;Acc:MGI:103198]",1,1,"Cdc25a","CellAge_inhibits"
"CDC45","Inhibits","Cdc45",114,"ENSG00000093009","114.1.1","ENSMUSG00000000028","cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]",1,1,"Cdc45","CellAge_inhibits"
"CDC6","Induces","Cdc6",115,"ENSG00000094804","115.1.1","ENSMUSG00000017499","cell division cycle 6 [Source:MGI Symbol;Acc:MGI:1345150]",1,1,"Cdc6","CellAge_induces"
"CDC7","Inhibits","Cdc7",116,"ENSG00000097046","116.1.1","ENSMUSG00000029283","cell division cycle 7 [Source:MGI Symbol;Acc:MGI:1309511]",1,1,"Cdc7","CellAge_inhibits"
"CDCA2","Inhibits","Cdca2",117,"ENSG00000184661","117.1.1","ENSMUSG00000048922","cell division cycle associated 2 [Source:MGI Symbol;Acc:MGI:1919787]",1,1,"Cdca2","CellAge_inhibits"
"CDCA4","Inhibits","Cdca4",118,"ENSG00000170779","118.1.1","ENSMUSG00000047832","cell division cycle associated 4 [Source:MGI Symbol;Acc:MGI:1919213]",1,1,"Cdca4","CellAge_inhibits"
"CDH1","Inhibits","Cdh1",119,"ENSG00000039068","119.1.1","ENSMUSG00000000303","cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]",1,1,"Cdh1","CellAge_inhibits"
"CDK1","Inhibits","Cdk1",120,"ENSG00000170312","120.1.1","ENSMUSG00000019942","cyclin dependent kinase 1 [Source:MGI Symbol;Acc:MGI:88351]",1,1,"Cdk1","CellAge_inhibits"
"CDK18","Induces","Cdk18",121,"ENSG00000117266","121.1.1","ENSMUSG00000026437","cyclin dependent kinase 18 [Source:MGI Symbol;Acc:MGI:97518]",1,1,"Cdk18","CellAge_induces"
"CDK2","Inhibits","Cdk2",122,"ENSG00000123374","122.1.1","ENSMUSG00000025358","cyclin dependent kinase 2 [Source:MGI Symbol;Acc:MGI:104772]",1,1,"Cdk2","CellAge_inhibits"
"CDK4","Inhibits","Cdk4",124,"ENSG00000135446","124.1.1","ENSMUSG00000006728","cyclin dependent kinase 4 [Source:MGI Symbol;Acc:MGI:88357]",1,1,"Cdk4","CellAge_inhibits"
"CDK5","Induces","Cdk5",125,"ENSG00000164885","125.1.1","ENSMUSG00000028969","cyclin dependent kinase 5 [Source:MGI Symbol;Acc:MGI:101765]",1,1,"Cdk5","CellAge_induces"
"CDK5R1","Induces","Cdk5r1",126,"ENSG00000176749","126.1.1","ENSMUSG00000048895","cyclin dependent kinase 5, regulatory subunit 1 [Source:MGI Symbol;Acc:MGI:101764]",1,1,"Cdk5r1","CellAge_induces"
"CDK6","Inhibits","Cdk6",127,"ENSG00000105810","127.1.1","ENSMUSG00000040274","cyclin dependent kinase 6 [Source:MGI Symbol;Acc:MGI:1277162]",1,1,"Cdk6","CellAge_inhibits"
"CDKN1A","Induces","Cdkn1a",128,"ENSG00000124762","128.1.1","ENSMUSG00000023067","cyclin dependent kinase inhibitor 1A [Source:MGI Symbol;Acc:MGI:104556]",1,1,"Cdkn1a","CellAge_induces"
"CDKN1B","Induces","Cdkn1b",129,"ENSG00000111276","129.1.1","ENSMUSG00000003031","cyclin dependent kinase inhibitor 1B [Source:MGI Symbol;Acc:MGI:104565]",1,1,"Cdkn1b","CellAge_induces"
"CDKN1C","Induces","Cdkn1c",130,"ENSG00000129757","130.1.1","ENSMUSG00000037664","cyclin dependent kinase inhibitor 1C [Source:MGI Symbol;Acc:MGI:104564]",1,1,"Cdkn1c","CellAge_induces"
"CDKN2A","Induces","Cdkn2a",131,"ENSG00000147889","131.1.1","ENSMUSG00000044303","cyclin dependent kinase inhibitor 2A [Source:MGI Symbol;Acc:MGI:104738]",1,1,"Cdkn2a","CellAge_induces"
"CDKN2AIP","Induces","Cdkn2aip",132,"ENSG00000168564","132.1.1","ENSMUSG00000038069","CDKN2A interacting protein [Source:MGI Symbol;Acc:MGI:1918175]",1,1,"Cdkn2aip","CellAge_induces"
"CDKN2B","Induces","Cdkn2b",133,"ENSG00000147883","133.1.1","ENSMUSG00000073802","cyclin dependent kinase inhibitor 2B [Source:MGI Symbol;Acc:MGI:104737]",1,1,"Cdkn2b","CellAge_induces"
"CEBPB","Induces","Cebpb",135,"ENSG00000172216","135.1.1","ENSMUSG00000056501","CCAAT/enhancer binding protein beta [Source:MGI Symbol;Acc:MGI:88373]",1,1,"Cebpb","CellAge_induces"
"CEBPG","Inhibits","Cebpg",136,"ENSG00000153879","136.1.1","ENSMUSG00000056216","CCAAT/enhancer binding protein gamma [Source:MGI Symbol;Acc:MGI:104982]",1,1,"Cebpg","CellAge_inhibits"
"CENPA","Inhibits","Cenpa",137,"ENSG00000115163","137.1.1","ENSMUSG00000029177","centromere protein A [Source:MGI Symbol;Acc:MGI:88375]",1,1,"Cenpa","CellAge_inhibits"
