"item_id","required_class","category","role","basename_exact","dest_rel","required","used_by","required_reason","preferred_rel"
"012","REQUIRED","00_scripts_final_reordered","Final reordered script I QLF_GSEA.R","I QLF_GSEA.R","scripts/I QLF_GSEA.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"013","REQUIRED","00_scripts_final_reordered","Final reordered script J_supplementary_chronic_step5_TMM_aligned_core_heatmap_pig_early_style_COMPACT.R","J_supplementary_chronic_step5_TMM_aligned_core_heatmap_pig_early_style_COMPACT.R","scripts/J_supplementary_chronic_step5_TMM_aligned_core_heatmap_pig_early_style_COMPACT.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"014","REQUIRED","00_scripts_final_reordered","Final reordered script J2_chronic_step5B_current78_core_DE_audit_Step4_locked_J_summary_path_fixed.R","J2_chronic_step5B_current78_core_DE_audit_Step4_locked_J_summary_path_fixed.R","scripts/J2_chronic_step5B_current78_core_DE_audit_Step4_locked_J_summary_path_fixed.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"015","REQUIRED","00_scripts_final_reordered","Final reordered script K chronic_figure5C_core_DE_gene_audit_plot_Step4_locked_fixed_label_v2.R","K chronic_figure5C_core_DE_gene_audit_plot_Step4_locked_fixed_label_v2.R","scripts/K chronic_figure5C_core_DE_gene_audit_plot_Step4_locked_fixed_label_v2.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"016","REQUIRED","00_scripts_final_reordered","Final reordered script L_chronic_step6_current78_figure5D_early_vs_chronic_summary_TMM_aligned_STEP5B_LOCKED.R","L_chronic_step6_current78_figure5D_early_vs_chronic_summary_TMM_aligned_STEP5B_LOCKED.R","scripts/L_chronic_step6_current78_figure5D_early_vs_chronic_summary_TMM_aligned_STEP5B_LOCKED.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"017","REQUIRED","01_required_cross_project_early_pig_inputs","step18_current78_pig_signature_gene_table.csv","step18_current78_pig_signature_gene_table.csv","source_inputs/01_early_pig_inputs_required/step18_current78_pig_signature_gene_table.csv",TRUE,"Chronic G signature score and L Figure5D summary","These early-pig outputs define the fixed 75-gene signature and early values used in chronic extension figures. The fixed 24-core gene table is checked separately as a required alternative-any group.","rebuild_submission/02_pig_early/step18_current78_pig_signature_gene_table.csv"
"018","REQUIRED","01_required_cross_project_early_pig_inputs","step18_current78_pig_early_signature_remap_summary.csv","step18_current78_pig_early_signature_remap_summary.csv","source_inputs/01_early_pig_inputs_required/step18_current78_pig_early_signature_remap_summary.csv",TRUE,"Chronic G signature score and L Figure5D summary","These early-pig outputs define the fixed 75-gene signature and early values used in chronic extension figures. The fixed 24-core gene table is checked separately as a required alternative-any group.","rebuild_submission/02_pig_early/step18_current78_pig_early_signature_remap_summary.csv"
"019","REQUIRED","01_required_cross_project_early_pig_inputs","step19_current78_pig_signature_score_group_comparisons.csv","step19_current78_pig_signature_score_group_comparisons.csv","source_inputs/01_early_pig_inputs_required/step19_current78_pig_signature_score_group_comparisons.csv",TRUE,"Chronic G signature score and L Figure5D summary","These early-pig outputs define the fixed 75-gene signature and early values used in chronic extension figures. The fixed 24-core gene table is checked separately as a required alternative-any group.","rebuild_submission/02_pig_early/step19_current78_pig_signature_score_group_comparisons.csv"
"020","REQUIRED","01_required_cross_project_early_pig_inputs","step20_current78_target_pathway_results_from_full_hallmark.csv","step20_current78_target_pathway_results_from_full_hallmark.csv","source_inputs/01_early_pig_inputs_required/step20_current78_target_pathway_results_from_full_hallmark.csv",TRUE,"Chronic G signature score and L Figure5D summary","These early-pig outputs define the fixed 75-gene signature and early values used in chronic extension figures. The fixed 24-core gene table is checked separately as a required alternative-any group.","rebuild_submission/02_pig_early/step20_current78_target_pathway_results_from_full_hallmark.csv"
"021","OPTIONAL","01_optional_cross_project_early_pig_alternative_core_inputs","step21_current78_pig_core_ortholog_gene_table.csv","step21_current78_pig_core_ortholog_gene_table.csv","source_inputs/01_early_pig_inputs_optional_alternatives/step21_current78_pig_core_ortholog_gene_table.csv",FALSE,"Alternative accepted core-gene paths in J/J2","Optional copies of all acceptable core-gene candidates. The package still requires at least one valid fixed 24-core gene table through the required alternative-any group below.","rebuild_submission/02_pig_early/step21_current78_pig_core_ortholog_gene_table.csv"
"022","OPTIONAL","01_optional_cross_project_early_pig_alternative_core_inputs","step21_current78_core_ortholog_gene_table.csv","step21_current78_core_ortholog_gene_table.csv","source_inputs/01_early_pig_inputs_optional_alternatives/step21_current78_core_ortholog_gene_table.csv",FALSE,"Alternative accepted core-gene paths in J/J2","Optional copies of all acceptable core-gene candidates. The package still requires at least one valid fixed 24-core gene table through the required alternative-any group below.","rebuild_submission/02_pig_early/step21_current78_core_ortholog_gene_table.csv"
"023","OPTIONAL","01_optional_cross_project_early_pig_alternative_core_inputs","step21_pig_core_ortholog_gene_table.csv","step21_pig_core_ortholog_gene_table.csv","source_inputs/01_early_pig_inputs_optional_alternatives/step21_pig_core_ortholog_gene_table.csv",FALSE,"Alternative accepted core-gene paths in J/J2","Optional copies of all acceptable core-gene candidates. The package still requires at least one valid fixed 24-core gene table through the required alternative-any group below.","rebuild_submission/02_pig_early/step21_pig_core_ortholog_gene_table.csv"
"024","OPTIONAL","01_optional_cross_project_early_pig_alternative_core_inputs","step18_current78_pig_core_gene_table.csv","step18_current78_pig_core_gene_table.csv","source_inputs/01_early_pig_inputs_optional_alternatives/step18_current78_pig_core_gene_table.csv",FALSE,"Alternative accepted core-gene paths in J/J2","Optional copies of all acceptable core-gene candidates. The package still requires at least one valid fixed 24-core gene table through the required alternative-any group below.","rebuild_submission/02_pig_early/step18_current78_pig_core_gene_table.csv"
"025","OPTIONAL","01_optional_cross_project_early_pig_alternative_core_inputs","step18_current78_core_gene_table.csv","step18_current78_core_gene_table.csv","source_inputs/01_early_pig_inputs_optional_alternatives/step18_current78_core_gene_table.csv",FALSE,"Alternative accepted core-gene paths in J/J2","Optional copies of all acceptable core-gene candidates. The package still requires at least one valid fixed 24-core gene table through the required alternative-any group below.","rebuild_submission/02_pig_early/step18_current78_core_gene_table.csv"
"026","OPTIONAL","01_optional_cross_project_early_pig_alternative_core_inputs","step21_current78_pig_signature_validation_table.csv","step21_current78_pig_signature_validation_table.csv","source_inputs/01_early_pig_inputs_optional_alternatives/step21_current78_pig_signature_validation_table.csv",FALSE,"Alternative accepted core-gene paths in J/J2","Optional copies of all acceptable core-gene candidates. The package still requires at least one valid fixed 24-core gene table through the required alternative-any group below.","rebuild_submission/02_pig_early/step21_current78_pig_signature_validation_table.csv"
"027","REQUIRED","02_required_step23_data_source_QC_minimal","step23_pig_chronic_quant_file_inventory_FIXED.csv","step23_pig_chronic_quant_file_inventory_FIXED.csv","tables_required/02_step23_quant_QC_minimal/step23_pig_chronic_quant_file_inventory_FIXED.csv",TRUE,"Methods data source and 96-file / tissue-group claim","These files support the processed Salmon file inventory and 48 synovium + 48 cartilage sample structure used before subsetting.","rebuild_submission/03_pig_chronic/step23_pig_chronic_quant_file_inventory_FIXED.csv"
"028","REQUIRED","02_required_step23_data_source_QC_minimal","step23_pig_chronic_quant_level_QC_summary_FIXED.csv","step23_pig_chronic_quant_level_QC_summary_FIXED.csv","tables_required/02_step23_quant_QC_minimal/step23_pig_chronic_quant_level_QC_summary_FIXED.csv",TRUE,"Methods data source and 96-file / tissue-group claim","These files support the processed Salmon file inventory and 48 synovium + 48 cartilage sample structure used before subsetting.","rebuild_submission/03_pig_chronic/step23_pig_chronic_quant_level_QC_summary_FIXED.csv"
"029","REQUIRED","02_required_step23_data_source_QC_minimal","step23_pig_chronic_quant_level_QC_tissue_group_summary_FIXED.csv","step23_pig_chronic_quant_level_QC_tissue_group_summary_FIXED.csv","tables_required/02_step23_quant_QC_minimal/step23_pig_chronic_quant_level_QC_tissue_group_summary_FIXED.csv",TRUE,"Methods data source and 96-file / tissue-group claim","These files support the processed Salmon file inventory and 48 synovium + 48 cartilage sample structure used before subsetting.","rebuild_submission/03_pig_chronic/step23_pig_chronic_quant_level_QC_tissue_group_summary_FIXED.csv"
"030","OPTIONAL","02_optional_step23_data_source_QC_details","step23_pig_chronic_quant_level_QC_table_FIXED.csv","step23_pig_chronic_quant_level_QC_table_FIXED.csv","optional_QC_audit/02_step23_quant_QC_details/step23_pig_chronic_quant_level_QC_table_FIXED.csv",FALSE,"Detailed QC review only","Optional detailed QC/log files; absence does not block main figures or core reproduction if required summaries are present.","rebuild_submission/03_pig_chronic/step23_pig_chronic_quant_level_QC_table_FIXED.csv"
"031","OPTIONAL","02_optional_step23_data_source_QC_details","step23_pig_chronic_quant_level_QC_summary_to_send_me_FIXED.txt","step23_pig_chronic_quant_level_QC_summary_to_send_me_FIXED.txt","optional_QC_audit/02_step23_quant_QC_details/step23_pig_chronic_quant_level_QC_summary_to_send_me_FIXED.txt",FALSE,"Detailed QC review only","Optional detailed QC/log files; absence does not block main figures or core reproduction if required summaries are present.","rebuild_submission/03_pig_chronic/step23_pig_chronic_quant_level_QC_summary_to_send_me_FIXED.txt"
"032","OPTIONAL","02_optional_step23_data_source_QC_details","step23_pig_chronic_quant_level_QC_FIXED_log.txt","step23_pig_chronic_quant_level_QC_FIXED_log.txt","optional_QC_audit/02_step23_quant_QC_details/step23_pig_chronic_quant_level_QC_FIXED_log.txt",FALSE,"Detailed QC review only","Optional detailed QC/log files; absence does not block main figures or core reproduction if required summaries are present.","rebuild_submission/03_pig_chronic/step23_pig_chronic_quant_level_QC_FIXED_log.txt"
"033","OPTIONAL","02_optional_step23_data_source_QC_details","step23_pig_chronic_quant_level_QC_read_errors_FIXED.csv","step23_pig_chronic_quant_level_QC_read_errors_FIXED.csv","optional_QC_audit/02_step23_quant_QC_details/step23_pig_chronic_quant_level_QC_read_errors_FIXED.csv",FALSE,"Detailed QC review only","Optional detailed QC/log files; absence does not block main figures or core reproduction if required summaries are present.","rebuild_submission/03_pig_chronic/step23_pig_chronic_quant_level_QC_read_errors_FIXED.csv"
"034","REQUIRED","03_required_step24_tximport_core_outputs","step24_pig_chronic_tx2gene.csv","step24_pig_chronic_tx2gene.csv","tables_required/03_step24_tximport_core/step24_pig_chronic_tx2gene.csv",TRUE,"Step25 subsetting, Step4 effective-length offset, and chronic matrix provenance","These are the core tximport gene-level matrices and tx2gene evidence required to support all downstream chronic analyses.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tx2gene.csv"
"035","REQUIRED","03_required_step24_tximport_core_outputs","step24_pig_chronic_gene_level_estimated_counts_matrix.csv","step24_pig_chronic_gene_level_estimated_counts_matrix.csv","tables_required/03_step24_tximport_core/step24_pig_chronic_gene_level_estimated_counts_matrix.csv",TRUE,"Step25 subsetting, Step4 effective-length offset, and chronic matrix provenance","These are the core tximport gene-level matrices and tx2gene evidence required to support all downstream chronic analyses.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_estimated_counts_matrix.csv"
"036","REQUIRED","03_required_step24_tximport_core_outputs","step24_pig_chronic_gene_level_abundance_tpm_matrix.csv","step24_pig_chronic_gene_level_abundance_tpm_matrix.csv","tables_required/03_step24_tximport_core/step24_pig_chronic_gene_level_abundance_tpm_matrix.csv",TRUE,"Step25 subsetting, Step4 effective-length offset, and chronic matrix provenance","These are the core tximport gene-level matrices and tx2gene evidence required to support all downstream chronic analyses.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_abundance_tpm_matrix.csv"
"037","REQUIRED","03_required_step24_tximport_core_outputs","step24_pig_chronic_gene_level_length_matrix.csv","step24_pig_chronic_gene_level_length_matrix.csv","tables_required/03_step24_tximport_core/step24_pig_chronic_gene_level_length_matrix.csv",TRUE,"Step25 subsetting, Step4 effective-length offset, and chronic matrix provenance","These are the core tximport gene-level matrices and tx2gene evidence required to support all downstream chronic analyses.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_length_matrix.csv"
"038","REQUIRED","03_required_step24_tximport_core_outputs","step24_pig_chronic_tximport_run_summary.csv","step24_pig_chronic_tximport_run_summary.csv","tables_required/03_step24_tximport_core/step24_pig_chronic_tximport_run_summary.csv",TRUE,"Step25 subsetting, Step4 effective-length offset, and chronic matrix provenance","These are the core tximport gene-level matrices and tx2gene evidence required to support all downstream chronic analyses.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tximport_run_summary.csv"
"039","OPTIONAL","03_optional_step24_tximport_details","step24_pig_chronic_quant_inventory.csv","step24_pig_chronic_quant_inventory.csv","optional_QC_audit/03_step24_tximport_details/step24_pig_chronic_quant_inventory.csv",FALSE,"Detailed tximport audit","Optional because core matrices and tximport summary are already required.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_quant_inventory.csv"
"040","OPTIONAL","03_optional_step24_tximport_details","step24_pig_chronic_gene_annotation_from_gtf.csv","step24_pig_chronic_gene_annotation_from_gtf.csv","optional_QC_audit/03_step24_tximport_details/step24_pig_chronic_gene_annotation_from_gtf.csv",FALSE,"Detailed tximport audit","Optional because core matrices and tximport summary are already required.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_annotation_from_gtf.csv"
"041","OPTIONAL","03_optional_step24_tximport_details","step24_pig_chronic_tximport_log.txt","step24_pig_chronic_tximport_log.txt","optional_QC_audit/03_step24_tximport_details/step24_pig_chronic_tximport_log.txt",FALSE,"Detailed tximport audit","Optional because core matrices and tximport summary are already required.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tximport_log.txt"
"042","REQUIRED","04_required_step25_final_subsets","step25v2_pig_chronic_synovium_manifest.csv","step25v2_pig_chronic_synovium_manifest.csv","tables_required/04_step25_final_subsets/step25v2_pig_chronic_synovium_manifest.csv",TRUE,"G signature score, I DE/GSEA, J heatmap, and sample/group definition","These files define the final synovium-only 24-sample main comparison and provide the exact count/TPM/length matrices used downstream.","rebuild_submission/03_pig_chronic/tables/step25v2_pig_chronic_synovium_manifest.csv"
"043","REQUIRED","04_required_step25_final_subsets","step25v3_pig_chronic_synovium_manifest.csv","step25v3_pig_chronic_synovium_manifest.csv","tables_required/04_step25_final_subsets/step25v3_pig_chronic_synovium_manifest.csv",TRUE,"G signature score, I DE/GSEA, J heatmap, and sample/group definition","These files define the final synovium-only 24-sample main comparison and provide the exact count/TPM/length matrices used downstream.","rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_synovium_manifest.csv"
"044","REQUIRED","04_required_step25_final_subsets","step25v3_pig_chronic_group_summary.csv","step25v3_pig_chronic_group_summary.csv","tables_required/04_step25_final_subsets/step25v3_pig_chronic_group_summary.csv",TRUE,"G signature score, I DE/GSEA, J heatmap, and sample/group definition","These files define the final synovium-only 24-sample main comparison and provide the exact count/TPM/length matrices used downstream.","rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_group_summary.csv"
"045","REQUIRED","04_required_step25_final_subsets","step25v3_pig_chronic_main_comparison_manifest.csv","step25v3_pig_chronic_main_comparison_manifest.csv","tables_required/04_step25_final_subsets/step25v3_pig_chronic_main_comparison_manifest.csv",TRUE,"G signature score, I DE/GSEA, J heatmap, and sample/group definition","These files define the final synovium-only 24-sample main comparison and provide the exact count/TPM/length matrices used downstream.","rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_manifest.csv"
"046","REQUIRED","04_required_step25_final_subsets","step25v3_pig_chronic_main_comparison_gene_level_counts_matrix.csv","step25v3_pig_chronic_main_comparison_gene_level_counts_matrix.csv","tables_required/04_step25_final_subsets/step25v3_pig_chronic_main_comparison_gene_level_counts_matrix.csv",TRUE,"G signature score, I DE/GSEA, J heatmap, and sample/group definition","These files define the final synovium-only 24-sample main comparison and provide the exact count/TPM/length matrices used downstream.","rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_gene_level_counts_matrix.csv"
"047","REQUIRED","04_required_step25_final_subsets","step25v3_pig_chronic_main_comparison_gene_level_abundance_tpm_matrix.csv","step25v3_pig_chronic_main_comparison_gene_level_abundance_tpm_matrix.csv","tables_required/04_step25_final_subsets/step25v3_pig_chronic_main_comparison_gene_level_abundance_tpm_matrix.csv",TRUE,"G signature score, I DE/GSEA, J heatmap, and sample/group definition","These files define the final synovium-only 24-sample main comparison and provide the exact count/TPM/length matrices used downstream.","rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_gene_level_abundance_tpm_matrix.csv"
"048","REQUIRED","04_required_step25_final_subsets","step25v3_pig_chronic_main_comparison_gene_level_length_matrix.csv","step25v3_pig_chronic_main_comparison_gene_level_length_matrix.csv","tables_required/04_step25_final_subsets/step25v3_pig_chronic_main_comparison_gene_level_length_matrix.csv",TRUE,"G signature score, I DE/GSEA, J heatmap, and sample/group definition","These files define the final synovium-only 24-sample main comparison and provide the exact count/TPM/length matrices used downstream.","rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_gene_level_length_matrix.csv"
"049","OPTIONAL","04_optional_step25_intermediate_or_full_synovium_outputs","step25v2_pig_chronic_main_comparison_manifest.csv","step25v2_pig_chronic_main_comparison_manifest.csv","optional_QC_audit/04_step25_intermediate_or_full_synovium_outputs/step25v2_pig_chronic_main_comparison_manifest.csv",FALSE,"Intermediate audit and full 48-synovium reference","Optional because the final 24-sample main-comparison files are the downstream analysis inputs.","rebuild_submission/03_pig_chronic/tables/step25v2_pig_chronic_main_comparison_manifest.csv"
"050","OPTIONAL","04_optional_step25_intermediate_or_full_synovium_outputs","step25v2_pig_chronic_manifest_rebuild_summary.csv","step25v2_pig_chronic_manifest_rebuild_summary.csv","optional_QC_audit/04_step25_intermediate_or_full_synovium_outputs/step25v2_pig_chronic_manifest_rebuild_summary.csv",FALSE,"Intermediate audit and full 48-synovium reference","Optional because the final 24-sample main-comparison files are the downstream analysis inputs.","rebuild_submission/03_pig_chronic/tables/step25v2_pig_chronic_manifest_rebuild_summary.csv"
"051","OPTIONAL","04_optional_step25_intermediate_or_full_synovium_outputs","step25v2_pig_chronic_manifest_rebuild_log.txt","step25v2_pig_chronic_manifest_rebuild_log.txt","optional_QC_audit/04_step25_intermediate_or_full_synovium_outputs/step25v2_pig_chronic_manifest_rebuild_log.txt",FALSE,"Intermediate audit and full 48-synovium reference","Optional because the final 24-sample main-comparison files are the downstream analysis inputs.","rebuild_submission/03_pig_chronic/tables/step25v2_pig_chronic_manifest_rebuild_log.txt"
"052","OPTIONAL","04_optional_step25_intermediate_or_full_synovium_outputs","step25v3_pig_chronic_manifest_rebuild_summary.csv","step25v3_pig_chronic_manifest_rebuild_summary.csv","optional_QC_audit/04_step25_intermediate_or_full_synovium_outputs/step25v3_pig_chronic_manifest_rebuild_summary.csv",FALSE,"Intermediate audit and full 48-synovium reference","Optional because the final 24-sample main-comparison files are the downstream analysis inputs.","rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_manifest_rebuild_summary.csv"
"053","OPTIONAL","04_optional_step25_intermediate_or_full_synovium_outputs","step25v3_pig_chronic_manifest_rebuild_log.txt","step25v3_pig_chronic_manifest_rebuild_log.txt","optional_QC_audit/04_step25_intermediate_or_full_synovium_outputs/step25v3_pig_chronic_manifest_rebuild_log.txt",FALSE,"Intermediate audit and full 48-synovium reference","Optional because the final 24-sample main-comparison files are the downstream analysis inputs.","rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_manifest_rebuild_log.txt"
"054","OPTIONAL","04_optional_step25_intermediate_or_full_synovium_outputs","step25v3_pig_chronic_synovium_gene_level_counts_matrix.csv","step25v3_pig_chronic_synovium_gene_level_counts_matrix.csv","optional_QC_audit/04_step25_intermediate_or_full_synovium_outputs/step25v3_pig_chronic_synovium_gene_level_counts_matrix.csv",FALSE,"Intermediate audit and full 48-synovium reference","Optional because the final 24-sample main-comparison files are the downstream analysis inputs.","rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_synovium_gene_level_counts_matrix.csv"
"055","OPTIONAL","04_optional_step25_intermediate_or_full_synovium_outputs","step25v3_pig_chronic_synovium_gene_level_abundance_tpm_matrix.csv","step25v3_pig_chronic_synovium_gene_level_abundance_tpm_matrix.csv","optional_QC_audit/04_step25_intermediate_or_full_synovium_outputs/step25v3_pig_chronic_synovium_gene_level_abundance_tpm_matrix.csv",FALSE,"Intermediate audit and full 48-synovium reference","Optional because the final 24-sample main-comparison files are the downstream analysis inputs.","rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_synovium_gene_level_abundance_tpm_matrix.csv"
"056","OPTIONAL","04_optional_step25_intermediate_or_full_synovium_outputs","step25v3_pig_chronic_synovium_gene_level_length_matrix.csv","step25v3_pig_chronic_synovium_gene_level_length_matrix.csv","optional_QC_audit/04_step25_intermediate_or_full_synovium_outputs/step25v3_pig_chronic_synovium_gene_level_length_matrix.csv",FALSE,"Intermediate audit and full 48-synovium reference","Optional because the final 24-sample main-comparison files are the downstream analysis inputs.","rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_synovium_gene_level_length_matrix.csv"
"057","REQUIRED","05_required_methods_12_1_evidence_minimal","step22_methods_12_1_data_source_sample_annotation_evidence.csv","step22_methods_12_1_data_source_sample_annotation_evidence.csv","methods_required/05_methods_12_1_minimal/step22_methods_12_1_data_source_sample_annotation_evidence.csv",TRUE,"Chronic pig Methods Section 12.1 evidence","These files support the data-source, sample annotation, synovium-only, and main-comparison claims in the methods.","rebuild_submission/03_pig_chronic/step22_methods_12_1_data_source_sample_annotation_evidence.csv"
"058","REQUIRED","05_required_methods_12_1_evidence_minimal","step22_methods_12_1_synovium_group_summary.csv","step22_methods_12_1_synovium_group_summary.csv","methods_required/05_methods_12_1_minimal/step22_methods_12_1_synovium_group_summary.csv",TRUE,"Chronic pig Methods Section 12.1 evidence","These files support the data-source, sample annotation, synovium-only, and main-comparison claims in the methods.","rebuild_submission/03_pig_chronic/step22_methods_12_1_synovium_group_summary.csv"
"059","REQUIRED","05_required_methods_12_1_evidence_minimal","step22_methods_12_1_main_comparison_group_summary.csv","step22_methods_12_1_main_comparison_group_summary.csv","methods_required/05_methods_12_1_minimal/step22_methods_12_1_main_comparison_group_summary.csv",TRUE,"Chronic pig Methods Section 12.1 evidence","These files support the data-source, sample annotation, synovium-only, and main-comparison claims in the methods.","rebuild_submission/03_pig_chronic/step22_methods_12_1_main_comparison_group_summary.csv"
"060","REQUIRED","05_required_methods_12_1_evidence_minimal","step22_methods_12_1_text_archived.txt","step22_methods_12_1_text_archived.txt","methods_required/05_methods_12_1_minimal/step22_methods_12_1_text_archived.txt",TRUE,"Chronic pig Methods Section 12.1 evidence","These files support the data-source, sample annotation, synovium-only, and main-comparison claims in the methods.","rebuild_submission/03_pig_chronic/step22_methods_12_1_text_archived.txt"
"061","OPTIONAL","05_optional_methods_12_1_details","step22_methods_12_1_quant_directory_rescan.csv","step22_methods_12_1_quant_directory_rescan.csv","optional_QC_audit/05_methods_12_1_details/step22_methods_12_1_quant_directory_rescan.csv",FALSE,"Detailed methods audit only","Optional because the minimal methods evidence tables/text are already required.","rebuild_submission/03_pig_chronic/step22_methods_12_1_quant_directory_rescan.csv"
