"mouse_symbol","human_symbol","CellAge_effect","ortholog_name","input_number","input_ensg","ensg_number","ortholog_ensg","description","n_mouse_orthologs","n_human_inputs","score_type","gene_id","source"
"Bap1","BAP1","Induces","Bap1",61,"ENSG00000163930","61.1.1","ENSMUSG00000021901","Brca1 associated protein 1 [Source:MGI Symbol;Acc:MGI:1206586]",1,1,"CellAge_induces","G10090_3662","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
"Baz1a","BAZ1A","Inhibits","Baz1a",62,"ENSG00000198604","62.1.1","ENSMUSG00000035021","bromodomain adjacent to zinc finger domain 1A [Source:MGI Symbol;Acc:MGI:1309478]",1,1,"CellAge_inhibits","G10090_2349","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_1W_standardized.csv"
"Bcl11b","BCL11B","Inhibits","Bcl11b",63,"ENSG00000127152","63.1.1","ENSMUSG00000048251","B cell leukemia/lymphoma 11B [Source:MGI Symbol;Acc:MGI:1929913]",1,1,"CellAge_inhibits","G10090_6460","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_st_gene_id_entrez_symbol_map.csv"
"Bcl2","BCL2","Induces","Bcl2",64,"ENSG00000171791","64.1.1","ENSMUSG00000057329","B cell leukemia/lymphoma 2 [Source:MGI Symbol;Acc:MGI:88138]",1,1,"CellAge_induces","G10090_18703","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
"Bcl2l1","BCL2L1","Inhibits","Bcl2l1",65,"ENSG00000171552","65.1.1","ENSMUSG00000007659","BCL2-like 1 [Source:MGI Symbol;Acc:MGI:88139]",1,1,"CellAge_inhibits","G10090_9650","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_st_gene_id_entrez_symbol_map.csv"
"Bcl3","BCL3","Inhibits","Bcl3",67,"ENSG00000069399","67.1.1","ENSMUSG00000053175","B cell leukemia/lymphoma 3 [Source:MGI Symbol;Acc:MGI:88140]",1,1,"CellAge_inhibits","G10090_30321","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_4W_standardized.csv"
"Bcl6","BCL6","Inhibits","Bcl6",68,"ENSG00000113916","68.1.1","ENSMUSG00000022508","B cell leukemia/lymphoma 6 [Source:MGI Symbol;Acc:MGI:107187]",1,1,"CellAge_inhibits","G10090_24510","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_fpkm_matrix.xlsx"
"Bclaf1","BCLAF1","Induces","Bclaf1",69,"ENSG00000029363","69.1.1","ENSMUSG00000037608","BCL2-associated transcription factor 1 [Source:MGI Symbol;Acc:MGI:1917580]",1,1,"CellAge_induces","G10090_156","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
"Becn1","BECN1","Inhibits","Becn1",70,"ENSG00000126581","70.1.1","ENSMUSG00000035086","beclin 1, autophagy related [Source:MGI Symbol;Acc:MGI:1891828]",1,1,"CellAge_inhibits","G10090_18575","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"Bhlhe40","BHLHE40","Induces","Bhlhe40",71,"ENSG00000134107","71.1.1","ENSMUSG00000030103","basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]",1,1,"CellAge_induces","G10090_27858","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1E_4W_volcano_source_data.csv"
"Bin1","BIN1","Induces","Bin1",72,"ENSG00000136717","72.1.1","ENSMUSG00000024381","bridging integrator 1 [Source:MGI Symbol;Acc:MGI:108092]",1,1,"CellAge_induces","G10090_6431","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_1W_standardized.csv"
"Birc5","BIRC5","Inhibits","Birc5",73,"ENSG00000089685","73.1.1","ENSMUSG00000017716","baculoviral IAP repeat-containing 5 [Source:MGI Symbol;Acc:MGI:1203517]",1,1,"CellAge_inhibits","G10090_18067","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_1W_standardized.csv"
"Blk","BLK","Induces","Blk",74,"ENSG00000136573","74.1.1","ENSMUSG00000014453","B lymphoid kinase [Source:MGI Symbol;Acc:MGI:88169]",1,1,"CellAge_induces","G10090_14640","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_4W_standardized.csv"
"Blvra","BLVRA","Inhibits","Blvra",75,"ENSG00000106605","75.1.1","ENSMUSG00000001999","biliverdin reductase A [Source:MGI Symbol;Acc:MGI:88170]",1,1,"CellAge_inhibits","G10090_827","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_fpkm_matrix.xlsx"
"Bmi1","BMI1","Inhibits","Bmi1",76,"ENSG00000168283","76.1.1","ENSMUSG00000026739","Bmi1 polycomb ring finger oncogene [Source:MGI Symbol;Acc:MGI:88174]",1,1,"CellAge_inhibits","G10090_1930","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"Bmp4","BMP4","Induces","Bmp4",77,"ENSG00000125378","77.1.1","ENSMUSG00000021835","bone morphogenetic protein 4 [Source:MGI Symbol;Acc:MGI:88180]",1,1,"CellAge_induces","G10090_914","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
"Bmpr2","BMPR2","Induces","Bmpr2",78,"ENSG00000204217","78.1.1","ENSMUSG00000067336","bone morphogenetic protein receptor type 2 [Source:MGI Symbol;Acc:MGI:1095407]",1,1,"CellAge_induces","G10090_3687","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_st_gene_id_entrez_symbol_map.csv"
"Bms1","BMS1","Inhibits","Bms1",79,"ENSG00000165733","79.1.1","ENSMUSG00000030138","BMS1, ribosome biogenesis factor [Source:MGI Symbol;Acc:MGI:2446132]",1,1,"CellAge_inhibits","G10090_10217","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"Bnip3l","BNIP3L","Induces","Bnip3l",80,"ENSG00000104765","80.1.1","ENSMUSG00000022051","BCL2/adenovirus E1B interacting protein 3-like [Source:MGI Symbol;Acc:MGI:1332659]",1,1,"CellAge_induces","G10090_28209","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
