"mouse_symbol_clean","step07_row_id","mouse_symbol_raw","human_symbol_clean","has_valid_mouse_symbol","has_strict_1to1_human_ortholog","is_CellAge_overlap"
"Cfap45",52,"Cfap45","CFAP45",TRUE,TRUE,FALSE
"Tead2",53,"Tead2","TEAD2",TRUE,TRUE,FALSE
"Col6a6",54,"Col6a6","COL6A6",TRUE,TRUE,FALSE
"Ccnb2",56,"Ccnb2","CCNB2",TRUE,TRUE,FALSE
"Efcab6",57,"Efcab6","EFCAB6",TRUE,TRUE,FALSE
"Gpr85",58,"Gpr85","GPR85",TRUE,TRUE,FALSE
"Matn2",59,"Matn2","MATN2",TRUE,TRUE,FALSE
"Chd3",60,"Chd3","CHD3",TRUE,TRUE,FALSE
"Glrb",61,"Glrb","GLRB",TRUE,TRUE,FALSE
"Lmna",62,"Lmna","LMNA",TRUE,TRUE,TRUE
"Cdon",63,"Cdon","CDON",TRUE,TRUE,FALSE
"Kcnk13",64,"Kcnk13","KCNK13",TRUE,TRUE,FALSE
"Ffar4",65,"Ffar4","FFAR4",TRUE,TRUE,FALSE
"Cidec",66,"Cidec","CIDEC",TRUE,TRUE,FALSE
"Ltbp3",67,"Ltbp3","LTBP3",TRUE,TRUE,FALSE
"Inhba",68,"Inhba","INHBA",TRUE,TRUE,FALSE
"Sh3rf3",69,"Sh3rf3","SH3RF3",TRUE,TRUE,FALSE
"Chn2",70,"Chn2","CHN2",TRUE,TRUE,FALSE
"Kcnk6",71,"Kcnk6","KCNK6",TRUE,TRUE,FALSE
"Tgfb1i1",72,"Tgfb1i1","TGFB1I1",TRUE,TRUE,TRUE
"Timp4",73,"Timp4","TIMP4",TRUE,TRUE,FALSE
"Osr2",74,"Osr2","OSR2",TRUE,TRUE,FALSE
"Col5a3",75,"Col5a3","COL5A3",TRUE,TRUE,FALSE
"Clec12a",76,"Clec12a","CLEC12A",TRUE,TRUE,FALSE
"Tfpi2",77,"Tfpi2","TFPI2",TRUE,TRUE,FALSE
"Cisd1",78,"Cisd1","CISD1",TRUE,TRUE,FALSE
"Scarf2",79,"Scarf2","SCARF2",TRUE,TRUE,FALSE
"Spp1",80,"Spp1","SPP1",TRUE,TRUE,FALSE
"C1qtnf3",81,"C1qtnf3","C1QTNF3",TRUE,TRUE,FALSE
"Ampd1",82,"Ampd1","AMPD1",TRUE,TRUE,FALSE
"Tspan6",83,"Tspan6","TSPAN6",TRUE,TRUE,FALSE
"Praf2",84,"Praf2","PRAF2",TRUE,TRUE,FALSE
"Car1",85,"Car1","CA1",TRUE,TRUE,FALSE
"Fam171a2",86,"Fam171a2","FAM171A2",TRUE,TRUE,FALSE
"Steap2",87,"Steap2","STEAP2",TRUE,TRUE,FALSE
"Myom3",88,"Myom3","MYOM3",TRUE,TRUE,FALSE
"Hjv",89,"Hjv","HJV",TRUE,TRUE,FALSE
"Igsf10",90,"Igsf10","IGSF10",TRUE,TRUE,FALSE
"Mettl21e",91,"Mettl21e","METTL21EP",TRUE,TRUE,FALSE
"Cmtm3",92,"Cmtm3","CMTM3",TRUE,TRUE,FALSE
"Mthfd1l",94,"Mthfd1l","MTHFD1L",TRUE,TRUE,FALSE
"Cenpf",95,"Cenpf","CENPF",TRUE,TRUE,FALSE
"Pon1",96,"Pon1","PON1",TRUE,TRUE,TRUE
"Loxl3",97,"Loxl3","LOXL3",TRUE,TRUE,FALSE
"Tnr",99,"Tnr","TNR",TRUE,TRUE,FALSE
"Asb11",100,"Asb11","ASB11",TRUE,TRUE,FALSE
"Kif4",101,"Kif4","KIF4A",TRUE,TRUE,FALSE
"Ptgr1",102,"Ptgr1","PTGR1",TRUE,TRUE,FALSE
"Dpy19l1",103,"Dpy19l1","DPY19L1",TRUE,TRUE,FALSE
"Fkbp11",104,"Fkbp11","FKBP11",TRUE,TRUE,FALSE
"Thy1",105,"Thy1","THY1",TRUE,TRUE,FALSE
"Lrrc2",106,"Lrrc2","LRRC2",TRUE,TRUE,FALSE
"P3h4",107,"P3h4","P3H4",TRUE,TRUE,FALSE
"Htra3",108,"Htra3","HTRA3",TRUE,TRUE,FALSE
"Tcfl5",109,"Tcfl5","TCFL5",TRUE,TRUE,FALSE
"Scpep1",110,"Scpep1","SCPEP1",TRUE,TRUE,FALSE
"Cfap20dc",111,"Cfap20dc","CFAP20DC",TRUE,TRUE,FALSE
"Agpat4",112,"Agpat4","AGPAT4",TRUE,TRUE,FALSE
"Syn1",114,"Syn1","SYN1",TRUE,TRUE,FALSE
"AI593442",115,"AI593442","C11orf87",TRUE,TRUE,FALSE
"Trim54",116,"Trim54","TRIM54",TRUE,TRUE,FALSE
"Pnpla3",117,"Pnpla3","PNPLA3",TRUE,TRUE,FALSE
"Lum",118,"Lum","LUM",TRUE,TRUE,FALSE
"Uqcr10",119,"Uqcr10","UQCR10",TRUE,TRUE,FALSE
"Cd36",120,"Cd36","CD36",TRUE,TRUE,FALSE
"Zfp469",121,"Zfp469","ZNF469",TRUE,TRUE,FALSE
"Bmp15",122,"Bmp15","BMP15",TRUE,TRUE,FALSE
"Mtmr7",123,"Mtmr7","MTMR7",TRUE,TRUE,FALSE
"Smpx",124,"Smpx","SMPX",TRUE,TRUE,FALSE
"Acadm",125,"Acadm","ACADM",TRUE,TRUE,FALSE
"Gstz1",126,"Gstz1","GSTZ1",TRUE,TRUE,FALSE
"Tcap",127,"Tcap","TCAP",TRUE,TRUE,FALSE
"Mylpf",128,"Mylpf","MYL11",TRUE,TRUE,FALSE
"Aldh6a1",129,"Aldh6a1","ALDH6A1",TRUE,TRUE,FALSE
"Clcf1",130,"Clcf1","CLCF1",TRUE,TRUE,FALSE
"Crispld2",131,"Crispld2","CRISPLD2",TRUE,TRUE,TRUE
"Doc2b",133,"Doc2b","DOC2B",TRUE,TRUE,FALSE
"Tssk4",134,"Tssk4","TSSK4",TRUE,TRUE,FALSE
"Csrp2",135,"Csrp2","CSRP2",TRUE,TRUE,FALSE
"Ckap2",136,"Ckap2","CKAP2",TRUE,TRUE,TRUE
"Il17ra",137,"Il17ra","IL17RA",TRUE,TRUE,FALSE
"Svip",138,"Svip","SVIP",TRUE,TRUE,FALSE
"Msr1",139,"Msr1","MSR1",TRUE,TRUE,FALSE
"Olfml2b",140,"Olfml2b","OLFML2B",TRUE,TRUE,FALSE
"Cyp1b1",141,"Cyp1b1","CYP1B1",TRUE,TRUE,FALSE
"Kif20a",142,"Kif20a","KIF20A",TRUE,TRUE,TRUE
"Lctl",143,"Lctl","LCTL",TRUE,TRUE,FALSE
"Tmc6",144,"Tmc6","TMC6",TRUE,TRUE,FALSE
"Adora3",145,"Adora3","ADORA3",TRUE,TRUE,FALSE
"Cdr2l",146,"Cdr2l","CDR2L",TRUE,TRUE,FALSE
"Adgra2",147,"Adgra2","ADGRA2",TRUE,TRUE,FALSE
"Srgap1",148,"Srgap1","SRGAP1",TRUE,TRUE,FALSE
"Sphkap",149,"Sphkap","SPHKAP",TRUE,TRUE,FALSE
"Tmem132e",150,"Tmem132e","TMEM132E",TRUE,TRUE,FALSE
"Tsku",151,"Tsku","TSKU",TRUE,TRUE,FALSE
"Esrrb",152,"Esrrb","ESRRB",TRUE,TRUE,TRUE
"Dnmt3l",153,"Dnmt3l","DNMT3L",TRUE,TRUE,FALSE
"Lbh",154,"Lbh","LBH",TRUE,TRUE,FALSE
"Esrrg",155,"Esrrg","ESRRG",TRUE,TRUE,FALSE
"Hgf",156,"Hgf","HGF",TRUE,TRUE,FALSE
"Rftn2",157,"Rftn2","RFTN2",TRUE,TRUE,FALSE
"Epyc",159,"Epyc","EPYC",TRUE,TRUE,FALSE
"Naglu",160,"Naglu","NAGLU",TRUE,TRUE,FALSE
"Ttyh3",161,"Ttyh3","TTYH3",TRUE,TRUE,FALSE
"Syngap1",162,"Syngap1","SYNGAP1",TRUE,TRUE,FALSE
"Dlx4",163,"Dlx4","DLX4",TRUE,TRUE,FALSE
"Azin2",164,"Azin2","AZIN2",TRUE,TRUE,FALSE
"Nherf4",165,"Nherf4","NHERF4",TRUE,TRUE,FALSE
"Hhat",166,"Hhat","HHAT",TRUE,TRUE,FALSE
"Glb1l",167,"Glb1l","GLB1L",TRUE,TRUE,FALSE
"Mex3a",168,"Mex3a","MEX3A",TRUE,TRUE,FALSE
"Lipa",169,"Lipa","LIPA",TRUE,TRUE,FALSE
"Prkaa2",170,"Prkaa2","PRKAA2",TRUE,TRUE,TRUE
"Fgf9",171,"Fgf9","FGF9",TRUE,TRUE,FALSE
"Gdf5",172,"Gdf5","GDF5",TRUE,TRUE,FALSE
"Vcan",173,"Vcan","VCAN",TRUE,TRUE,TRUE
"Dhdh",174,"Dhdh","DHDH",TRUE,TRUE,FALSE
"C1qtnf1",176,"C1qtnf1","C1QTNF1",TRUE,TRUE,FALSE
"Bmf",177,"Bmf","BMF",TRUE,TRUE,FALSE
"Sertad4",178,"Sertad4","SERTAD4",TRUE,TRUE,FALSE
"Thbs1",179,"Thbs1","THBS1",TRUE,TRUE,FALSE
"Ulk4",180,"Ulk4","ULK4",TRUE,TRUE,FALSE
"Il1rl1",181,"Il1rl1","IL1RL1",TRUE,TRUE,FALSE
"Nbl1",182,"Nbl1","NBL1",TRUE,TRUE,FALSE
"Iqgap1",183,"Iqgap1","IQGAP1",TRUE,TRUE,FALSE
"Igfbp4",184,"Igfbp4","IGFBP4",TRUE,TRUE,FALSE
"Ly9",185,"Ly9","LY9",TRUE,TRUE,FALSE
"Lrrc18",186,"Lrrc18","LRRC18",TRUE,TRUE,FALSE
"Sorl1",187,"Sorl1","SORL1",TRUE,TRUE,FALSE
"Metrnl",189,"Metrnl","METRNL",TRUE,TRUE,FALSE
"Mogat1",190,"Mogat1","MOGAT1",TRUE,TRUE,FALSE
"Ros1",192,"Ros1","ROS1",TRUE,TRUE,FALSE
"Fosb",193,"Fosb","FOSB",TRUE,TRUE,FALSE
"Adam12",194,"Adam12","ADAM12",TRUE,TRUE,FALSE
"Cyp2e1",195,"Cyp2e1","CYP2E1",TRUE,TRUE,FALSE
"Il1b",196,"Il1b","IL1B",TRUE,TRUE,FALSE
"Trpc6",197,"Trpc6","TRPC6",TRUE,TRUE,FALSE
"Man2b2",198,"Man2b2","MAN2B2",TRUE,TRUE,FALSE
"Nectin4",199,"Nectin4","NECTIN4",TRUE,TRUE,FALSE
"Txndc5",200,"Txndc5","TXNDC5",TRUE,TRUE,FALSE
"Tmem108",201,"Tmem108","TMEM108",TRUE,TRUE,FALSE
"Mfrp",202,"Mfrp","MFRP",TRUE,TRUE,FALSE
"Lpcat2",203,"Lpcat2","LPCAT2",TRUE,TRUE,FALSE
"Snrpn",204,"Snrpn","SNRPN",TRUE,TRUE,FALSE
"Egr3",205,"Egr3","EGR3",TRUE,TRUE,FALSE
"Aldoa",206,"Aldoa","ALDOA",TRUE,TRUE,TRUE
"Fkbp1b",207,"Fkbp1b","FKBP1B",TRUE,TRUE,FALSE
"Myo1d",208,"Myo1d","MYO1D",TRUE,TRUE,FALSE
"Sh3gl2",209,"Sh3gl2","SH3GL2",TRUE,TRUE,FALSE
"Ism1",210,"Ism1","ISM1",TRUE,TRUE,FALSE
"Ggt5",211,"Ggt5","GGT5",TRUE,TRUE,FALSE
"Ak5",212,"Ak5","AK5",TRUE,TRUE,FALSE
"Plcd4",213,"Plcd4","PLCD4",TRUE,TRUE,FALSE
"Ttn",214,"Ttn","TTN",TRUE,TRUE,FALSE
"Gpr162",215,"Gpr162","GPR162",TRUE,TRUE,FALSE
"Rgs16",216,"Rgs16","RGS16",TRUE,TRUE,FALSE
"P3h1",217,"P3h1","P3H1",TRUE,TRUE,TRUE
"Cdc25c",218,"Cdc25c","CDC25C",TRUE,TRUE,FALSE
"Cd44",219,"Cd44","CD44",TRUE,TRUE,FALSE
"Slc6a7",220,"Slc6a7","SLC6A7",TRUE,TRUE,FALSE
"Rnf180",221,"Rnf180","RNF180",TRUE,TRUE,FALSE
"Tnn",222,"Tnn","TNN",TRUE,TRUE,FALSE
"Sdc2",223,"Sdc2","SDC2",TRUE,TRUE,FALSE
"Galnt16",224,"Galnt16","GALNT16",TRUE,TRUE,FALSE
"Ush1c",225,"Ush1c","USH1C",TRUE,TRUE,FALSE
"Msn",227,"Msn","MSN",TRUE,TRUE,TRUE
"Hmcn1",228,"Hmcn1","HMCN1",TRUE,TRUE,FALSE
"6430571L13Rik",229,"6430571L13Rik","C3orf18",TRUE,TRUE,FALSE
"Acaa1b",230,"Acaa1b","ACAA1",TRUE,TRUE,FALSE
"Neto2",231,"Neto2","NETO2",TRUE,TRUE,FALSE
"Gxylt2",232,"Gxylt2","GXYLT2",TRUE,TRUE,FALSE
"Nr4a2",233,"Nr4a2","NR4A2",TRUE,TRUE,FALSE
"Ccdc69",234,"Ccdc69","CCDC69",TRUE,TRUE,FALSE
"Ces1d",235,"Ces1d","CES1",TRUE,TRUE,FALSE
"Ctxn3",236,"Ctxn3","CTXN3",TRUE,TRUE,FALSE
"Pyroxd2",237,"Pyroxd2","PYROXD2",TRUE,TRUE,FALSE
"Ptn",238,"Ptn","PTN",TRUE,TRUE,FALSE
"Itga5",239,"Itga5","ITGA5",TRUE,TRUE,FALSE
"Cavin4",240,"Cavin4","CAVIN4",TRUE,TRUE,FALSE
"Loxl2",241,"Loxl2","LOXL2",TRUE,TRUE,TRUE
"Slc6a2",242,"Slc6a2","SLC6A2",TRUE,TRUE,FALSE
"Htr2b",243,"Htr2b","HTR2B",TRUE,TRUE,FALSE
"Abcd2",244,"Abcd2","ABCD2",TRUE,TRUE,FALSE
"Pik3r5",245,"Pik3r5","PIK3R5",TRUE,TRUE,TRUE
"Dmc1",246,"Dmc1","DMC1",TRUE,TRUE,FALSE
"Sox4",247,"Sox4","SOX4",TRUE,TRUE,TRUE
"Havcr2",248,"Havcr2","HAVCR2",TRUE,TRUE,FALSE
"Cfd",249,"Cfd","CFD",TRUE,TRUE,FALSE
"Dkk3",250,"Dkk3","DKK3",TRUE,TRUE,FALSE
"Zyg11a",251,"Zyg11a","ZYG11A",TRUE,TRUE,FALSE
"Klhl23",252,"Klhl23","KLHL23",TRUE,TRUE,FALSE
"Niban2",253,"Niban2","NIBAN2",TRUE,TRUE,FALSE
"Col5a1",254,"Col5a1","COL5A1",TRUE,TRUE,FALSE
"Slc11a1",255,"Slc11a1","SLC11A1",TRUE,TRUE,FALSE
"Megf10",257,"Megf10","MEGF10",TRUE,TRUE,FALSE
"Cbs",258,"Cbs","CBS",TRUE,TRUE,TRUE
"Nlgn3",259,"Nlgn3","NLGN3",TRUE,TRUE,FALSE
"Vav1",261,"Vav1","VAV1",TRUE,TRUE,FALSE
"Enpp1",262,"Enpp1","ENPP1",TRUE,TRUE,FALSE
"Chdh",263,"Chdh","CHDH",TRUE,TRUE,FALSE
"Arsi",264,"Arsi","ARSI",TRUE,TRUE,FALSE
"Hs3st5",265,"Hs3st5","HS3ST5",TRUE,TRUE,FALSE
"Col15a1",267,"Col15a1","COL15A1",TRUE,TRUE,FALSE
"Bdkrb2",268,"Bdkrb2","BDKRB2",TRUE,TRUE,FALSE
"Il17re",269,"Il17re","IL17RE",TRUE,TRUE,FALSE
"Eln",270,"Eln","ELN",TRUE,TRUE,FALSE
"Myf5",271,"Myf5","MYF5",TRUE,TRUE,FALSE
"Ldhd",272,"Ldhd","LDHD",TRUE,TRUE,FALSE
"Adamts4",273,"Adamts4","ADAMTS4",TRUE,TRUE,FALSE
"Tdrd9",274,"Tdrd9","TDRD9",TRUE,TRUE,FALSE
"Lix1l",275,"Lix1l","LIX1L",TRUE,TRUE,FALSE
"Lbp",276,"Lbp","LBP",TRUE,TRUE,FALSE
"Ostn",277,"Ostn","OSTN",TRUE,TRUE,FALSE
"Mmp14",278,"Mmp14","MMP14",TRUE,TRUE,FALSE
"Rasl10a",279,"Rasl10a","RASL10A",TRUE,TRUE,FALSE
"Phyhipl",280,"Phyhipl","PHYHIPL",TRUE,TRUE,FALSE
"C3ar1",281,"C3ar1","C3AR1",TRUE,TRUE,FALSE
"Src",282,"Src","SRC",TRUE,TRUE,TRUE
"Kyat3",283,"Kyat3","KYAT3",TRUE,TRUE,FALSE
"Nrg4",284,"Nrg4","NRG4",TRUE,TRUE,FALSE
"Il33",285,"Il33","IL33",TRUE,TRUE,FALSE
"Pax1",286,"Pax1","PAX1",TRUE,TRUE,FALSE
"Cda",287,"Cda","CDA",TRUE,TRUE,FALSE
"Tnfsf15",288,"Tnfsf15","TNFSF15",TRUE,TRUE,TRUE
"Postn",289,"Postn","POSTN",TRUE,TRUE,FALSE
"Draxin",290,"Draxin","DRAXIN",TRUE,TRUE,FALSE
"Gprin2",291,"Gprin2","GPRIN2",TRUE,TRUE,FALSE
"Rhbdl2",293,"Rhbdl2","RHBDL2",TRUE,TRUE,FALSE
"Fam114a1",294,"Fam114a1","FAM114A1",TRUE,TRUE,FALSE
"Csf1r",295,"Csf1r","CSF1R",TRUE,TRUE,FALSE
"Sall2",296,"Sall2","SALL2",TRUE,TRUE,FALSE
"Npas4",297,"Npas4","NPAS4",TRUE,TRUE,FALSE
"Nicol1",298,"Nicol1","NICOL1",TRUE,TRUE,FALSE
"Gpat3",299,"Gpat3","GPAT3",TRUE,TRUE,FALSE
"Npas2",300,"Npas2","NPAS2",TRUE,TRUE,FALSE
"Glipr1",301,"Glipr1","GLIPR1",TRUE,TRUE,FALSE
"Lsmem1",302,"Lsmem1","LSMEM1",TRUE,TRUE,FALSE
"Tbc1d2b",303,"Tbc1d2b","TBC1D2B",TRUE,TRUE,FALSE
"Mxd3",304,"Mxd3","MXD3",TRUE,TRUE,FALSE
"Ptprf",305,"Ptprf","PTPRF",TRUE,TRUE,FALSE
"Tedc1",306,"Tedc1","TEDC1",TRUE,TRUE,FALSE
"Asb14",307,"Asb14","ASB14",TRUE,TRUE,FALSE
"Tspan11",308,"Tspan11","TSPAN11",TRUE,TRUE,FALSE
"Cd24a",309,"Cd24a","CD24",TRUE,TRUE,FALSE
"Top2a",310,"Top2a","TOP2A",TRUE,TRUE,FALSE
"Smox",311,"Smox","SMOX",TRUE,TRUE,FALSE
"Clec4d",313,"Clec4d","CLEC4D",TRUE,TRUE,FALSE
"Tfrc",314,"Tfrc","TFRC",TRUE,TRUE,FALSE
"Acsm5",315,"Acsm5","ACSM5",TRUE,TRUE,FALSE
"Kctd1",317,"Kctd1","KCTD1",TRUE,TRUE,FALSE
"Prss55",318,"Prss55","PRSS55",TRUE,TRUE,FALSE
"Camk4",319,"Camk4","CAMK4",TRUE,TRUE,FALSE
"Kirrel1",320,"Kirrel1","KIRREL1",TRUE,TRUE,FALSE
"Aspm",321,"Aspm","ASPM",TRUE,TRUE,FALSE
"Fam167a",322,"Fam167a","FAM167A",TRUE,TRUE,FALSE
"Coq9",323,"Coq9","COQ9",TRUE,TRUE,FALSE
"Adamts2",324,"Adamts2","ADAMTS2",TRUE,TRUE,FALSE
"Ugcg",325,"Ugcg","UGCG",TRUE,TRUE,FALSE
"Chi3l1",326,"Chi3l1","CHI3L1",TRUE,TRUE,FALSE
"G0s2",327,"G0s2","G0S2",TRUE,TRUE,FALSE
"Tmem169",328,"Tmem169","TMEM169",TRUE,TRUE,FALSE
"Sulf2",329,"Sulf2","SULF2",TRUE,TRUE,FALSE
"Adtrp",330,"Adtrp","ADTRP",TRUE,TRUE,FALSE
"Rcn3",331,"Rcn3","RCN3",TRUE,TRUE,FALSE
"Atp8b2",332,"Atp8b2","ATP8B2",TRUE,TRUE,FALSE
"Rbp7",333,"Rbp7","RBP7",TRUE,TRUE,FALSE
"Atp6v0d2",334,"Atp6v0d2","ATP6V0D2",TRUE,TRUE,FALSE
"Enpp6",335,"Enpp6","ENPP6",TRUE,TRUE,FALSE
"Pdgfra",336,"Pdgfra","PDGFRA",TRUE,TRUE,FALSE
"Avpr1a",337,"Avpr1a","AVPR1A",TRUE,TRUE,FALSE
"Colec12",338,"Colec12","COLEC12",TRUE,TRUE,FALSE
"Sox9",339,"Sox9","SOX9",TRUE,TRUE,FALSE
"Cd80",340,"Cd80","CD80",TRUE,TRUE,FALSE
"Gpt2",341,"Gpt2","GPT2",TRUE,TRUE,FALSE
"Clec4n",342,"Clec4n","CLEC6A",TRUE,TRUE,FALSE
"Ccdc112",343,"Ccdc112","CCDC112",TRUE,TRUE,FALSE
"Troap",344,"Troap","TROAP",TRUE,TRUE,FALSE
"Ect2",345,"Ect2","ECT2",TRUE,TRUE,TRUE
"Wnt16",346,"Wnt16","WNT16",TRUE,TRUE,TRUE
"Gpr153",347,"Gpr153","GPR153",TRUE,TRUE,FALSE
"Gpsm2",348,"Gpsm2","GPSM2",TRUE,TRUE,FALSE
"Igfals",349,"Igfals","IGFALS",TRUE,TRUE,FALSE
"Crocc2",350,"Crocc2","CROCC2",TRUE,TRUE,FALSE
"Efemp2",351,"Efemp2","EFEMP2",TRUE,TRUE,FALSE
"Myadml2",352,"Myadml2","MYADML2",TRUE,TRUE,FALSE
"Ttk",353,"Ttk","TTK",TRUE,TRUE,TRUE
"Itgb3",354,"Itgb3","ITGB3",TRUE,TRUE,TRUE
"Sdk2",355,"Sdk2","SDK2",TRUE,TRUE,FALSE
"Cxcl13",356,"Cxcl13","CXCL13",TRUE,TRUE,FALSE
"Zfp879",357,"Zfp879","ZNF879",TRUE,TRUE,FALSE
"Clip3",358,"Clip3","CLIP3",TRUE,TRUE,FALSE
"Soat1",359,"Soat1","SOAT1",TRUE,TRUE,FALSE
"Calhm2",360,"Calhm2","CALHM2",TRUE,TRUE,FALSE
"Fzd8",361,"Fzd8","FZD8",TRUE,TRUE,FALSE
"Runx1",362,"Runx1","RUNX1",TRUE,TRUE,TRUE
"Dmkn",364,"Dmkn","DMKN",TRUE,TRUE,FALSE
"Slc2a6",366,"Slc2a6","SLC2A6",TRUE,TRUE,FALSE
"Lpar1",367,"Lpar1","LPAR1",TRUE,TRUE,TRUE
"Colec10",368,"Colec10","COLEC10",TRUE,TRUE,FALSE
"Nmnat2",369,"Nmnat2","NMNAT2",TRUE,TRUE,FALSE
"Lrrc8e",370,"Lrrc8e","LRRC8E",TRUE,TRUE,FALSE
"En2",371,"En2","EN2",TRUE,TRUE,FALSE
"St8sia5",372,"St8sia5","ST8SIA5",TRUE,TRUE,FALSE
"Myo9b",373,"Myo9b","MYO9B",TRUE,TRUE,FALSE
"AW551984",374,"AW551984","VWA5A",TRUE,TRUE,FALSE
"Pgm2",375,"Pgm2","PGM2",TRUE,TRUE,FALSE
"Mcub",376,"Mcub","MCUB",TRUE,TRUE,FALSE
"Ppic",377,"Ppic","PPIC",TRUE,TRUE,FALSE
"Acss3",378,"Acss3","ACSS3",TRUE,TRUE,FALSE
"Qsox1",379,"Qsox1","QSOX1",TRUE,TRUE,FALSE
"Prg4",380,"Prg4","PRG4",TRUE,TRUE,FALSE
"Zfp612",381,"Zfp612","ZNF23",TRUE,TRUE,FALSE
"Tfec",382,"Tfec","TFEC",TRUE,TRUE,FALSE
"Fam171b",383,"Fam171b","FAM171B",TRUE,TRUE,FALSE
"Racgap1",384,"Racgap1","RACGAP1",TRUE,TRUE,TRUE
"B4galt2",385,"B4galt2","B4GALT2",TRUE,TRUE,FALSE
"Mmp16",387,"Mmp16","MMP16",TRUE,TRUE,FALSE
"Ext1",388,"Ext1","EXT1",TRUE,TRUE,FALSE
"Lair1",389,"Lair1","LAIR1",TRUE,TRUE,FALSE
"F7",390,"F7","F7",TRUE,TRUE,FALSE
"Cdkn2a",391,"Cdkn2a","CDKN2A",TRUE,TRUE,TRUE
"Lgals3",392,"Lgals3","LGALS3",TRUE,TRUE,TRUE
"Pde4d",393,"Pde4d","PDE4D",TRUE,TRUE,FALSE
"Adgre1",395,"Adgre1","ADGRE1",TRUE,TRUE,FALSE
"Myof",396,"Myof","MYOF",TRUE,TRUE,FALSE
"Fmnl3",397,"Fmnl3","FMNL3",TRUE,TRUE,FALSE
"Man1c1",398,"Man1c1","MAN1C1",TRUE,TRUE,FALSE
"Adra2a",399,"Adra2a","ADRA2A",TRUE,TRUE,FALSE
"Myot",400,"Myot","MYOT",TRUE,TRUE,FALSE
"Pdpn",401,"Pdpn","PDPN",TRUE,TRUE,FALSE
