"input_number","input","input_ensg","ensg_number","ortholog_name","ortholog_ensg","description"
49,"ATG7","ENSG00000197548","49.1.1","Atg7","ENSMUSG00000030314","autophagy related 7 [Source:MGI Symbol;Acc:MGI:1921494]"
50,"ATM","ENSG00000149311","50.1.1","Atm","ENSMUSG00000034218","ataxia telangiectasia mutated [Source:MGI Symbol;Acc:MGI:107202]"
51,"ATP6V0A2","ENSG00000185344","51.1.1","Atp6v0a2","ENSMUSG00000038023","ATPase, H+ transporting, lysosomal V0 subunit A2 [Source:MGI Symbol;Acc:MGI:104855]"
52,"ATP6V0C","ENSG00000185883","52.1.1","Atp6v0c","ENSMUSG00000024121","ATPase, H+ transporting, lysosomal V0 subunit C [Source:MGI Symbol;Acc:MGI:88116]"
53,"ATR","ENSG00000175054","53.1.1","Atr","ENSMUSG00000032409","ataxia telangiectasia and Rad3 related [Source:MGI Symbol;Acc:MGI:108028]"
54,"ATRAID","ENSG00000138085","54.1.1","Atraid","ENSMUSG00000013622","all-trans retinoic acid induced differentiation factor [Source:MGI Symbol;Acc:MGI:1918918]"
55,"ATRX","ENSG00000085224","55.1.1","Atrx","ENSMUSG00000031229","ATRX, chromatin remodeler [Source:MGI Symbol;Acc:MGI:103067]"
56,"ATXN10","ENSG00000130638","56.1.1","Atxn10","ENSMUSG00000016541","ataxin 10 [Source:MGI Symbol;Acc:MGI:1859293]"
57,"AURKA","ENSG00000087586","57.1.1","Aurka","ENSMUSG00000027496","aurora kinase A [Source:MGI Symbol;Acc:MGI:894678]"
58,"AURKB","ENSG00000178999","58.1.1","Aurkb","ENSMUSG00000020897","aurora kinase B [Source:MGI Symbol;Acc:MGI:107168]"
59,"AXL","ENSG00000167601","59.1.1","Axl","ENSMUSG00000002602","AXL receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:1347244]"
60,"BAG3","ENSG00000151929","60.1.1","Bag3","ENSMUSG00000030847","BCL2-associated athanogene 3 [Source:MGI Symbol;Acc:MGI:1352493]"
61,"BAP1","ENSG00000163930","61.1.1","Bap1","ENSMUSG00000021901","Brca1 associated protein 1 [Source:MGI Symbol;Acc:MGI:1206586]"
62,"BAZ1A","ENSG00000198604","62.1.1","Baz1a","ENSMUSG00000035021","bromodomain adjacent to zinc finger domain 1A [Source:MGI Symbol;Acc:MGI:1309478]"
63,"BCL11B","ENSG00000127152","63.1.1","Bcl11b","ENSMUSG00000048251","B cell leukemia/lymphoma 11B [Source:MGI Symbol;Acc:MGI:1929913]"
64,"BCL2","ENSG00000171791","64.1.1","Bcl2","ENSMUSG00000057329","B cell leukemia/lymphoma 2 [Source:MGI Symbol;Acc:MGI:88138]"
65,"BCL2L1","ENSG00000171552","65.1.1","Bcl2l1","ENSMUSG00000007659","BCL2-like 1 [Source:MGI Symbol;Acc:MGI:88139]"
66,"BCL2L2","ENSG00000129473","66.1.1","Bcl2l2","ENSMUSG00000089682","BCL2-like 2 [Source:MGI Symbol;Acc:MGI:108052]"
66,"BCL2L2","ENSG00000258643","66.2.1","N/A","N/A","N/A"
67,"BCL3","ENSG00000069399","67.1.1","Bcl3","ENSMUSG00000053175","B cell leukemia/lymphoma 3 [Source:MGI Symbol;Acc:MGI:88140]"
68,"BCL6","ENSG00000113916","68.1.1","Bcl6","ENSMUSG00000022508","B cell leukemia/lymphoma 6 [Source:MGI Symbol;Acc:MGI:107187]"
69,"BCLAF1","ENSG00000029363","69.1.1","Bclaf1","ENSMUSG00000037608","BCL2-associated transcription factor 1 [Source:MGI Symbol;Acc:MGI:1917580]"
70,"BECN1","ENSG00000126581","70.1.1","Becn1","ENSMUSG00000035086","beclin 1, autophagy related [Source:MGI Symbol;Acc:MGI:1891828]"
71,"BHLHE40","ENSG00000134107","71.1.1","Bhlhe40","ENSMUSG00000030103","basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]"
72,"BIN1","ENSG00000136717","72.1.1","Bin1","ENSMUSG00000024381","bridging integrator 1 [Source:MGI Symbol;Acc:MGI:108092]"
73,"BIRC5","ENSG00000089685","73.1.1","Birc5","ENSMUSG00000017716","baculoviral IAP repeat-containing 5 [Source:MGI Symbol;Acc:MGI:1203517]"
74,"BLK","ENSG00000136573","74.1.1","Blk","ENSMUSG00000014453","B lymphoid kinase [Source:MGI Symbol;Acc:MGI:88169]"
75,"BLVRA","ENSG00000106605","75.1.1","Blvra","ENSMUSG00000001999","biliverdin reductase A [Source:MGI Symbol;Acc:MGI:88170]"
76,"BMI1","ENSG00000168283","76.1.1","Bmi1","ENSMUSG00000026739","Bmi1 polycomb ring finger oncogene [Source:MGI Symbol;Acc:MGI:88174]"
77,"BMP4","ENSG00000125378","77.1.1","Bmp4","ENSMUSG00000021835","bone morphogenetic protein 4 [Source:MGI Symbol;Acc:MGI:88180]"
78,"BMPR2","ENSG00000204217","78.1.1","Bmpr2","ENSMUSG00000067336","bone morphogenetic protein receptor type 2 [Source:MGI Symbol;Acc:MGI:1095407]"
79,"BMS1","ENSG00000165733","79.1.1","Bms1","ENSMUSG00000030138","BMS1, ribosome biogenesis factor [Source:MGI Symbol;Acc:MGI:2446132]"
80,"BNIP3L","ENSG00000104765","80.1.1","Bnip3l","ENSMUSG00000022051","BCL2/adenovirus E1B interacting protein 3-like [Source:MGI Symbol;Acc:MGI:1332659]"
81,"BRAF","ENSG00000157764","81.1.1","Braf","ENSMUSG00000002413","Braf transforming gene [Source:MGI Symbol;Acc:MGI:88190]"
82,"BRCA1","ENSG00000012048","82.1.1","Brca1","ENSMUSG00000017146","breast cancer 1, early onset [Source:MGI Symbol;Acc:MGI:104537]"
83,"BRD4","ENSG00000141867","83.1.1","Brd4","ENSMUSG00000024002","bromodomain containing 4 [Source:MGI Symbol;Acc:MGI:1888520]"
84,"BRD7","ENSG00000166164","84.1.1","Brd7","ENSMUSG00000031660","bromodomain containing 7 [Source:MGI Symbol;Acc:MGI:1349766]"
85,"BRIP1","ENSG00000136492","85.1.1","Brip1","ENSMUSG00000034329","BRCA1 interacting protein C-terminal helicase 1 [Source:MGI Symbol;Acc:MGI:2442836]"
86,"BTG1","ENSG00000133639","86.1.1","Btg1","ENSMUSG00000036478","BTG anti-proliferation factor 1 [Source:MGI Symbol;Acc:MGI:88215]"
87,"BTG2","ENSG00000159388","87.1.1","Btg2","ENSMUSG00000020423","BTG anti-proliferation factor 2 [Source:MGI Symbol;Acc:MGI:108384]"
88,"BTG3","ENSG00000154640","88.1.1","Btg3","ENSMUSG00000022863","BTG anti-proliferation factor 3 [Source:MGI Symbol;Acc:MGI:109532]"
89,"BUB1","ENSG00000169679","89.1.1","Bub1","ENSMUSG00000027379","BUB1, mitotic checkpoint serine/threonine kinase [Source:MGI Symbol;Acc:MGI:1100510]"
90,"BUB1B","ENSG00000156970","90.1.1","Bub1b","ENSMUSG00000040084","BUB1B, mitotic checkpoint serine/threonine kinase [Source:MGI Symbol;Acc:MGI:1333889]"
91,"CALR","ENSG00000179218","91.1.1","Calr","ENSMUSG00000003814","calreticulin [Source:MGI Symbol;Acc:MGI:88252]"
92,"CAPNS1","ENSG00000126247","92.1.1","Capns1","ENSMUSG00000001794","calpain, small subunit 1 [Source:MGI Symbol;Acc:MGI:88266]"
93,"CARF","ENSG00000138380","93.1.1","Carf","ENSMUSG00000026017","calcium response factor [Source:MGI Symbol;Acc:MGI:2182269]"
94,"CARM1","ENSG00000142453","94.1.1","Carm1","ENSMUSG00000032185","coactivator-associated arginine methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1913208]"
95,"CASP2","ENSG00000106144","95.1.1","Casp2","ENSMUSG00000029863","caspase 2 [Source:MGI Symbol;Acc:MGI:97295]"
96,"CAV1","ENSG00000105974","96.1.1","Cav1","ENSMUSG00000007655","caveolin 1, caveolae protein [Source:MGI Symbol;Acc:MGI:102709]"
97,"CAVIN1","ENSG00000177469","97.1.1","Cavin1","ENSMUSG00000004044","caveolae associated 1 [Source:MGI Symbol;Acc:MGI:1277968]"
98,"CBS","ENSG00000160200","98.1.1","Cbs","ENSMUSG00000024039","cystathionine beta-synthase [Source:MGI Symbol;Acc:MGI:88285]"
99,"CBX5","ENSG00000094916","99.1.1","Cbx5","ENSMUSG00000009575","chromobox 5 [Source:MGI Symbol;Acc:MGI:109372]"
100,"CBX7","ENSG00000100307","100.1.1","Cbx7","ENSMUSG00000053411","chromobox 7 [Source:MGI Symbol;Acc:MGI:1196439]"
101,"CBX8","ENSG00000141570","101.1.1","Cbx8","ENSMUSG00000025578","chromobox 8 [Source:MGI Symbol;Acc:MGI:1353589]"
102,"CCL2","ENSG00000108691","102.1.1","Ccl2","ENSMUSG00000035385","C-C motif chemokine ligand 2 [Source:MGI Symbol;Acc:MGI:98259]"
103,"CCN2","ENSG00000118523","103.1.1","Ccn2","ENSMUSG00000019997","cellular communication network factor 2 [Source:MGI Symbol;Acc:MGI:95537]"
104,"CCN6","ENSG00000112761","104.1.1","Ccn6","ENSMUSG00000062074","cellular communication network factor 6 [Source:MGI Symbol;Acc:MGI:2685581]"
105,"CCNA2","ENSG00000145386","105.1.1","Ccna2","ENSMUSG00000027715","cyclin A2 [Source:MGI Symbol;Acc:MGI:108069]"
106,"CCNB1","ENSG00000134057","106.1.1","Ccnb1","ENSMUSG00000041431","cyclin B1 [Source:MGI Symbol;Acc:MGI:88302]"
107,"CCND1","ENSG00000110092","107.1.1","Ccnd1","ENSMUSG00000070348","cyclin D1 [Source:MGI Symbol;Acc:MGI:88313]"
108,"CCND3","ENSG00000112576","108.1.1","Ccnd3","ENSMUSG00000034165","cyclin D3 [Source:MGI Symbol;Acc:MGI:88315]"
109,"CD28","ENSG00000178562","109.1.1","Cd28","ENSMUSG00000026012","CD28 antigen [Source:MGI Symbol;Acc:MGI:88327]"
110,"CD34","ENSG00000174059","110.1.1","Cd34","ENSMUSG00000016494","CD34 antigen [Source:MGI Symbol;Acc:MGI:88329]"
111,"CD40LG","ENSG00000102245","111.1.1","Cd40lg","ENSMUSG00000031132","CD40 ligand [Source:MGI Symbol;Acc:MGI:88337]"
112,"CD82","ENSG00000085117","112.1.1","Cd82","ENSMUSG00000027215","CD82 antigen [Source:MGI Symbol;Acc:MGI:104651]"
113,"CDC25A","ENSG00000164045","113.1.1","Cdc25a","ENSMUSG00000032477","cell division cycle 25A [Source:MGI Symbol;Acc:MGI:103198]"
114,"CDC45","ENSG00000093009","114.1.1","Cdc45","ENSMUSG00000000028","cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]"
115,"CDC6","ENSG00000094804","115.1.1","Cdc6","ENSMUSG00000017499","cell division cycle 6 [Source:MGI Symbol;Acc:MGI:1345150]"
116,"CDC7","ENSG00000097046","116.1.1","Cdc7","ENSMUSG00000029283","cell division cycle 7 [Source:MGI Symbol;Acc:MGI:1309511]"
117,"CDCA2","ENSG00000184661","117.1.1","Cdca2","ENSMUSG00000048922","cell division cycle associated 2 [Source:MGI Symbol;Acc:MGI:1919787]"
118,"CDCA4","ENSG00000170779","118.1.1","Cdca4","ENSMUSG00000047832","cell division cycle associated 4 [Source:MGI Symbol;Acc:MGI:1919213]"
119,"CDH1","ENSG00000039068","119.1.1","Cdh1","ENSMUSG00000000303","cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]"
120,"CDK1","ENSG00000170312","120.1.1","Cdk1","ENSMUSG00000019942","cyclin dependent kinase 1 [Source:MGI Symbol;Acc:MGI:88351]"
121,"CDK18","ENSG00000117266","121.1.1","Cdk18","ENSMUSG00000026437","cyclin dependent kinase 18 [Source:MGI Symbol;Acc:MGI:97518]"
122,"CDK2","ENSG00000123374","122.1.1","Cdk2","ENSMUSG00000025358","cyclin dependent kinase 2 [Source:MGI Symbol;Acc:MGI:104772]"
123,"CDK2AP1","ENSG00000111328","123.1.1","Cdk2ap1","ENSMUSG00000029394","cyclin dependent kinase 2 associated protein 1 [Source:MGI Symbol;Acc:MGI:1202069]"
123,"CDK2AP1","ENSG00000111328","123.1.2","Cdk2ap1rt","ENSMUSG00000078154","cyclin dependent kinase 2 associated protein 1 retrotransposed [Source:MGI Symbol;Acc:MGI:3652174]"
124,"CDK4","ENSG00000135446","124.1.1","Cdk4","ENSMUSG00000006728","cyclin dependent kinase 4 [Source:MGI Symbol;Acc:MGI:88357]"
125,"CDK5","ENSG00000164885","125.1.1","Cdk5","ENSMUSG00000028969","cyclin dependent kinase 5 [Source:MGI Symbol;Acc:MGI:101765]"
126,"CDK5R1","ENSG00000176749","126.1.1","Cdk5r1","ENSMUSG00000048895","cyclin dependent kinase 5, regulatory subunit 1 [Source:MGI Symbol;Acc:MGI:101764]"
127,"CDK6","ENSG00000105810","127.1.1","Cdk6","ENSMUSG00000040274","cyclin dependent kinase 6 [Source:MGI Symbol;Acc:MGI:1277162]"
128,"CDKN1A","ENSG00000124762","128.1.1","Cdkn1a","ENSMUSG00000023067","cyclin dependent kinase inhibitor 1A [Source:MGI Symbol;Acc:MGI:104556]"
129,"CDKN1B","ENSG00000111276","129.1.1","Cdkn1b","ENSMUSG00000003031","cyclin dependent kinase inhibitor 1B [Source:MGI Symbol;Acc:MGI:104565]"
130,"CDKN1C","ENSG00000129757","130.1.1","Cdkn1c","ENSMUSG00000037664","cyclin dependent kinase inhibitor 1C [Source:MGI Symbol;Acc:MGI:104564]"
131,"CDKN2A","ENSG00000147889","131.1.1","Cdkn2a","ENSMUSG00000044303","cyclin dependent kinase inhibitor 2A [Source:MGI Symbol;Acc:MGI:104738]"
132,"CDKN2AIP","ENSG00000168564","132.1.1","Cdkn2aip","ENSMUSG00000038069","CDKN2A interacting protein [Source:MGI Symbol;Acc:MGI:1918175]"
133,"CDKN2B","ENSG00000147883","133.1.1","Cdkn2b","ENSMUSG00000073802","cyclin dependent kinase inhibitor 2B [Source:MGI Symbol;Acc:MGI:104737]"
134,"CEACAM1","ENSG00000079385","134.1.1","N/A","N/A","N/A"
135,"CEBPB","ENSG00000172216","135.1.1","Cebpb","ENSMUSG00000056501","CCAAT/enhancer binding protein beta [Source:MGI Symbol;Acc:MGI:88373]"
136,"CEBPG","ENSG00000153879","136.1.1","Cebpg","ENSMUSG00000056216","CCAAT/enhancer binding protein gamma [Source:MGI Symbol;Acc:MGI:104982]"
137,"CENPA","ENSG00000115163","137.1.1","Cenpa","ENSMUSG00000029177","centromere protein A [Source:MGI Symbol;Acc:MGI:88375]"
138,"CHAF1B","ENSG00000159259","138.1.1","Chaf1b","ENSMUSG00000022945","chromatin assembly factor 1, subunit B [Source:MGI Symbol;Acc:MGI:1314881]"
139,"CHD5","ENSG00000116254","139.1.1","Chd5","ENSMUSG00000005045","chromodomain helicase DNA binding protein 5 [Source:MGI Symbol;Acc:MGI:3036258]"
140,"CHEK1","ENSG00000149554","140.1.1","Chek1","ENSMUSG00000032113","checkpoint kinase 1 [Source:MGI Symbol;Acc:MGI:1202065]"
141,"CHEK2","ENSG00000183765","141.1.1","Chek2","ENSMUSG00000029521","checkpoint kinase 2 [Source:MGI Symbol;Acc:MGI:1355321]"
142,"CHUK","ENSG00000213341","142.1.1","Chuk","ENSMUSG00000025199","conserved helix-loop-helix ubiquitous kinase [Source:MGI Symbol;Acc:MGI:99484]"
143,"CIP2A","ENSG00000163507","143.1.1","Cip2a","ENSMUSG00000033031","cell proliferation regulating inhibitor of protein phosphatase 2A [Source:MGI Symbol;Acc:MGI:2146335]"
144,"CIT","ENSG00000122966","144.1.1","Cit","ENSMUSG00000029516","citron [Source:MGI Symbol;Acc:MGI:105313]"
145,"CKAP2","ENSG00000136108","145.1.1","Ckap2","ENSMUSG00000037725","cytoskeleton associated protein 2 [Source:MGI Symbol;Acc:MGI:1931797]"
146,"CKB","ENSG00000166165","146.1.1","Ckb","ENSMUSG00000001270","creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]"
147,"CLCA2","ENSG00000137975","147.1.1","Clca2","ENSMUSG00000036960","chloride channel accessory 2 [Source:MGI Symbol;Acc:MGI:2139758]"
148,"CLPP","ENSG00000125656","148.1.1","Clpp","ENSMUSG00000002660","caseinolytic mitochondrial matrix peptidase proteolytic subunit [Source:MGI Symbol;Acc:MGI:1858213]"
149,"CLSPN","ENSG00000092853","149.1.1","Clspn","ENSMUSG00000042489","claspin [Source:MGI Symbol;Acc:MGI:2445153]"
150,"CLU","ENSG00000120885","150.1.1","Clu","ENSMUSG00000022037","clusterin [Source:MGI Symbol;Acc:MGI:88423]"
151,"CNOT6","ENSG00000113300","151.1.1","Cnot6","ENSMUSG00000020362","CCR4-NOT transcription complex, subunit 6 [Source:MGI Symbol;Acc:MGI:2144529]"
152,"CNOT6L","ENSG00000138767","152.1.1","Cnot6l","ENSMUSG00000034724","CCR4-NOT transcription complex, subunit 6-like [Source:MGI Symbol;Acc:MGI:2443154]"
153,"COX5B","ENSG00000135940","153.1.1","Cox5b","ENSMUSG00000061518","cytochrome c oxidase subunit 5B [Source:MGI Symbol;Acc:MGI:88475]"
153,"COX5B","ENSG00000135940","153.1.2","Cox5b-ps","ENSMUSG00000079941","cytochrome c oxidase subunit 5B, pseudogene [Source:MGI Symbol;Acc:MGI:3649411]"
154,"CPEB1","ENSG00000214575","154.1.1","Cpeb1","ENSMUSG00000025586","cytoplasmic polyadenylation element binding protein 1 [Source:MGI Symbol;Acc:MGI:108442]"
155,"CPT1C","ENSG00000169169","155.1.1","Cpt1c","ENSMUSG00000007783","carnitine palmitoyltransferase 1c [Source:MGI Symbol;Acc:MGI:2446526]"
156,"CREG1","ENSG00000143162","156.1.1","Creg1","ENSMUSG00000040713","cellular repressor of E1A-stimulated genes 1 [Source:MGI Symbol;Acc:MGI:1344382]"
157,"CRISPLD2","ENSG00000103196","157.1.1","Crispld2","ENSMUSG00000031825","cysteine-rich secretory protein LCCL domain containing 2 [Source:MGI Symbol;Acc:MGI:1926142]"
158,"CSNK1A1","ENSG00000113712","158.1.1","Csnk1a1","ENSMUSG00000024576","casein kinase 1, alpha 1 [Source:MGI Symbol;Acc:MGI:1934950]"
159,"CSNK2A1","ENSG00000101266","159.1.1","Csnk2a1","ENSMUSG00000074698","casein kinase 2, alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:88543]"
160,"CTH","ENSG00000116761","160.1.1","Cth","ENSMUSG00000028179","cystathionine gamma lyase [Source:MGI Symbol;Acc:MGI:1339968]"
161,"CTNNAL1","ENSG00000119326","161.1.1","Ctnnal1","ENSMUSG00000038816","catenin alpha like 1 [Source:MGI Symbol;Acc:MGI:1859649]"
162,"CTNNB1","ENSG00000168036","162.1.1","Ctnnb1","ENSMUSG00000006932","catenin beta 1 [Source:MGI Symbol;Acc:MGI:88276]"
163,"CTSB","ENSG00000164733","163.1.1","Ctsb","ENSMUSG00000021939","cathepsin B [Source:MGI Symbol;Acc:MGI:88561]"
164,"CTSD","ENSG00000117984","164.1.1","Ctsd","ENSMUSG00000007891","cathepsin D [Source:MGI Symbol;Acc:MGI:88562]"
165,"CUL4B","ENSG00000158290","165.1.1","Cul4b","ENSMUSG00000031095","cullin 4B [Source:MGI Symbol;Acc:MGI:1919834]"
166,"CUX1","ENSG00000257923","166.1.1","Cux1","ENSMUSG00000029705","cut-like homeobox 1 [Source:MGI Symbol;Acc:MGI:88568]"
167,"CXCL1","ENSG00000163739","167.1.1","N/A","N/A","N/A"
