"ortholog_name","input","input_number","input_ensg","ensg_number","ortholog_ensg","description","n_human_orthologs","n_mouse_inputs"
"ACSS2","Acss2",1408,"ENSMUSG00000027605","1408.1.1","ENSG00000131069","acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]",1,1
"ACSS3","Acss3",376,"ENSMUSG00000035948","376.1.1","ENSG00000111058","acyl-CoA synthetase short chain family member 3 [Source:HGNC Symbol;Acc:HGNC:24723]",1,1
"ACTG2","Actg2",829,"ENSMUSG00000059430","829.1.1","ENSG00000163017","actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]",1,1
"ACTN1","Actn1",761,"ENSMUSG00000015143","761.1.1","ENSG00000072110","actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]",1,1
"ACVR1C","Acvr1c",1399,"ENSMUSG00000026834","1399.1.1","ENSG00000123612","activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123]",1,1
"ACYP2","Acyp2",537,"ENSMUSG00000060923","537.1.1","ENSG00000170634","acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180]",1,1
"ADAM12","Adam12",194,"ENSMUSG00000054555","194.1.1","ENSG00000148848","ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]",1,1
"N/A","Adam19",361,"ENSMUSG00000011256","361.1.1","N/A","N/A",1,75
"N/A","Adam5",113,"ENSMUSG00000031554","113.1.1","N/A","N/A",1,75
"ADAMTS14","Adamts14",25,"ENSMUSG00000059901","25.1.1","ENSG00000138316","ADAM metallopeptidase with thrombospondin type 1 motif 14 [Source:HGNC Symbol;Acc:HGNC:14899]",1,1
"ADAMTS15","Adamts15",1389,"ENSMUSG00000033453","1389.1.1","ENSG00000166106","ADAM metallopeptidase with thrombospondin type 1 motif 15 [Source:HGNC Symbol;Acc:HGNC:16305]",1,1
"ADAMTS16","Adamts16",1071,"ENSMUSG00000049538","1071.1.1","ENSG00000145536","ADAM metallopeptidase with thrombospondin type 1 motif 16 [Source:HGNC Symbol;Acc:HGNC:17108]",1,1
"ADAMTS17","Adamts17",436,"ENSMUSG00000058145","436.1.1","ENSG00000140470","ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109]",1,1
"ADAMTS18","Adamts18",1314,"ENSMUSG00000053399","1314.1.1","ENSG00000140873","ADAM metallopeptidase with thrombospondin type 1 motif 18 [Source:HGNC Symbol;Acc:HGNC:17110]",1,1
"ADAMTS2","Adamts2",322,"ENSMUSG00000036545","322.1.1","ENSG00000087116","ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]",1,1
"ADAMTS4","Adamts4",271,"ENSMUSG00000006403","271.1.1","ENSG00000158859","ADAM metallopeptidase with thrombospondin type 1 motif 4 [Source:HGNC Symbol;Acc:HGNC:220]",1,1
"ADAMTS7","Adamts7",1077,"ENSMUSG00000032363","1077.1.1","ENSG00000136378","ADAM metallopeptidase with thrombospondin type 1 motif 7 [Source:HGNC Symbol;Acc:HGNC:223]",1,1
"ADCY7","Adcy7",1158,"ENSMUSG00000031659","1158.1.1","ENSG00000121281","adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]",1,1
"ADGRA2","Adgra2",147,"ENSMUSG00000031486","147.1.1","ENSG00000020181","adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]",1,1
"ADGRE1","Adgre1",393,"ENSMUSG00000004730","393.1.1","ENSG00000174837","adhesion G protein-coupled receptor E1 [Source:HGNC Symbol;Acc:HGNC:3336]",1,1
"ADHFE1","Adhfe1",652,"ENSMUSG00000025911","652.1.1","ENSG00000147576","alcohol dehydrogenase iron containing 1 [Source:HGNC Symbol;Acc:HGNC:16354]",1,1
"ADIG","Adig",702,"ENSMUSG00000044405","702.1.1","ENSG00000182035","adipogenin [Source:HGNC Symbol;Acc:HGNC:28606]",1,1
"ADIPOQ","Adipoq",477,"ENSMUSG00000022878","477.1.1","ENSG00000181092","adiponectin, C1Q and collagen domain containing [Source:HGNC Symbol;Acc:HGNC:13633]",1,1
"ADORA1","Adora1",1149,"ENSMUSG00000042429","1149.1.1","ENSG00000163485","adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]",1,1
"ADORA3","Adora3",145,"ENSMUSG00000000562","145.1.1","ENSG00000282608","adenosine A3 receptor [Source:HGNC Symbol;Acc:HGNC:268]",1,1
"ADRA1A","Adra1a",804,"ENSMUSG00000045875","804.1.1","ENSG00000120907","adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277]",1,1
"ADRA2A","Adra2a",397,"ENSMUSG00000033717","397.1.1","ENSG00000150594","adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]",1,1
"ADRB3","Adrb3",1239,"ENSMUSG00000031489","1239.1.1","ENSG00000188778","adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]",1,1
"ADTRP","Adtrp",328,"ENSMUSG00000058022","328.1.1","ENSG00000111863","androgen dependent TFPI regulating protein [Source:HGNC Symbol;Acc:HGNC:21214]",1,1
"AEBP1","Aebp1",502,"ENSMUSG00000020473","502.1.1","ENSG00000106624","AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]",1,1
"AGBL2","Agbl2",1097,"ENSMUSG00000040812","1097.1.1","ENSG00000165923","AGBL carboxypeptidase 2 [Source:HGNC Symbol;Acc:HGNC:26296]",1,1
"AGL","Agl",599,"ENSMUSG00000033400","599.1.1","ENSG00000162688","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]",1,1
"AGPAT2","Agpat2",1257,"ENSMUSG00000026922","1257.1.1","ENSG00000169692","1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]",1,1
"AGPAT4","Agpat4",112,"ENSMUSG00000023827","112.1.1","ENSG00000026652","1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]",1,1
"AGTR2","Agtr2",778,"ENSMUSG00000068122","778.1.1","ENSG00000180772","angiotensin II receptor type 2 [Source:HGNC Symbol;Acc:HGNC:338]",1,1
"AHNAK2","Ahnak2",788,"ENSMUSG00000118667","788.1.1","ENSG00000185567","AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]",1,1
"AHR","Ahr",623,"ENSMUSG00000019256","623.1.1","ENSG00000106546","aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]",1,1
"C11orf87","AI593442",115,"ENSMUSG00000078307","115.1.1","ENSG00000185742","chromosome 11 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33788]",1,1
"C6orf132","AI661453",707,"ENSMUSG00000034382","707.1.1","ENSG00000188112","chromosome 6 open reading frame 132 [Source:HGNC Symbol;Acc:HGNC:21288]",1,1
"AIF1","Aif1",718,"ENSMUSG00000024397","718.1.1","ENSG00000204472","allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]",1,1
"AK5","Ak5",212,"ENSMUSG00000039058","212.1.1","ENSG00000154027","adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]",1,1
"AKR1B10","Akr1b8",600,"ENSMUSG00000029762","600.1.1","ENSG00000198074","aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]",1,1
"ALAS2","Alas2",1103,"ENSMUSG00000025270","1103.1.1","ENSG00000158578","5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]",1,1
"ALB","Alb",715,"ENSMUSG00000029368","715.1.1","ENSG00000163631","albumin [Source:HGNC Symbol;Acc:HGNC:399]",1,1
"ALDH18A1","Aldh18a1",890,"ENSMUSG00000025007","890.1.1","ENSG00000059573","aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]",1,1
"ALDH1A2","Aldh1a2",797,"ENSMUSG00000013584","797.1.1","ENSG00000128918","aldehyde dehydrogenase 1 family member A2 [Source:HGNC Symbol;Acc:HGNC:15472]",1,1
"ALDH1A1","Aldh1a7",437,"ENSMUSG00000024747","437.1.1","ENSG00000165092","aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]",1,1
"ALDH3B2","Aldh3b2",912,"ENSMUSG00000075296","912.1.1","ENSG00000132746","aldehyde dehydrogenase 3 family member B2 [Source:HGNC Symbol;Acc:HGNC:411]",1,1
"ALDH6A1","Aldh6a1",129,"ENSMUSG00000021238","129.1.1","ENSG00000119711","aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]",1,1
"ALDOA","Aldoa",206,"ENSMUSG00000030695","206.1.1","ENSG00000149925","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]",1,1
"ALPK2","Alpk2",863,"ENSMUSG00000032845","863.1.1","ENSG00000198796","alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:20565]",1,1
"AMD1","Amd1",630,"ENSMUSG00000075232","630.1.1","ENSG00000123505","adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]",1,1
"AMPD1","Ampd1",82,"ENSMUSG00000070385","82.1.1","ENSG00000116748","adenosine monophosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:468]",1,1
"N/A","Amy1",821,"ENSMUSG00000074264","821.1.1","N/A","N/A",1,75
"AMZ1","Amz1",681,"ENSMUSG00000050022","681.1.1","ENSG00000174945","archaelysin family metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:22231]",1,1
"ANGPTL1","Angptl1",1059,"ENSMUSG00000033544","1059.1.1","ENSG00000116194","angiopoietin like 1 [Source:HGNC Symbol;Acc:HGNC:489]",1,1
"ANGPTL2","Angptl2",1364,"ENSMUSG00000004105","1364.1.1","ENSG00000136859","angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490]",1,1
"ANGPTL8","Angptl8",907,"ENSMUSG00000047822","907.1.1","ENSG00000130173","angiopoietin like 8 [Source:HGNC Symbol;Acc:HGNC:24933]",1,1
"ANKEF1","Ankef1",1053,"ENSMUSG00000074771","1053.1.1","ENSG00000132623","ankyrin repeat and EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15803]",1,1
"ANPEP","Anpep",869,"ENSMUSG00000039062","869.1.1","ENSG00000166825","alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]",1,1
"ANTXR1","Antxr1",1178,"ENSMUSG00000033420","1178.1.1","ENSG00000169604","ANTXR cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:21014]",1,1
"APLN","Apln",987,"ENSMUSG00000037010","987.1.1","ENSG00000171388","apelin [Source:HGNC Symbol;Acc:HGNC:16665]",1,1
"APOBEC2","Apobec2",669,"ENSMUSG00000040694","669.1.1","ENSG00000124701","apolipoprotein B mRNA editing enzyme catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:605]",1,1
"APOC1","Apoc1",888,"ENSMUSG00000040564","888.1.1","ENSG00000130208","apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]",1,1
"APOL6","Apol6",484,"ENSMUSG00000033576","484.1.1","ENSG00000221963","apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870]",1,1
"APOO","Apoo",49,"ENSMUSG00000079508","49.1.1","ENSG00000184831","apolipoprotein O [Source:HGNC Symbol;Acc:HGNC:28727]",1,1
"AQP4","Aqp4",1156,"ENSMUSG00000024411","1156.1.1","ENSG00000171885","aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637]",1,1
"AQP7","Aqp7",1157,"ENSMUSG00000028427","1157.1.1","ENSG00000165269","aquaporin 7 [Source:HGNC Symbol;Acc:HGNC:640]",2,1
"AQP7B","Aqp7",1157,"ENSMUSG00000028427","1157.1.2","ENSG00000259916","aquaporin 7B [Source:HGNC Symbol;Acc:HGNC:53895]",2,1
"ARHGDIG","Arhgdig",831,"ENSMUSG00000073433","831.1.1","ENSG00000242173","Rho GDP dissociation inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:680]",1,1
"ARHGEF19","Arhgef19",1167,"ENSMUSG00000028919","1167.1.1","ENSG00000142632","Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604]",1,1
"ARL11","Arl11",1326,"ENSMUSG00000043157","1326.1.1","ENSG00000152213","ADP ribosylation factor like GTPase 11 [Source:HGNC Symbol;Acc:HGNC:24046]",1,1
"ARL4C","Arl4c",906,"ENSMUSG00000049866","906.1.1","ENSG00000188042","ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]",1,1
"ARMCX2","Armcx2",1038,"ENSMUSG00000033436","1038.1.1","ENSG00000184867","armadillo repeat containing X-linked 2 [Source:HGNC Symbol;Acc:HGNC:16869]",1,1
"ARSI","Arsi",262,"ENSMUSG00000036412","262.1.1","ENSG00000183876","arylsulfatase family member I [Source:HGNC Symbol;Acc:HGNC:32521]",1,1
"ART3","Art3",1298,"ENSMUSG00000034842","1298.1.1","ENSG00000156219","ADP-ribosyltransferase 3 (inactive) [Source:HGNC Symbol;Acc:HGNC:725]",1,1
"ARTN","Artn",1244,"ENSMUSG00000028539","1244.1.1","ENSG00000117407","artemin [Source:HGNC Symbol;Acc:HGNC:727]",1,1
"SPCS3","Arxes1",21,"ENSMUSG00000048040","21.1.1","ENSG00000129128","signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]",1,2
"SPCS3","Arxes2",1020,"ENSMUSG00000048040","1020.1.1","ENSG00000129128","signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]",1,2
"ASAP3","Asap3",668,"ENSMUSG00000036995","668.1.1","ENSG00000088280","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]",1,1
"ASB10","Asb10",910,"ENSMUSG00000038204","910.1.1","ENSG00000146926","ankyrin repeat and SOCS box containing 10 [Source:HGNC Symbol;Acc:HGNC:17185]",1,1
"ASB11","Asb11",100,"ENSMUSG00000031382","100.1.1","ENSG00000165192","ankyrin repeat and SOCS box containing 11 [Source:HGNC Symbol;Acc:HGNC:17186]",1,1
"ASB12","Asb12",1205,"ENSMUSG00000031204","1205.1.1","ENSG00000198881","ankyrin repeat and SOCS box containing 12 [Source:HGNC Symbol;Acc:HGNC:19763]",1,1
"ASB14","Asb14",305,"ENSMUSG00000021898","305.1.1","ENSG00000239388","ankyrin repeat and SOCS box containing 14 [Source:HGNC Symbol;Acc:HGNC:19766]",1,1
"ASB2","Asb2",497,"ENSMUSG00000021200","497.1.1","ENSG00000100628","ankyrin repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:16012]",1,1
"ASB5","Asb5",1209,"ENSMUSG00000031519","1209.1.1","ENSG00000164122","ankyrin repeat and SOCS box containing 5 [Source:HGNC Symbol;Acc:HGNC:17180]",1,1
"ASPA","Aspa",1114,"ENSMUSG00000020774","1114.1.1","ENSG00000108381","aspartoacylase [Source:HGNC Symbol;Acc:HGNC:756]",1,1
"ASPG","Aspg",1266,"ENSMUSG00000037686","1266.1.1","ENSG00000166183","asparaginase [Source:HGNC Symbol;Acc:HGNC:20123]",1,1
"ASPM","Aspm",319,"ENSMUSG00000033952","319.1.1","ENSG00000066279","assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]",1,1
"ASPN","Aspn",991,"ENSMUSG00000021388","991.1.1","ENSG00000106819","asporin [Source:HGNC Symbol;Acc:HGNC:14872]",1,1
"ATL2","Atl2",1398,"ENSMUSG00000059811","1398.1.1","ENSG00000119787","atlastin GTPase 2 [Source:HGNC Symbol;Acc:HGNC:24047]",1,1
"ATP1A3","Atp1a3",1274,"ENSMUSG00000040907","1274.1.1","ENSG00000105409","ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]",1,1
"N/A","Atp5mc1",677,"ENSMUSG00000006057","677.1.1","N/A","N/A",1,75
"ATP6V0A4","Atp6v0a4",830,"ENSMUSG00000038600","830.1.1","ENSG00000105929","ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866]",1,1
"ATP6V0D2","Atp6v0d2",332,"ENSMUSG00000028238","332.1.1","ENSG00000147614","ATPase H+ transporting V0 subunit d2 [Source:HGNC Symbol;Acc:HGNC:18266]",1,1
"ATP8B2","Atp8b2",330,"ENSMUSG00000060671","330.1.1","ENSG00000143515","ATPase phospholipid transporting 8B2 [Source:HGNC Symbol;Acc:HGNC:13534]",1,1
"AVPR1A","Avpr1a",335,"ENSMUSG00000020123","335.1.1","ENSG00000166148","arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]",1,1
"VWA5A","AW551984",372,"ENSMUSG00000038112","372.1.1","ENSG00000110002","von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]",1,1
"AZIN2","Azin2",164,"ENSMUSG00000028789","164.1.1","ENSG00000142920","antizyme inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:29957]",1,1
"B3GALT2","B3galt2",1041,"ENSMUSG00000033849","1041.1.1","ENSG00000162630","beta-1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:917]",1,1
"B3GNT9","B3gnt9",643,"ENSMUSG00000069920","643.1.1","ENSG00000237172","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:28714]",1,1
"B4GALNT1","B4galnt1",591,"ENSMUSG00000006731","591.1.1","ENSG00000135454","beta-1,4-N-acetyl-galactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4117]",1,1
"B4GALT2","B4galt2",383,"ENSMUSG00000028541","383.1.1","ENSG00000117411","beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]",1,1
"BAALC","Baalc",969,"ENSMUSG00000022296","969.1.1","ENSG00000164929","BAALC binder of MAP3K1 and KLF4 [Source:HGNC Symbol;Acc:HGNC:14333]",1,1
"BACE2","Bace2",933,"ENSMUSG00000040605","933.1.1","ENSG00000182240","beta-secretase 2 [Source:HGNC Symbol;Acc:HGNC:934]",1,1
"BARX1","Barx1",512,"ENSMUSG00000021381","512.1.1","ENSG00000131668","BARX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:955]",1,1
"KIAA1614","BC034090",1147,"ENSMUSG00000033722","1147.1.1","ENSG00000135835","KIAA1614 [Source:HGNC Symbol;Acc:HGNC:29327]",1,1
"BCHE","Bche",572,"ENSMUSG00000027792","572.1.1","ENSG00000114200","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]",1,1
"BCL2A1","Bcl2a1b",717,"ENSMUSG00000089929","717.1.1","ENSG00000140379","BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]",1,1
"BCL3","Bcl3",909,"ENSMUSG00000053175","909.1.1","ENSG00000069399","BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]",1,1
"BDKRB2","Bdkrb2",266,"ENSMUSG00000021070","266.1.1","ENSG00000168398","bradykinin receptor B2 [Source:HGNC Symbol;Acc:HGNC:1030]",1,1
"BEGAIN","Begain",1225,"ENSMUSG00000040867","1225.1.1","ENSG00000183092","brain enriched guanylate kinase associated [Source:HGNC Symbol;Acc:HGNC:24163]",1,1
"BEND6","Bend6",1400,"ENSMUSG00000042182","1400.1.1","ENSG00000151917","BEN domain containing 6 [Source:HGNC Symbol;Acc:HGNC:20871]",1,1
"BGN","Bgn",473,"ENSMUSG00000031375","473.1.1","ENSG00000182492","biglycan [Source:HGNC Symbol;Acc:HGNC:1044]",1,1
"BHLHE22","Bhlhe22",1402,"ENSMUSG00000025128","1402.1.1","ENSG00000180828","basic helix-loop-helix family member e22 [Source:HGNC Symbol;Acc:HGNC:11963]",1,1
"BICC1","Bicc1",486,"ENSMUSG00000014329","486.1.1","ENSG00000122870","BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351]",1,1
"BMF","Bmf",177,"ENSMUSG00000040093","177.1.1","ENSG00000104081","Bcl2 modifying factor [Source:HGNC Symbol;Acc:HGNC:24132]",1,1
"BMP1","Bmp1",1073,"ENSMUSG00000022098","1073.1.1","ENSG00000168487","bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]",1,1
"BMP15","Bmp15",122,"ENSMUSG00000023279","122.1.1","ENSG00000130385","bone morphogenetic protein 15 [Source:HGNC Symbol;Acc:HGNC:1068]",1,1
"BMPER","Bmper",713,"ENSMUSG00000031963","713.1.1","ENSG00000164619","BMP binding endothelial regulator [Source:HGNC Symbol;Acc:HGNC:24154]",1,1
"BNC2","Bnc2",1216,"ENSMUSG00000028487","1216.1.1","ENSG00000173068","basonuclin zinc finger protein 2 [Source:HGNC Symbol;Acc:HGNC:30988]",1,1
"BNIP3","Bnip3",884,"ENSMUSG00000078566","884.1.1","ENSG00000176171","BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]",1,1
"BOK","Bok",624,"ENSMUSG00000026278","624.1.1","ENSG00000176720","BCL2 family apoptosis regulator BOK [Source:HGNC Symbol;Acc:HGNC:1087]",1,1
"BRINP1","Brinp1",1187,"ENSMUSG00000028351","1187.1.1","ENSG00000078725","BMP/retinoic acid inducible neural specific 1 [Source:HGNC Symbol;Acc:HGNC:2687]",1,1
"BRINP3","Brinp3",16,"ENSMUSG00000035131","16.1.1","ENSG00000162670","BMP/retinoic acid inducible neural specific 3 [Source:HGNC Symbol;Acc:HGNC:22393]",1,1
"BRSK1","Brsk1",616,"ENSMUSG00000035390","616.1.1","ENSG00000160469","BR serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:18994]",1,1
"BST1","Bst1",11,"ENSMUSG00000029082","11.1.1","ENSG00000109743","bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]",1,1
"BUB1","Bub1",524,"ENSMUSG00000027379","524.1.1","ENSG00000169679","BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]",1,1
"N/A","C130050O18Rik",255,"ENSMUSG00000044092","255.1.1","N/A","N/A",1,75
"C1QTNF1","C1qtnf1",176,"ENSMUSG00000017446","176.1.1","ENSG00000173918","C1q and TNF related 1 [Source:HGNC Symbol;Acc:HGNC:14324]",1,1
"C1QTNF2","C1qtnf2",999,"ENSMUSG00000046491","999.1.1","ENSG00000145861","C1q and TNF related 2 [Source:HGNC Symbol;Acc:HGNC:14325]",1,1
"C1QTNF3","C1qtnf3",81,"ENSMUSG00000058914","81.1.1","ENSG00000082196","C1q and TNF related 3 [Source:HGNC Symbol;Acc:HGNC:14326]",1,1
