"input","ortholog_name","input_ensg","ortholog_ensg"
"Angptl1","ANGPTL1","ENSMUSG00000033544","ENSG00000116194"
"Angptl2","ANGPTL2","ENSMUSG00000004105","ENSG00000136859"
"Angptl8","ANGPTL8","ENSMUSG00000047822","ENSG00000130173"
"Ankef1","ANKEF1","ENSMUSG00000074771","ENSG00000132623"
"Anpep","ANPEP","ENSMUSG00000039062","ENSG00000166825"
"Antxr1","ANTXR1","ENSMUSG00000033420","ENSG00000169604"
"Apln","APLN","ENSMUSG00000037010","ENSG00000171388"
"Apobec2","APOBEC2","ENSMUSG00000040694","ENSG00000124701"
"Apoc1","APOC1","ENSMUSG00000040564","ENSG00000130208"
"Apol6","APOL6","ENSMUSG00000033576","ENSG00000221963"
"Apoo","APOO","ENSMUSG00000079508","ENSG00000184831"
"Aqp4","AQP4","ENSMUSG00000024411","ENSG00000171885"
"Arhgdig","ARHGDIG","ENSMUSG00000073433","ENSG00000242173"
"Arhgef19","ARHGEF19","ENSMUSG00000028919","ENSG00000142632"
"Arl11","ARL11","ENSMUSG00000043157","ENSG00000152213"
"Arl4c","ARL4C","ENSMUSG00000049866","ENSG00000188042"
"Armcx2","ARMCX2","ENSMUSG00000033436","ENSG00000184867"
"Arsi","ARSI","ENSMUSG00000036412","ENSG00000183876"
"Art3","ART3","ENSMUSG00000034842","ENSG00000156219"
"Artn","ARTN","ENSMUSG00000028539","ENSG00000117407"
"Asap3","ASAP3","ENSMUSG00000036995","ENSG00000088280"
"Asb10","ASB10","ENSMUSG00000038204","ENSG00000146926"
"Asb11","ASB11","ENSMUSG00000031382","ENSG00000165192"
"Asb12","ASB12","ENSMUSG00000031204","ENSG00000198881"
"Asb14","ASB14","ENSMUSG00000021898","ENSG00000239388"
"Asb2","ASB2","ENSMUSG00000021200","ENSG00000100628"
"Asb5","ASB5","ENSMUSG00000031519","ENSG00000164122"
"Aspa","ASPA","ENSMUSG00000020774","ENSG00000108381"
"Aspg","ASPG","ENSMUSG00000037686","ENSG00000166183"
"Aspm","ASPM","ENSMUSG00000033952","ENSG00000066279"
"Aspn","ASPN","ENSMUSG00000021388","ENSG00000106819"
"Atl2","ATL2","ENSMUSG00000059811","ENSG00000119787"
"Atp1a3","ATP1A3","ENSMUSG00000040907","ENSG00000105409"
"Atp6v0a4","ATP6V0A4","ENSMUSG00000038600","ENSG00000105929"
"Atp6v0d2","ATP6V0D2","ENSMUSG00000028238","ENSG00000147614"
"Atp8b2","ATP8B2","ENSMUSG00000060671","ENSG00000143515"
"Avpr1a","AVPR1A","ENSMUSG00000020123","ENSG00000166148"
"AW551984","VWA5A","ENSMUSG00000038112","ENSG00000110002"
"Azin2","AZIN2","ENSMUSG00000028789","ENSG00000142920"
"B3galt2","B3GALT2","ENSMUSG00000033849","ENSG00000162630"
"B3gnt9","B3GNT9","ENSMUSG00000069920","ENSG00000237172"
"B4galnt1","B4GALNT1","ENSMUSG00000006731","ENSG00000135454"
"B4galt2","B4GALT2","ENSMUSG00000028541","ENSG00000117411"
"Baalc","BAALC","ENSMUSG00000022296","ENSG00000164929"
"Bace2","BACE2","ENSMUSG00000040605","ENSG00000182240"
"Barx1","BARX1","ENSMUSG00000021381","ENSG00000131668"
"BC034090","KIAA1614","ENSMUSG00000033722","ENSG00000135835"
"Bche","BCHE","ENSMUSG00000027792","ENSG00000114200"
"Bcl2a1b","BCL2A1","ENSMUSG00000089929","ENSG00000140379"
"Bcl3","BCL3","ENSMUSG00000053175","ENSG00000069399"
"Bdkrb2","BDKRB2","ENSMUSG00000021070","ENSG00000168398"
"Begain","BEGAIN","ENSMUSG00000040867","ENSG00000183092"
"Bend6","BEND6","ENSMUSG00000042182","ENSG00000151917"
"Bgn","BGN","ENSMUSG00000031375","ENSG00000182492"
"Bhlhe22","BHLHE22","ENSMUSG00000025128","ENSG00000180828"
"Bicc1","BICC1","ENSMUSG00000014329","ENSG00000122870"
"Bmf","BMF","ENSMUSG00000040093","ENSG00000104081"
"Bmp1","BMP1","ENSMUSG00000022098","ENSG00000168487"
"Bmp15","BMP15","ENSMUSG00000023279","ENSG00000130385"
"Bmper","BMPER","ENSMUSG00000031963","ENSG00000164619"
"Bnc2","BNC2","ENSMUSG00000028487","ENSG00000173068"
"Bnip3","BNIP3","ENSMUSG00000078566","ENSG00000176171"
"Bok","BOK","ENSMUSG00000026278","ENSG00000176720"
"Brinp1","BRINP1","ENSMUSG00000028351","ENSG00000078725"
"Brinp3","BRINP3","ENSMUSG00000035131","ENSG00000162670"
"Brsk1","BRSK1","ENSMUSG00000035390","ENSG00000160469"
"Bst1","BST1","ENSMUSG00000029082","ENSG00000109743"
"Bub1","BUB1","ENSMUSG00000027379","ENSG00000169679"
"C1qtnf1","C1QTNF1","ENSMUSG00000017446","ENSG00000173918"
"C1qtnf2","C1QTNF2","ENSMUSG00000046491","ENSG00000145861"
"C1qtnf3","C1QTNF3","ENSMUSG00000058914","ENSG00000082196"
"C1qtnf5","C1QTNF5","ENSMUSG00000079592","ENSG00000223953"
"C1qtnf6","C1QTNF6","ENSMUSG00000022440","ENSG00000133466"
"C3ar1","C3AR1","ENSMUSG00000040552","ENSG00000171860"
"Cacna1i","CACNA1I","ENSMUSG00000022416","ENSG00000100346"
"Cacnb3","CACNB3","ENSMUSG00000003352","ENSG00000167535"
"Cacng6","CACNG6","ENSMUSG00000078815","ENSG00000130433"
"Calhm2","CALHM2","ENSMUSG00000033033","ENSG00000138172"
"Camk4","CAMK4","ENSMUSG00000038128","ENSG00000152495"
"Camkk1","CAMKK1","ENSMUSG00000020785","ENSG00000004660"
"Cap1","CAP1","ENSMUSG00000028656","ENSG00000131236"
"Capn3","CAPN3","ENSMUSG00000079110","ENSG00000092529"
"Car1","CA1","ENSMUSG00000027556","ENSG00000133742"
"Car14","CA14","ENSMUSG00000038526","ENSG00000118298"
"Car2","CA2","ENSMUSG00000027562","ENSG00000104267"
"Car3","CA3","ENSMUSG00000027559","ENSG00000164879"
"Car4","CA4","ENSMUSG00000000805","ENSG00000167434"
"Casp3","CASP3","ENSMUSG00000031628","ENSG00000164305"
"Cavin4","CAVIN4","ENSMUSG00000028348","ENSG00000170681"
"Cbs","CBS","ENSMUSG00000024039","ENSG00000160200"
"Ccbe1","CCBE1","ENSMUSG00000046318","ENSG00000183287"
"Ccdc112","CCDC112","ENSMUSG00000071855","ENSG00000164221"
"Ccdc116","CCDC116","ENSMUSG00000022768","ENSG00000161180"
"Ccdc146","CCDC146","ENSMUSG00000064280","ENSG00000135205"
"Ccdc24","CCDC24","ENSMUSG00000078588","ENSG00000159214"
"Ccdc30","CCDC30","ENSMUSG00000028637","ENSG00000186409"
"Ccdc69","CCDC69","ENSMUSG00000049588","ENSG00000198624"
"Ccdc8","CCDC8","ENSMUSG00000041117","ENSG00000169515"
"Ccl11","CCL11","ENSMUSG00000020676","ENSG00000172156"
"Ccl22","CCL22","ENSMUSG00000031779","ENSG00000102962"
"Ccn3","CCN3","ENSMUSG00000037362","ENSG00000136999"
"Ccn4","CCN4","ENSMUSG00000005124","ENSG00000104415"
"Ccn5","CCN5","ENSMUSG00000027656","ENSG00000064205"
"Ccnb1","CCNB1","ENSMUSG00000041431","ENSG00000134057"
"Ccnb2","CCNB2","ENSMUSG00000032218","ENSG00000157456"
"Ccng1","CCNG1","ENSMUSG00000020326","ENSG00000113328"
"Ccr5","CCR5","ENSMUSG00000079227","ENSG00000160791"
"Ccser1","CCSER1","ENSMUSG00000039578","ENSG00000184305"
"Cd109","CD109","ENSMUSG00000046186","ENSG00000156535"
"Cd180","CD180","ENSMUSG00000021624","ENSG00000134061"
"Cd248","CD248","ENSMUSG00000056481","ENSG00000174807"
"Cd24a","CD24","ENSMUSG00000047139","ENSG00000272398"
"Cd276","CD276","ENSMUSG00000035914","ENSG00000103855"
"Cd300c2","CD300C","ENSMUSG00000044811","ENSG00000167850"
"Cd36","CD36","ENSMUSG00000002944","ENSG00000135218"
"Cd4","CD4","ENSMUSG00000023274","ENSG00000010610"
"Cd44","CD44","ENSMUSG00000005087","ENSG00000026508"
"Cd59b","CD59","ENSMUSG00000068686","ENSG00000085063"
"Cd79a","CD79A","ENSMUSG00000003379","ENSG00000105369"
"Cd80","CD80","ENSMUSG00000075122","ENSG00000121594"
"Cd83","CD83","ENSMUSG00000015396","ENSG00000112149"
"Cd84","CD84","ENSMUSG00000038147","ENSG00000066294"
"Cda","CDA","ENSMUSG00000028755","ENSG00000158825"
"Cdc20","CDC20","ENSMUSG00000006398","ENSG00000117399"
"Cdc25c","CDC25C","ENSMUSG00000044201","ENSG00000158402"
"Cdh11","CDH11","ENSMUSG00000031673","ENSG00000140937"
"Cdh24","CDH24","ENSMUSG00000059674","ENSG00000139880"
"Cdh4","CDH4","ENSMUSG00000000305","ENSG00000179242"
"Cdk1","CDK1","ENSMUSG00000019942","ENSG00000170312"
"Cdk15","CDK15","ENSMUSG00000026023","ENSG00000138395"
"Cdk6","CDK6","ENSMUSG00000040274","ENSG00000105810"
"Cdkn2a","CDKN2A","ENSMUSG00000044303","ENSG00000147889"
"Cdkn3","CDKN3","ENSMUSG00000037628","ENSG00000100526"
"Cdnf","CDNF","ENSMUSG00000039496","ENSG00000185267"
"Cdo1","CDO1","ENSMUSG00000033022","ENSG00000129596"
"Cdon","CDON","ENSMUSG00000038119","ENSG00000064309"
"Cdr2l","CDR2L","ENSMUSG00000050910","ENSG00000109089"
"Cdsn","CDSN","ENSMUSG00000039518","ENSG00000204539"
"Cecr2","CECR2","ENSMUSG00000071226","ENSG00000099954"
"Celsr2","CELSR2","ENSMUSG00000068740","ENSG00000143126"
"Cemip","CEMIP","ENSMUSG00000052353","ENSG00000103888"
"Cenpf","CENPF","ENSMUSG00000026605","ENSG00000117724"
"Cep55","CEP55","ENSMUSG00000024989","ENSG00000138180"
"Cercam","CERCAM","ENSMUSG00000039787","ENSG00000167123"
"Ces1d","CES1","ENSMUSG00000056973","ENSG00000198848"
"Cfap20dc","CFAP20DC","ENSMUSG00000021747","ENSG00000163689"
"Cfap45","CFAP45","ENSMUSG00000026546","ENSG00000213085"
"Cfap52","CFAP52","ENSMUSG00000020904","ENSG00000166596"
"Cfap69","CFAP69","ENSMUSG00000040473","ENSG00000105792"
"Cfd","CFD","ENSMUSG00000061780","ENSG00000197766"
"Ch25h","CH25H","ENSMUSG00000050370","ENSG00000138135"
"Chaf1b","CHAF1B","ENSMUSG00000022945","ENSG00000159259"
"Chchd10","CHCHD10","ENSMUSG00000049422","ENSG00000250479"
"Chd3","CHD3","ENSMUSG00000018474","ENSG00000170004"
"Chdh","CHDH","ENSMUSG00000015970","ENSG00000016391"
"Chi3l1","CHI3L1","ENSMUSG00000064246","ENSG00000133048"
"Chia1","CHIA","ENSMUSG00000062778","ENSG00000134216"
"Chl1","CHL1","ENSMUSG00000030077","ENSG00000134121"
"Chn2","CHN2","ENSMUSG00000004633","ENSG00000106069"
"Chpf","CHPF","ENSMUSG00000032997","ENSG00000123989"
"Chpt1","CHPT1","ENSMUSG00000060002","ENSG00000111666"
"Chst2","CHST2","ENSMUSG00000033350","ENSG00000175040"
"Chsy1","CHSY1","ENSMUSG00000032640","ENSG00000131873"
"Chsy3","CHSY3","ENSMUSG00000058152","ENSG00000198108"
"Cib2","CIB2","ENSMUSG00000037493","ENSG00000136425"
"Cidea","CIDEA","ENSMUSG00000024526","ENSG00000176194"
"Cidec","CIDEC","ENSMUSG00000030278","ENSG00000187288"
"Cilp","CILP","ENSMUSG00000042254","ENSG00000138615"
"Cimap1d","CIMAP1D","ENSMUSG00000035963","ENSG00000181781"
"Cisd1","CISD1","ENSMUSG00000037710","ENSG00000122873"
"Ckap2","CKAP2","ENSMUSG00000037725","ENSG00000136108"
"Ckap2l","CKAP2L","ENSMUSG00000048327","ENSG00000169607"
"Ckap4","CKAP4","ENSMUSG00000046841","ENSG00000136026"
"Ckm","CKM","ENSMUSG00000030399","ENSG00000104879"
"Ckmt2","CKMT2","ENSMUSG00000021622","ENSG00000131730"
"Cks2","CKS2","ENSMUSG00000062248","ENSG00000123975"
"Clba1","CLBA1","ENSMUSG00000037594","ENSG00000140104"
"Clcf1","CLCF1","ENSMUSG00000040663","ENSG00000175505"
"Cldn10","CLDN10","ENSMUSG00000022132","ENSG00000134873"
"Clec11a","CLEC11A","ENSMUSG00000004473","ENSG00000105472"
"Clec12a","CLEC12A","ENSMUSG00000053063","ENSG00000172322"
"Clec4d","CLEC4D","ENSMUSG00000030144","ENSG00000166527"
"Clec4n","CLEC6A","ENSMUSG00000023349","ENSG00000205846"
"Clec5a","CLEC5A","ENSMUSG00000029915","ENSG00000258227"
"Clec7a","CLEC7A","ENSMUSG00000079293","ENSG00000172243"
"Clip3","CLIP3","ENSMUSG00000013921","ENSG00000105270"
"Clstn3","CLSTN3","ENSMUSG00000008153","ENSG00000139182"
"Cmbl","CMBL","ENSMUSG00000022235","ENSG00000164237"
"Cmtm3","CMTM3","ENSMUSG00000031875","ENSG00000140931"
"Cnga3","CNGA3","ENSMUSG00000026114","ENSG00000144191"
"Cnn2","CNN2","ENSMUSG00000004665","ENSG00000064666"
"Cnn3","CNN3","ENSMUSG00000053931","ENSG00000117519"
"Cntn2","CNTN2","ENSMUSG00000053024","ENSG00000184144"
"Coch","COCH","ENSMUSG00000020953","ENSG00000100473"
"Col11a1","COL11A1","ENSMUSG00000027966","ENSG00000060718"
"Col12a1","COL12A1","ENSMUSG00000032332","ENSG00000111799"
"Col14a1","COL14A1","ENSMUSG00000022371","ENSG00000187955"
"Col15a1","COL15A1","ENSMUSG00000028339","ENSG00000204291"
"Col16a1","COL16A1","ENSMUSG00000040690","ENSG00000084636"
"Col18a1","COL18A1","ENSMUSG00000001435","ENSG00000182871"
"Col1a1","COL1A1","ENSMUSG00000001506","ENSG00000108821"
"Col1a2","COL1A2","ENSMUSG00000029661","ENSG00000164692"
"Col23a1","COL23A1","ENSMUSG00000063564","ENSG00000050767"
"Col26a1","COL26A1","ENSMUSG00000004415","ENSG00000160963"
"Col27a1","COL27A1","ENSMUSG00000045672","ENSG00000196739"
"Col3a1","COL3A1","ENSMUSG00000026043","ENSG00000168542"
"Col5a1","COL5A1","ENSMUSG00000026837","ENSG00000130635"
"Col5a2","COL5A2","ENSMUSG00000026042","ENSG00000204262"
"Col5a3","COL5A3","ENSMUSG00000004098","ENSG00000080573"
"Col6a1","COL6A1","ENSMUSG00000001119","ENSG00000142156"
"Col6a2","COL6A2","ENSMUSG00000020241","ENSG00000142173"
"Col6a3","COL6A3","ENSMUSG00000048126","ENSG00000163359"
"Col6a5","COL6A5","ENSMUSG00000091345","ENSG00000172752"
"Col6a6","COL6A6","ENSMUSG00000043719","ENSG00000206384"
"Col8a1","COL8A1","ENSMUSG00000068196","ENSG00000144810"
"Col8a2","COL8A2","ENSMUSG00000056174","ENSG00000171812"
"Colec10","COLEC10","ENSMUSG00000038591","ENSG00000184374"
"Colec12","COLEC12","ENSMUSG00000036103","ENSG00000158270"
"Comp","COMP","ENSMUSG00000031849","ENSG00000105664"
"Coq9","COQ9","ENSMUSG00000031782","ENSG00000088682"
"Coro6","CORO6","ENSMUSG00000020836","ENSG00000167549"
"Cox6a2","COX6A2","ENSMUSG00000030785","ENSG00000156885"
"Cox7a1","COX7A1","ENSMUSG00000074218","ENSG00000161281"
"Cox8b","COX8C","ENSMUSG00000025488","ENSG00000187581"
"Cpt1c","CPT1C","ENSMUSG00000007783","ENSG00000169169"
"Cpxm1","CPXM1","ENSMUSG00000027408","ENSG00000088882"
"Cpxm2","CPXM2","ENSMUSG00000030862","ENSG00000121898"
"Crabp2","CRABP2","ENSMUSG00000004885","ENSG00000143320"
"Crhr2","CRHR2","ENSMUSG00000003476","ENSG00000106113"
"Crip3","CRIP3","ENSMUSG00000023968","ENSG00000146215"
"Crispld2","CRISPLD2","ENSMUSG00000031825","ENSG00000103196"
"Crlf1","CRLF1","ENSMUSG00000007888","ENSG00000006016"
"Crocc2","CROCC2","ENSMUSG00000084989","ENSG00000226321"
"Crtap","CRTAP","ENSMUSG00000032431","ENSG00000170275"
"Csf1r","CSF1R","ENSMUSG00000024621","ENSG00000182578"
"Csgalnact1","CSGALNACT1","ENSMUSG00000036356","ENSG00000147408"
"Csrp2","CSRP2","ENSMUSG00000020186","ENSG00000175183"
"Cst6","CST6","ENSMUSG00000024846","ENSG00000175315"
"Cthrc1","CTHRC1","ENSMUSG00000054196","ENSG00000164932"
"Ctsh","CTSH","ENSMUSG00000032359","ENSG00000103811"
"Ctsk","CTSK","ENSMUSG00000028111","ENSG00000143387"
"Ctss","CTSS","ENSMUSG00000038642","ENSG00000163131"
"Ctxn1","CTXN1","ENSMUSG00000048644","ENSG00000178531"
"Ctxn3","CTXN3","ENSMUSG00000069372","ENSG00000205279"
"Cubn","CUBN","ENSMUSG00000026726","ENSG00000107611"
"Cuzd1","CUZD1","ENSMUSG00000040205","ENSG00000138161"
"Cx3cl1","CX3CL1","ENSMUSG00000031778","ENSG00000006210"
"Cx3cr1","CX3CR1","ENSMUSG00000052336","ENSG00000168329"
"Cxcl13","CXCL13","ENSMUSG00000023078","ENSG00000156234"
"Cxcl16","CXCL16","ENSMUSG00000018920","ENSG00000161921"
"Cxcr4","CXCR4","ENSMUSG00000045382","ENSG00000121966"
"Cxcr6","CXCR6","ENSMUSG00000048521","ENSG00000172215"
"Cycs","CYCS","ENSMUSG00000058927","ENSG00000172115"
"Cyp1a1","CYP1A1","ENSMUSG00000032315","ENSG00000140465"
"Cyp1b1","CYP1B1","ENSMUSG00000024087","ENSG00000138061"
"Cyp2e1","CYP2E1","ENSMUSG00000025479","ENSG00000130649"
"Cyp46a1","CYP46A1","ENSMUSG00000021259","ENSG00000036530"
"Cyp4f39","CYP4F22","ENSMUSG00000061126","ENSG00000171954"
"Cyp7b1","CYP7B1","ENSMUSG00000039519","ENSG00000172817"
"D630045J12Rik","KIAA1549","ENSMUSG00000063455","ENSG00000122778"
"Dab2","DAB2","ENSMUSG00000022150","ENSG00000153071"
"Dact3","DACT3","ENSMUSG00000078794","ENSG00000197380"
"Dbi","DBI","ENSMUSG00000026385","ENSG00000155368"
"Dbn1","DBN1","ENSMUSG00000034675","ENSG00000113758"
"Dchs1","DCHS1","ENSMUSG00000036862","ENSG00000166341"
"Dclk2","DCLK2","ENSMUSG00000028078","ENSG00000170390"
"Dcst2","DCST2","ENSMUSG00000109293","ENSG00000163354"
"Ddit4l","DDIT4L","ENSMUSG00000046818","ENSG00000145358"
"Def6","DEF6","ENSMUSG00000002257","ENSG00000023892"
"Dennd2d","DENND2D","ENSMUSG00000027901","ENSG00000162777"
"Depdc1a","DEPDC1","ENSMUSG00000028175","ENSG00000024526"
"Dgat2","DGAT2","ENSMUSG00000030747","ENSG00000062282"
"Dgat2l6","DGAT2L6","ENSMUSG00000067597","ENSG00000184210"
"Dhdh","DHDH","ENSMUSG00000011382","ENSG00000104808"
"Diaph3","DIAPH3","ENSMUSG00000022021","ENSG00000139734"
"Disp2","DISP2","ENSMUSG00000040035","ENSG00000140323"
"Dkk3","DKK3","ENSMUSG00000030772","ENSG00000050165"
"Dlg4","DLG4","ENSMUSG00000020886","ENSG00000132535"
"Dlgap5","DLGAP5","ENSMUSG00000037544","ENSG00000126787"
"Dlx3","DLX3","ENSMUSG00000001510","ENSG00000064195"
"Dlx4","DLX4","ENSMUSG00000020871","ENSG00000108813"
"Dmc1","DMC1","ENSMUSG00000022429","ENSG00000100206"
"Dmkn","DMKN","ENSMUSG00000060962","ENSG00000161249"
"Dmrt2","DMRT2","ENSMUSG00000048138","ENSG00000173253"
"Dnai2","DNAI2","ENSMUSG00000034706","ENSG00000171595"
"Dnajc15","DNAJC15","ENSMUSG00000022013","ENSG00000120675"
"Dnm1","DNM1","ENSMUSG00000026825","ENSG00000106976"
"Dnmt3l","DNMT3L","ENSMUSG00000000730","ENSG00000142182"
"Doc2b","DOC2B","ENSMUSG00000020848","ENSG00000272636"
"Dpep2","DPEP2","ENSMUSG00000053687","ENSG00000167261"
"Dpt","DPT","ENSMUSG00000026574","ENSG00000143196"
"Dpy19l1","DPY19L1","ENSMUSG00000043067","ENSG00000173852"
"Dpyd","DPYD","ENSMUSG00000033308","ENSG00000188641"
"Draxin","DRAXIN","ENSMUSG00000029005","ENSG00000162490"
"Dsel","DSEL","ENSMUSG00000038702","ENSG00000171451"
"Dtna","DTNA","ENSMUSG00000024302","ENSG00000134769"
"Dusp13b","DUSP13B","ENSMUSG00000021768","ENSG00000079393"
"Dusp26","DUSP26","ENSMUSG00000039661","ENSG00000133878"
"Dzip1","DZIP1","ENSMUSG00000042156","ENSG00000134874"
"Dzip1l","DZIP1L","ENSMUSG00000037784","ENSG00000158163"
"Ece2","ECE2","ENSMUSG00000022842","ENSG00000145194"
"Echdc1","ECHDC1","ENSMUSG00000019883","ENSG00000093144"
"Ecrg4","ECRG4","ENSMUSG00000026051","ENSG00000119147"
"Ect2","ECT2","ENSMUSG00000027699","ENSG00000114346"
"Edil3","EDIL3","ENSMUSG00000034488","ENSG00000164176"
"Ednra","EDNRA","ENSMUSG00000031616","ENSG00000151617"
"Efcab2","EFCAB2","ENSMUSG00000026495","ENSG00000203666"
"Efcab6","EFCAB6","ENSMUSG00000022441","ENSG00000186976"
"Efemp2","EFEMP2","ENSMUSG00000024909","ENSG00000172638"
"Efhb","EFHB","ENSMUSG00000023931","ENSG00000163576"
"Efna2","EFNA2","ENSMUSG00000003070","ENSG00000099617"
"Efna4","EFNA4","ENSMUSG00000028040","ENSG00000243364"
"Egf","EGF","ENSMUSG00000028017","ENSG00000138798"
"Egfr","EGFR","ENSMUSG00000020122","ENSG00000146648"
"Egr3","EGR3","ENSMUSG00000033730","ENSG00000179388"
"Elapor2","ELAPOR2","ENSMUSG00000056004","ENSG00000164659"
"Elf4","ELF4","ENSMUSG00000031103","ENSG00000102034"
"Elfn1","ELFN1","ENSMUSG00000048988","ENSG00000225968"
"Elk3","ELK3","ENSMUSG00000008398","ENSG00000111145"
"Eln","ELN","ENSMUSG00000029675","ENSG00000049540"
"Elovl7","ELOVL7","ENSMUSG00000021696","ENSG00000164181"
"Emb","EMB","ENSMUSG00000021728","ENSG00000170571"
"Emilin1","EMILIN1","ENSMUSG00000029163","ENSG00000138080"
"Emilin3","EMILIN3","ENSMUSG00000050700","ENSG00000183798"
"En2","EN2","ENSMUSG00000039095","ENSG00000164778"
