"gene_id","ENTREZID_1W","SYMBOL_1W","logFC_1W","FDR_1W","direction_1W","ENTREZID_4W","SYMBOL_4W","logFC_4W","FDR_4W","direction_4W","in_1W","in_4W","direction_relation","category","ENTREZID","SYMBOL"
"G10090_10166","217946","Cdca7l",1.125227431782,0.000208108198240495,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","217946","Cdca7l"
"G10090_10183","234593","Ndrg4",1.6252207570199,1.56140903771721e-08,"Up","234593","Ndrg4",1.53955755486681,2.74474828350957e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","234593","Ndrg4"
"G10090_10186","20425","Shmt1",-1.17445274670869,3.16364990758055e-06,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","20425","Shmt1"
"G10090_10187","67390","Mrm3",-1.04462631273639,1.21483184576747e-08,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","67390","Mrm3"
"G10090_1019","23939","Mapk7",1.11845319496427,2.26101532026631e-08,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","23939","Mapk7"
"G10090_10198","54483","Mefv",2.87850094122941,1.32494733657444e-06,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","54483","Mefv"
"G10090_10207","16498","Kcnab2",1.39298810021812,4.18427726589502e-07,"Up","16498","Kcnab2",1.2456987090924,8.3819114258498e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","16498","Kcnab2"
"G10090_10229","117606","Boc",1.23095961038174,2.53666318014889e-05,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","117606","Boc"
"G10090_10230","214058","Megf11",-1.39048292683719,3.09260253801177e-07,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","214058","Megf11"
"G10090_10232","110385","Pde4c",-1.45682190055996,1.12882836004802e-05,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","110385","Pde4c"
"G10090_10241","13386","Dlk1",2.06138748443411,4.23072959855521e-07,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","13386","Dlk1"
"G10090_10243","107581","Col16a1",3.07843901976405,3.57651081869277e-09,"Up","107581","Col16a1",1.78614897041046,9.10915835078394e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","107581","Col16a1"
"G10090_10269","74574","Lvrn",-1.02570423538945,3.71778170011566e-05,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","74574","Lvrn"
"G10090_1029","56318","Acp3",1.01522309024611,0.000496271232131597,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","56318","Acp3"
"G10090_10290","383103","Tvp23a",1.65605876540667,4.37275197510197e-08,"Up","383103","Tvp23a",1.11320854605047,0.000178720054627081,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","383103","Tvp23a"
"G10090_10316","66659","Acp6",-1.13011076597638,2.29335213731049e-10,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","66659","Acp6"
"G10090_10326","228993","Slc17a9",1.13774562123317,0.000291939476278656,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","228993","Slc17a9"
"G10090_10327","105675","Ppif",-1.36309989684621,2.77278824924368e-08,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","105675","Ppif"
"G10090_1033","23966","Tenm4",-1.18591508184612,0.00117635552945523,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","23966","Tenm4"
"G10090_10341","20341","Selenbp1",-1.00610522615744,5.23544749020262e-06,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","20341","Selenbp1"
"G10090_10347","12262","C1qc",1.29505855545389,1.38222522334092e-05,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","12262","C1qc"
"G10090_10350","11803","Aplp1",1.14093477872116,2.2307649767127e-05,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","11803","Aplp1"
"G10090_10365","215378","Brinp3",1.89823651412795,0.00267919203524598,"Up","215378","Brinp3",1.98322371402988,0.000752799386819823,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","215378","Brinp3"
"G10090_10370","171212","Galnt10",1.41865419006616,1.00505413264937e-09,"Up","171212","Galnt10",1.20932825355529,1.49516262082602e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","171212","Galnt10"
"G10090_10384","226841","Vash2",2.69591261045172,8.06808549420564e-11,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","226841","Vash2"
"G10090_10385","102216272","Ak6",-1.26668015251773,3.11298861629461e-08,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","102216272","Ak6"
"G10090_10387","67451","Pkp2",-1.28856731317734,1.56271692789427e-08,"Down","67451","Pkp2",-1.29710051559252,2.19235194857039e-06,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","67451","Pkp2"
"G10090_10411","14633","Gli2",1.05978693337186,6.78070709867758e-05,"Up","14633","Gli2",1.09498559877586,0.000109405361535143,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","14633","Gli2"
"G10090_10416","170835","Inpp5j",-2.53328207358455,2.29332874595577e-07,"Down","170835","Inpp5j",-1.32616443102469,0.0010693361061219,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","170835","Inpp5j"
"G10090_10418","71566","Clmp",1.08203137394529,8.13591018691628e-07,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","71566","Clmp"
"G10090_1043","76219","Arxes1",-1.89617604159832,8.49235009832464e-05,"Down","76219","Arxes1",-1.83633872380935,3.46292633504897e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","76219","Arxes1"
"G10090_10441","20618","Sncg",-1.97390694553371,3.39587033547612e-06,"Down","20618","Sncg",-1.26142008149721,0.00014080537448859,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","20618","Sncg"
"G10090_10443","237759","Col23a1",1.38335062734764,4.99026362490265e-07,"Up","237759","Col23a1",1.02769178888764,0.00808049355459414,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","237759","Col23a1"
"G10090_10446","22359","Vldlr",-1.29385357683519,0.000173224049389181,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","22359","Vldlr"
"G10090_10449","233060","Zfp382",1.00372794838737,1.59012174329114e-08,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","233060","Zfp382"
"G10090_10465",NA,NA,NA,NA,NA,"22625","Map3k19",1.14683075504454,7.53098825538701e-05,"Up",FALSE,TRUE,NA,"4W_only","22625","Map3k19"
"G10090_10466","57339","Jph1",-1.20947093835611,0.00119450416501376,"Down","57339","Jph1",-1.04878573937518,0.00197712636289779,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","57339","Jph1"
"G10090_10476","237360","Adamts14",1.85182506610541,1.19002153895991e-08,"Up","237360","Adamts14",1.56975102451646,7.0539673113845e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","237360","Adamts14"
"G10090_10479","16818","Lck",1.38161892594314,0.000875192212834706,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","16818","Lck"
"G10090_10483","78408","Fam131a",-1.62354333137205,1.2531991483219e-06,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","78408","Fam131a"
"G10090_10490","207215","Fbxo40",-1.39209559391344,0.000195978878643104,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","207215","Fbxo40"
"G10090_1051","76980","Ube2ql1",2.06039996519925,6.68500475036788e-08,"Up","76980","Ube2ql1",1.92146753391162,6.14493013635567e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","76980","Ube2ql1"
"G10090_10515","16997","Ltbp2",2.04887384526642,5.8691520621346e-07,"Up","16997","Ltbp2",1.35747658374529,0.000170674437859577,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","16997","Ltbp2"
"G10090_10516","66277","Klf15",-1.95861752422182,9.38052284058763e-10,"Down","66277","Klf15",-1.04799390949444,0.000392595511483838,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","66277","Klf15"
"G10090_10524","30795","Fkbp3",-1.10395039108605,4.8068375633353e-06,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","30795","Fkbp3"
"G10090_10534","404545","Ano7",1.87417202498487,3.23617025805859e-06,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","404545","Ano7"
"G10090_10541","66515","Cul7",1.51877634490786,1.32559843176874e-09,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","66515","Cul7"
"G10090_10554","12721","Coro1a",1.25899905182697,1.0032405475495e-05,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","12721","Coro1a"
"G10090_10561","73102","Slc22a23",-1.10271464636391,1.84410205677082e-09,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","73102","Slc22a23"
"G10090_10566","237611","Stac3",-1.3438147640082,0.000136208900145804,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","237611","Stac3"
"G10090_10580","14761","Gpr27",1.25595888762092,6.54624171218965e-06,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","14761","Gpr27"
"G10090_10590","70385","Spdl1",2.39593353197331,5.94603046030693e-09,"Up","70385","Spdl1",1.01931145547597,0.026749186198834,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","70385","Spdl1"
"G10090_10600","17357","Marcksl1",2.5276422811049,8.06808549420564e-11,"Up","17357","Marcksl1",1.25012736780421,2.19167488006794e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","17357","Marcksl1"
"G10090_10601","57266","Cxcl14",1.07542081711077,1.50577022224833e-06,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","57266","Cxcl14"
"G10090_10616","140709","Col26a1",2.1099139432257,8.11199007483718e-06,"Up","140709","Col26a1",1.29879910284156,0.00426274634172697,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","140709","Col26a1"
"G10090_10626","319586","Celf5",1.47215118540884,4.13680146363934e-05,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","319586","Celf5"
"G10090_10641","52666","Arhgef25",1.40421333630041,2.46947141481318e-10,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","52666","Arhgef25"
"G10090_1065","66108","Ndufa9",-1.3057552733604,1.7022928454051e-07,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","66108","Ndufa9"
"G10090_10658","100302688","Gm17455",1.47210584981678,5.21247161094305e-06,"Up","100302688","Gm17455",2.49879494333892,3.7597835878813e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","100302688","Gm17455"
"G10090_1066","380709","Spata22",-1.04119338140987,0.0210390721640198,"Down","380709","Spata22",-1.26890922655152,0.00153782327368167,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","380709","Spata22"
"G10090_10664","52665","Echdc1",-1.5266313278209,1.26615356142931e-06,"Down","52665","Echdc1",-1.39619921497096,3.37166380423102e-06,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","52665","Echdc1"
"G10090_10668","16420","Itgb6",-1.04880360189308,0.00260774274134367,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","16420","Itgb6"
"G10090_10676","58243","Nap1l5",-2.09709347795051,9.58403700198397e-08,"Down","58243","Nap1l5",-1.36249777812599,0.000128499415663206,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","58243","Nap1l5"
"G10090_10677","503550","Klri1",1.14876755487234,0.000697444418632401,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","503550","Klri1"
"G10090_10680","67703","Kirrel3",1.01533064179412,0.0002324352587608,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","67703","Kirrel3"
"G10090_10681","99650","4933434E20Rik",-1.03887461138071,2.16326733601997e-07,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","99650","4933434E20Rik"
"G10090_10682","217325","Llgl2",-1.34290420367391,2.08534152132107e-08,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","217325","Llgl2"
"G10090_10696","17992","Ndufa4",-1.34299249126697,6.28319385100493e-07,"Down","17992","Ndufa4",-1.02613886612578,8.23833102921133e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","17992","Ndufa4"
"G10090_10703","16646","Kpna1",-1.08063550851461,0.000140014629208751,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","16646","Kpna1"
"G10090_10704","67803","Limd2",1.80744038281075,3.959548102515e-09,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","67803","Limd2"
"G10090_10724","381199","Tmem151a",1.5421766065483,0.000198645666309403,"Up","381199","Tmem151a",2.61369458497657,0.000233334005681687,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","381199","Tmem151a"
"G10090_10733","66775","Hacd4",1.37576208117037,1.46381607305411e-08,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","66775","Hacd4"
"G10090_10741","11459","Acta1",-1.88495892228247,1.07772033139912e-05,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","11459","Acta1"
"G10090_10753","27398","Mrpl2",-1.08581975755787,9.34683995236609e-08,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","27398","Mrpl2"
"G10090_10757","13175","Dclk1",2.57328202734848,5.79651147414327e-10,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","13175","Dclk1"
"G10090_10758","233651","Dchs1",1.34078785898806,1.7963949508877e-07,"Up","233651","Dchs1",1.43416137223212,1.54017955733362e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","233651","Dchs1"
"G10090_10774","108797","Mex3b",2.38466158681783,7.32538033488519e-10,"Up","108797","Mex3b",2.21153141078076,3.13436890041195e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","108797","Mex3b"
"G10090_10777","26432","Plod2",2.53597701197265,5.33945018856134e-08,"Up","26432","Plod2",2.08408308555239,1.45718653954868e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","26432","Plod2"
"G10090_1078","626359","Wdr93",-1.50357386887249,0.000173568843647014,"Down","626359","Wdr93",-1.36038306095782,0.000372418634015048,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","626359","Wdr93"
"G10090_10787","68655","Fndc1",2.1724415228168,2.28979650768841e-07,"Up","68655","Fndc1",1.55409412425604,7.66111505534496e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","68655","Fndc1"
"G10090_10804","26968","Islr",1.45960068654273,3.81448829789216e-07,"Up","26968","Islr",1.59459650436031,9.12435771370919e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","26968","Islr"
"G10090_10812","212539","Gm266",1.47051879219358,4.01686895804901e-07,"Up","212539","Gm266",1.19613024322286,0.00341396034559764,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","212539","Gm266"
"G10090_10817","77963","Hook1",-1.70364375449272,0.000110784903812254,"Down","77963","Hook1",-1.50277962419591,0.000529870912997535,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","77963","Hook1"
"G10090_10820","228715","Smim26",-1.23731691830463,2.1305424085098e-06,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","228715","Smim26"
"G10090_10829","55984","Camkk1",1.09405663556752,1.38703795759073e-05,"Up","55984","Camkk1",1.20189183673905,0.000329649115095969,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","55984","Camkk1"
"G10090_10859","20661","Sort1",-1.14135271914692,2.13448437805188e-08,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","20661","Sort1"
"G10090_10867","64214","Rgs18",1.11160345853165,4.01135744968089e-05,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","64214","Rgs18"
"G10090_1089","319518","Pdpr",-1.1904914525035,2.84141112439522e-05,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","319518","Pdpr"
"G10090_10891","192236","Hps1",1.1468626741816,2.77351885199115e-06,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","192236","Hps1"
"G10090_10892","15458","Hpx",1.48548254121543,3.04898296906253e-05,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","15458","Hpx"
"G10090_10896","50795","Sh3bgr",-1.70040947495505,4.39477264146485e-05,"Down","50795","Sh3bgr",-1.10394542541173,0.000359893987528556,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","50795","Sh3bgr"
"G10090_10918","20269","Scn3a",1.84317821949701,2.87803360715115e-07,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","20269","Scn3a"
"G10090_10933","66968","Plin5",-2.18704823752654,2.39623183137192e-08,"Down","66968","Plin5",-1.29820142084998,0.00037003647959937,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","66968","Plin5"
"G10090_10934","68316","Apoo",-1.59658103934728,3.61792250935032e-06,"Down","68316","Apoo",-1.06546702185004,0.000369718162463271,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","68316","Apoo"
"G10090_10936","17174","Masp1",1.779948430988,8.12341472414908e-07,"Up","17174","Masp1",1.7711452131993,8.8595174559856e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","17174","Masp1"
"G10090_10939","12615","Cenpa",1.82373566352655,7.81225276784447e-08,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","12615","Cenpa"
"G10090_10944","104383","Rcor2",1.04506091465814,2.4730016478659e-05,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","104383","Rcor2"
"G10090_10947","12790","Cnga3",-1.25723113475101,0.00129220369586813,"Down","12790","Cnga3",-1.02059176065404,0.0107007891039614,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","12790","Cnga3"
"G10090_10949","71870","Cfap45",1.8063097268102,6.05524049791513e-06,"Up","71870","Cfap45",1.72037074030952,0.00086256695204694,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","71870","Cfap45"
"G10090_10951","21677","Tead2",1.6548007991051,9.61522178472292e-10,"Up","21677","Tead2",1.07214962437906,2.94634839825645e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","21677","Tead2"
"G10090_10962","218454","Lhfpl2",1.26266084553141,5.35507113877227e-07,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","218454","Lhfpl2"
"G10090_10973","245026","Col6a6",1.63960513038109,1.68038397454064e-06,"Up","245026","Col6a6",1.2219173750697,0.00155521505109895,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","245026","Col6a6"
"G10090_10978",NA,NA,NA,NA,NA,"228770","Rspo4",3.26696810489588,6.7270426275328e-06,"Up",FALSE,TRUE,NA,"4W_only","228770","Rspo4"
"G10090_10984","217951","Tmem196",1.26539821358361,0.00229127511132878,"Up","217951","Tmem196",2.60706434090126,3.61559357158388e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","217951","Tmem196"
"G10090_10985","12442","Ccnb2",2.91473112225295,1.46381607305411e-08,"Up","12442","Ccnb2",1.55633216108944,0.00039555922731634,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","12442","Ccnb2"
"G10090_10987","215090","Maneal",-1.14665989137454,9.16893726884468e-07,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","215090","Maneal"
"G10090_10991","77627","Efcab6",-1.05206095412122,0.00347225296743942,"Down","77627","Efcab6",-1.12353412373722,6.01844469740777e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","77627","Efcab6"
"G10090_1100","75607","Wnk2",-1.93109442419029,2.12732763406e-05,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","75607","Wnk2"
"G10090_11009","240753","Plekha6",-1.0863549213881,2.04526041014023e-07,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","240753","Plekha6"
"G10090_11013","64450","Gpr85",1.44404007787808,2.03799257554444e-07,"Up","64450","Gpr85",1.37358319493449,0.000871936917674074,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","64450","Gpr85"
"G10090_11023","66793","Clxn",3.81028489797164,1.41746444432627e-07,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","66793","Clxn"
"G10090_11026","17087","Ly96",1.08363100366364,2.09753792235943e-06,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","17087","Ly96"
"G10090_1103","407788","Tsbp1",1.16441718237351,2.66171995216645e-05,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","407788","Tsbp1"
"G10090_11032","18438","P2rx4",1.08646209292235,2.538312062841e-06,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","18438","P2rx4"
"G10090_11036",NA,NA,NA,NA,NA,"12824","Col2a1",3.39164332682076,0.0204091462703756,"Up",FALSE,TRUE,NA,"4W_only","12824","Col2a1"
"G10090_11038","17181","Matn2",2.03312796504438,2.96149274670775e-09,"Up","17181","Matn2",1.74022121125355,1.21670045222572e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","17181","Matn2"
"G10090_11040","216848","Chd3",1.48880829414495,7.88982696447111e-08,"Up","216848","Chd3",1.08467336288041,0.000111832727745355,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","216848","Chd3"
"G10090_11044","14658","Glrb",1.05885883697945,0.00192414903191392,"Up","14658","Glrb",1.6520646140111,3.36556731678536e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","14658","Glrb"
"G10090_11062","235044","Plppr2",1.17229565775623,5.91605816179177e-07,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","235044","Plppr2"
