"gene_id","GSM7140486_CON1_synovium","GSM7140491_CON2_synovium","GSM7140495_CON3_synovium","GSM7140500_CON4_synovium","GSM7140502_CON5_synovium","GSM7140507_CON6_synovium","GSM7140511_CON7_synovium","GSM7140516_CON8_synovium","GSM7140518_CON9_synovium","GSM7140523_CON10_synovium","GSM7140527_CON11_synovium","GSM7140532_CON12_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140501_ACLT12_synovium","GSM7140503_RECON1_synovium","GSM7140504_RECON2_synovium","GSM7140505_RECON3_synovium","GSM7140506_RECON4_synovium","GSM7140508_RECON5_synovium","GSM7140509_RECON6_synovium","GSM7140510_RECON7_synovium","GSM7140512_RECON8_synovium","GSM7140513_RECON9_synovium","GSM7140514_RECON10_synovium","GSM7140515_RECON11_synovium","GSM7140517_RECON12_synovium","GSM7140519_REPAIR1_synovium","GSM7140520_REPAIR2_synovium","GSM7140521_REPAIR3_synovium","GSM7140522_REPAIR4_synovium","GSM7140524_REPAIR5_synovium","GSM7140525_REPAIR6_synovium","GSM7140526_REPAIR7_synovium","GSM7140528_REPAIR8_synovium","GSM7140529_REPAIR9_synovium","GSM7140530_REPAIR10_synovium","GSM7140531_REPAIR11_synovium","GSM7140533_REPAIR12_synovium"
"ENSSSCG00000000021",0.199243,0,0,0,0,0.076718,0.212944,0,0.39269,0.16038,0,0.246093,0,0,0,0,0.250336,0.087148,0,0.09988,0,0.30474,0,0,0,0,0,0.234941,0,0,0,0.096227,0,0,0,0,0,0,0,0.07789,0.319877,0.330181,0,0,0,0.151115,0.189084,0
"ENSSSCG00000000022",26.871345,20.155443,24.16386,22.497501,16.137841,21.248031,24.818322,21.07872,20.670391,22.081685,13.340771,21.853133,22.279062,23.416611,19.842021,17.975424,16.225852,18.771335,27.056126,22.30386,23.579463,31.076679,11.641055,21.269616,26.215153,25.774193,26.125018,26.713744,12.657142,20.908535,14.242258,23.693842,23.918061,14.768277,21.548959,21.631834,25.99431,20.94888,24.895994,18.223936,27.872161,18.257388,25.513973,21.934113,18.721733,22.59286,18.934992,20.669292
"ENSSSCG00000000024",12.567142,13.718567,10.042227,11.40942,14.486827,15.329472,12.400962,13.994272,12.469729,19.167121,9.649903,12.69805,6.92712,8.303565,8.518467,16.163307,8.684813,16.121688,6.254708,11.373484,10.380215,16.636672,4.139981,10.748103,6.394706,13.185886,6.461661,10.339292,7.164595,9.241693,8.174619,9.827534,13.856998,18.148168,8.587244,5.236512,10.848436,8.355475,10.46466,16.036536,6.691533,7.512951,15.955084,5.659358,9.328921,16.480554,12.000081,18.144977
"ENSSSCG00000000025",11.606369,13.969574,15.773057,14.062518,12.953927,10.239919,17.725093,17.886735,17.549673,26.594264,8.333056,20.631246,8.276481,5.505643,4.759643,10.524573,10.642705,11.787114,4.079524,9.830812,6.173427,12.288766,1.835298,13.327949,3.757848,13.369633,3.201733,5.450445,5.396667,5.96297,4.51669,8.020852,8.928636,15.107764,7.778463,3.350074,7.518816,7.448918,9.433369,15.783374,7.098738,9.071557,14.79667,3.38116,6.445137,16.626488,10.05032,13.279987
"ENSSSCG00000000026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000000028",0.858748,0.159347,0.146694,0.636742,0,0.170648,0.709042,0.145103,0.108588,0.207938,0,0.405297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173825,0,0,0,0,0,0,0,0,0.149567,0,0.20662,0,0,0,0.119052,0,0.12543,0,0,0,0,0
"ENSSSCG00000000029",74.637377,52.904749,102.838179,85.822742,10.870472,45.985449,68.709173,61.926827,84.02142,84.778602,8.42676,66.571231,3.18075,11.287348,5.202911,4.408233,16.919326,19.224774,6.758168,7.599169,17.968385,18.253055,2.421614,17.531188,4.188386,16.624211,3.347583,4.869118,0.718262,2.080793,1.632216,7.492003,4.293775,3.823027,1.977515,4.709184,5.905559,4.642147,14.19667,11.6148,18.007363,1.722059,109.832828,5.112785,3.045118,14.261226,5.376783,11.475056
"ENSSSCG00000000031",3.698768,3.497117,9.219691,5.375641,4.708871,4.395652,3.601464,4.584394,4.464862,3.270429,5.881464,5.360196,4.635399,4.662885,1.93692,5.419003,2.690813,3.157068,6.366914,3.882812,8.135473,24.57257,10.280302,2.288674,4.650078,3.445662,2.813575,9.214173,2.916599,3.856908,5.883474,4.072584,3.442712,1.966478,3.797778,4.212924,3.413152,6.072883,19.267616,3.318735,4.240608,3.643217,5.914475,2.638023,4.791403,3.713515,2.702528,9.39126
"ENSSSCG00000000033",474.387393,418.7746,449.048384,381.989396,562.371607,455.464202,416.262289,393.852533,430.642697,464.36079,512.729458,498.103266,309.406069,333.350336,327.642013,526.36964,420.101131,417.633714,375.100238,370.236449,435.859563,378.918577,373.455803,383.484215,300.242759,432.748903,278.074399,540.11182,507.60385,371.74238,484.911103,418.324504,349.529808,460.578171,353.607255,477.264215,486.635998,421.629702,471.899146,562.741454,328.130227,517.565319,483.144794,418.865297,393.125545,521.552864,466.749132,409.018071
"ENSSSCG00000000034",62.516704,57.557231,72.816796,46.060128,45.201721,61.108756,61.680649,56.440064,47.42967,55.015118,46.172074,57.082827,51.387336,52.86548,52.382374,50.509384,43.674643,59.21483,73.808256,48.472809,58.596595,65.074452,55.049734,46.667419,67.29706,61.96117,72.099244,94.109696,61.887166,67.562412,50.724594,72.340461,59.409829,53.294705,54.996097,64.859529,62.314927,55.777283,67.745693,56.401795,62.010513,55.980606,71.835962,67.837139,55.610104,58.869019,49.862447,39.828685
"ENSSSCG00000000035",20.869591,16.760515,20.239655,16.885799,13.855182,20.483019,19.042874,17.419453,18.016926,20.08644,22.17489,15.321604,19.494143,17.799656,20.953066,18.76666,16.027021,21.337128,20.407655,15.703483,19.290094,22.455227,15.735441,21.244013,20.628122,19.999717,22.581291,30.187356,18.203349,21.842559,14.566406,22.545831,20.240898,22.165461,16.886272,27.065164,20.370473,19.825746,20.384266,26.839047,18.941682,18.228794,22.078324,22.987035,21.128452,21.709353,21.267002,20.740066
"ENSSSCG00000000036",63.923277,52.291163,66.836254,53.237109,47.88895,56.114214,58.191671,50.255241,58.203013,54.307818,45.613116,54.93165,61.712295,68.176629,59.198895,58.837563,57.948268,63.125427,64.516251,70.157739,64.510303,75.452859,30.262187,49.77733,54.102079,79.293667,55.405336,75.349678,43.293858,65.065624,36.890253,72.515228,67.886861,54.3393,59.542308,39.894968,70.750046,60.582622,60.388379,65.113804,55.601233,74.135298,60.715934,53.030198,51.188435,70.086932,50.454885,65.836823
"ENSSSCG00000000037",80.469003,86.795436,81.777146,67.586232,85.685299,87.822384,75.019585,95.496774,76.813773,85.237815,94.301877,82.598075,80.047885,82.402578,78.635858,92.161643,92.552415,96.540638,82.914575,81.840241,88.328331,77.628635,69.630507,69.83419,88.673572,92.523716,90.06259,100.057893,90.601609,86.498315,71.01608,76.499459,91.375606,78.824131,83.069535,88.732149,93.746308,90.364661,95.296455,91.874152,76.64555,77.836044,89.650551,100.62203,85.919914,84.978723,91.433601,85.677088
"ENSSSCG00000000038",402.712077,288.270427,341.406587,333.726602,392.398851,267.387321,289.293804,284.15824,246.76357,229.980031,263.019206,221.354222,243.011086,292.174095,272.646168,292.604614,337.989633,324.135154,526.237057,263.41495,446.413095,267.863724,270.178883,251.979211,417.454383,376.170083,353.84612,461.35726,415.597898,376.913211,410.796008,343.303483,251.530081,354.994302,352.88411,424.739512,410.138206,491.161562,394.628469,241.51284,240.795968,415.332608,360.352521,424.745378,327.315408,324.909733,307.554444,371.697558
"ENSSSCG00000000039",77.718154,65.166956,76.015206,66.756716,59.05684,80.477809,66.648551,78.96006,66.261714,73.124841,56.531745,70.955208,69.870357,66.907349,68.909471,67.711901,66.714187,67.795798,77.551165,70.800631,74.62838,82.526307,48.991991,70.167645,78.215781,85.984085,79.798486,92.368895,64.155935,68.845134,62.798837,67.259984,74.60317,62.3982,79.609977,63.797373,81.142578,76.341196,84.482513,63.252335,80.707118,57.271393,80.375534,73.550713,70.330326,70.725961,71.490746,70.708253
"ENSSSCG00000000040",0.915448,0.298163,0.292243,0.196327,0,0.526211,0.423338,0.654579,0.679048,0.491362,0.188456,1.310254,0.483646,1.463125,1.315215,0.40223,0.100278,0.183025,0.178593,0.327789,0.746425,1.05919,0.091937,1.256712,0.828187,0.462541,2.392819,0.322565,0.346248,0.831527,0.186744,0.721364,0.166537,0.180697,0.099457,0.33803,0.555942,0.644634,0.429787,0.208719,1.009742,0,0.597615,0.510628,0.407776,0.348708,0.08302,0.285353
"ENSSSCG00000000045",25.654419,18.055141,23.867748,19.810841,27.236489,29.665575,23.948697,20.017261,22.175231,16.136974,24.306038,21.10485,20.408559,19.742501,20.15232,26.536645,19.057395,23.999242,26.203588,20.371208,32.106288,16.961495,28.66723,21.480347,19.634648,20.259744,21.730033,25.122239,19.906015,23.590951,36.027467,19.416059,17.524742,24.886699,18.695118,19.643917,22.339609,23.564914,13.252286,29.362174,28.749187,17.654023,21.194193,26.844769,23.615223,21.738141,22.130891,27.558756
"ENSSSCG00000000046",1.884475,0.576716,3.039527,1.085532,1.31244,1.245111,1.756048,1.599204,2.557892,1.325409,1.663591,2.699898,1.987877,2.21776,0.06593,1.086339,1.408714,0.497694,1.479504,0.878729,1.286568,2.46111,0.606712,1.713982,1.274194,0.837757,1.392944,2.051434,0.408419,1.292504,0.884654,1.223154,1.065761,1.417849,2.001976,0.395448,2.449706,1.669412,1.105862,1.27445,1.056372,0.399515,2.695088,0.691691,0.803517,1.799489,1.257938,2.96328
"ENSSSCG00000000050",83.964771,75.030479,85.664815,55.039096,57.888449,71.470144,81.880764,72.54168,93.193332,102.776039,63.048469,87.424478,59.559889,60.009627,52.501892,72.77384,53.481902,62.155239,51.296749,62.513076,50.614858,91.632051,34.818273,63.879929,51.962086,72.493637,58.401914,55.886341,36.478072,50.286468,59.019475,56.750149,70.718945,56.628894,63.0964,49.464388,67.848628,55.529878,70.619664,74.129596,56.356487,62.435733,72.897683,55.130632,59.834251,80.211738,73.411023,62.163187
"ENSSSCG00000000058",129.777768,133.933348,123.313063,109.960334,140.301231,132.535294,126.903152,127.140954,111.896493,114.583771,140.267108,125.503304,112.704721,119.138536,136.02455,138.200184,134.249791,120.189834,143.198361,105.400158,142.936266,130.553968,162.953968,103.197002,122.108084,126.438273,116.47252,140.301243,134.249466,132.605568,145.256106,118.790335,128.310307,170.595916,119.181462,148.369333,125.793286,144.714474,119.611887,124.817698,141.575268,127.824704,130.496484,140.210772,159.226961,117.783491,129.074478,134.035707
"ENSSSCG00000000059",26.957806,23.032151,31.101391,23.408174,21.463233,25.13893,27.418563,26.755314,26.21683,26.60342,22.808281,26.067903,20.774461,21.263926,17.34053,27.189723,21.780021,23.242775,18.967281,20.51206,23.254106,23.279301,20.595831,19.103553,23.004532,23.759478,20.643908,25.403925,22.394993,23.28357,15.574244,20.100664,23.229565,23.232107,23.643008,21.765048,24.618873,27.257696,22.109532,24.632426,21.13538,19.764225,23.312792,21.745569,25.420078,26.894678,28.445907,19.593765
"ENSSSCG00000000061",16.279464,14.067701,15.267255,15.602843,14.68071,13.850181,13.756156,13.184853,10.545138,13.502533,10.630256,11.082757,16.19814,13.925926,10.709449,12.416867,13.546318,14.487018,12.191663,13.928968,14.184824,18.838269,8.725847,8.181205,12.700193,17.158404,19.078292,14.903316,8.174671,13.737799,13.722564,11.30237,13.599367,11.254548,13.620077,16.955147,14.124485,12.832971,12.735854,12.253689,15.329208,14.598605,15.996663,11.870711,13.801544,12.781647,16.562813,12.600058
"ENSSSCG00000000062",9.825705,5.387765,4.5183,7.338728,4.442758,3.480775,4.435919,4.774049,3.629665,3.469425,2.905178,1.803324,3.59359,4.892329,5.874905,2.340005,6.028288,5.524123,6.606206,5.11821,8.507869,3.949826,7.92108,5.076182,8.097556,6.82918,6.899156,6.207183,4.645339,3.481408,8.094354,4.591753,4.911623,3.514134,6.35059,8.639082,4.237478,4.04525,4.291457,3.938258,4.513258,3.382394,6.536787,4.348505,7.41562,3.872307,5.096663,4.073853
"ENSSSCG00000000063",8.941537,8.82323,7.520261,5.720139,4.554588,7.168569,5.20825,4.648943,6.046825,5.624796,3.951715,7.195732,5.656932,4.7303,5.326301,4.210735,5.343291,4.682445,7.320708,5.457698,7.848298,6.862128,4.387662,4.991407,8.945747,6.962368,7.866855,9.858048,4.822442,5.400991,4.26465,5.179711,6.747221,4.683195,4.795703,6.955757,6.734994,6.033982,4.391599,4.919431,7.82552,6.380272,5.897493,5.795339,4.67677,5.952345,4.578698,7.608316
"ENSSSCG00000000064",61.61365,59.566561,61.882783,53.807418,54.431443,60.470525,59.586782,43.968356,53.544998,54.608941,55.814595,49.377834,52.573464,56.64598,48.115635,52.777861,50.387335,55.68043,62.593133,50.198763,63.532758,65.425914,43.053229,55.350302,57.962326,62.304777,61.175727,69.754294,38.383627,59.51602,51.223079,55.101096,57.167909,45.041791,61.513593,41.24947,65.624848,56.598958,60.118587,58.54147,57.464915,55.489627,67.921031,53.849472,55.733108,65.057017,59.48358,57.970857
"ENSSSCG00000000066",12.388098,10.023264,11.469973,9.12961,7.528661,10.12993,9.240205,10.694073,7.415296,8.986334,6.652617,10.356043,8.06011,9.776518,7.65154,9.376945,7.975683,9.400201,8.502447,7.641769,11.061524,10.472037,6.397339,9.555782,7.724443,9.265367,9.502537,11.729895,5.570908,9.481266,6.658723,10.052727,9.632899,8.059475,9.925614,8.067194,8.10335,7.167754,9.477202,9.894283,9.181891,5.733319,12.961212,7.979689,8.487203,9.396389,8.79059,9.471418
"ENSSSCG00000000067",1.454272,0.59857,0.877692,0.281451,0.155589,0.791053,1.090327,1.322191,0.637511,2.548372,0.455343,1.710395,1.219727,0.324608,0,0.785425,0.810488,0.090932,0.104982,0.544399,0.90739,1.463695,1.132917,0.973217,0.36736,0.2846,0.141973,0.072999,0.808857,1.005714,0.784499,1.151511,0.477398,0.118375,0.201503,0.150442,0.926308,0.271131,0.196324,0.373071,0.397521,0.503794,0.571985,0.971001,0.652986,2.011011,0.706194,0.624039
"ENSSSCG00000000068",70.207302,57.708754,64.304983,53.840213,49.242661,57.54447,59.723576,56.877567,54.49788,64.257303,41.076954,61.346819,55.8693,59.973202,57.978289,50.210094,53.919913,49.001974,68.676138,55.510565,61.752778,80.413788,47.3275,53.287611,64.923412,60.728188,55.389145,65.696719,43.900457,56.67484,55.592022,58.988557,65.476997,48.274786,58.861883,52.481516,56.762665,61.656848,63.459076,48.640694,62.529492,51.821699,59.005292,58.79258,53.085137,57.272324,57.259332,49.408734
"ENSSSCG00000000071",224.638049,245.08157,256.717389,228.226751,252.466294,263.892793,268.953062,251.622105,262.697082,228.280098,204.851,283.262681,183.168964,241.911335,233.474414,229.976603,212.268954,222.874351,240.854489,221.136854,245.155894,232.827565,224.146577,232.873711,212.930809,247.39975,213.013578,270.335046,297.329245,272.576254,222.82566,205.582499,242.816234,326.278381,230.826077,232.099843,250.006301,238.634807,236.281197,214.589997,279.109375,250.183691,287.067279,204.921585,251.720724,275.089427,225.761761,232.811947
"ENSSSCG00000000072",51.551849,54.60163,42.674395,30.302035,47.395747,64.245623,45.680922,46.257317,50.495969,50.458219,49.960971,52.48966,45.486313,41.15166,46.538113,53.433635,45.354552,47.370614,36.835152,41.362925,35.022971,49.078247,35.986795,41.881387,40.353712,47.459618,36.45672,48.843077,38.542413,36.273278,45.26262,34.307713,61.758404,43.657191,51.048633,39.670962,46.328355,48.683607,53.323088,54.130431,45.915208,48.282294,40.595814,43.001174,41.184932,59.47473,53.100679,44.557683
"ENSSSCG00000000074",1.768357,1.321062,0.840362,0,0.098347,0.156624,0.437548,0,1.003545,0.287391,3.305385,0,1.637747,0.492919,0.558124,0.717936,1.032365,0.754706,0.265069,0.417357,1.042805,1.252165,0,1.680755,1.387511,1.226388,2.176405,1.472252,0.304733,1.59318,0.365402,1.49674,0.757686,0.789729,0.283178,0.84754,2.040758,2.359427,2.137864,1.184496,0.888524,0.849437,0.597039,2.140507,0.925776,2.627414,0.963755,0.50331
"ENSSSCG00000000075",39.258411,28.704407,34.9844,25.664508,19.912974,25.149054,26.670209,27.486002,24.095266,30.043948,15.853887,25.010242,26.052684,27.421666,18.706347,19.731897,20.091529,21.510008,37.33457,19.456892,25.386342,34.176205,16.427539,22.750932,26.520879,26.437994,34.886213,28.114423,12.393026,27.260129,15.262739,31.593597,26.044432,18.134601,29.059792,21.780326,31.845078,28.911977,24.744159,19.956066,36.088496,22.157589,32.138816,25.027597,23.947888,26.388237,24.10445,20.446842
"ENSSSCG00000000076",8.82558,8.345039,10.029805,8.736404,6.427624,8.738822,8.656526,8.869886,7.248957,7.487476,8.80036,8.248642,11.455827,10.911844,6.314574,9.28669,10.202109,8.410743,12.60547,8.962351,9.527115,13.012106,5.108334,8.223173,12.193218,10.466415,12.774149,11.754175,7.713349,12.294752,8.079627,8.689284,11.12467,6.012096,12.388839,12.224394,8.069089,10.03735,7.923953,8.660458,11.060838,8.729423,11.458875,10.462738,8.204198,9.812243,10.419005,8.96565
"ENSSSCG00000000077",29.352654,23.061866,25.72684,21.363166,20.211521,24.796714,26.169121,20.003471,23.114061,21.447822,21.855875,24.523818,20.654445,20.159009,19.406799,18.917084,19.163235,14.150165,25.002361,16.593562,13.182423,24.454949,18.329184,10.727197,22.216771,19.603128,24.47866,26.124166,17.002912,22.612693,24.246979,18.555426,25.755602,21.000038,19.564315,26.241009,20.58044,20.870794,18.124344,21.662679,27.029427,20.378191,25.401155,19.250724,24.822388,16.31712,22.577502,17.562057
"ENSSSCG00000000078",60.19621,46.364359,52.318662,38.314604,34.13826,42.355815,49.989117,46.787247,43.916164,49.886387,29.073353,46.426566,39.465374,50.14461,34.136467,34.209243,40.164634,30.745401,55.97672,41.463788,39.746893,64.857712,35.472274,36.57922,55.47882,40.707798,52.060753,47.270913,28.089418,47.116573,40.53351,40.183435,49.433013,29.376185,47.521141,49.493718,38.505024,46.591695,44.053574,35.272431,51.699929,34.439704,49.131664,45.933274,40.834989,38.593504,41.366116,38.236228
"ENSSSCG00000000079",0.802306,0.527663,0.723952,0.666445,0.231678,0.63074,0.385495,0.437474,0.485029,0.431488,0.443464,0.691949,0.366664,0.541245,0.338844,0.209018,0.524691,0.288914,0.225346,0.256037,0.297132,0.627436,0.140238,0.306927,0.487677,0.353771,0.507972,0.219187,0.142464,0.376748,0.721416,0.65097,0.525127,0.475756,0.598078,0.235666,0.449465,0.370452,0.447294,0.249887,0.900187,0.392047,0.486322,0.38761,0.364457,0.263053,0.3588,0.32399
"ENSSSCG00000000080",0.5278,0.099718,0.371222,0.50007,0.265441,0.107556,0.218631,0.181822,0.552875,0.064647,0,0,0.597607,0.503257,0.189244,0.192667,0.794642,0.217575,0.265311,0.413806,0,0,0,0,0.358338,0.49251,0,0.055554,0.153217,0,0,0.428448,0.25918,0,0,0.125504,0.133315,0.634286,0.146073,0.372447,0.296116,0.628362,0.158071,0.125684,0.056011,0.2352,0.600263,0.065523
"ENSSSCG00000000081",0,0,0,0.25497,0,0.137123,0,0,0,0,0,0.092248,0,0,0.119648,0,0,0,0,0.257357,0,0,0,0,0.096031,0,0,0,0,0,0,0,0,0,0,0,0,0.098873,0,0,0.091402,0,0,0,0.067914,0,0,0
"ENSSSCG00000000082",0.361685,0.116975,0,0.045176,0,0.874562,0.062188,0.091516,0.021868,0.086186,0,0.24762,0,0.075073,0.021333,0,0,0,0.241728,0,0.159372,0.04551,0,0,0.043297,0,0.049988,0,0.053975,0,0.016695,0.079673,0,0,0.043065,0,0.0752,0.109563,0.03285,0,0.022683,0.040718,0.360935,0,0,0.04484,0.04446,0.030066
"ENSSSCG00000000087",16.987644,15.634302,23.981363,18.51195,12.476418,15.307237,21.169056,13.265137,15.308817,17.991151,11.83468,18.970508,15.121545,18.142278,15.001678,14.788714,19.014969,12.919607,22.253383,16.002168,21.18147,23.306511,12.204802,13.330094,21.332425,18.822416,18.653156,22.239412,9.478106,20.375938,13.915679,18.238594,21.638003,13.125944,15.581513,17.837788,17.319398,21.997951,18.568497,16.445341,22.666423,14.170137,20.126814,18.080245,16.610463,14.792096,15.731584,20.428401
"ENSSSCG00000000091",10.181726,4.827558,8.967958,7.632624,6.807299,4.567569,9.905416,8.502609,6.443897,10.299379,5.936755,7.174426,5.40053,4.560474,4.09522,4.684908,5.177453,3.617953,4.686337,4.344721,5.222909,7.317444,0,6.890868,3.487635,4.701194,0.609773,7.133703,2.843638,2.991543,4.530676,4.979377,5.866185,3.458399,2.797405,1.910736,2.176749,3.168208,7.867009,6.629627,6.122188,3.888808,7.271532,2.547614,4.166989,7.630234,5.648844,6.478851
