"input_number","input","input_ensg","ensg_number","ortholog_name","ortholog_ensg","description"
17,"Galnt10","ENSMUSG00000020520","17.1.1","GALNT10","ENSG00000164574","polypeptide N-acetylgalactosaminyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19873]"
18,"Pkp2","ENSMUSG00000041957","18.1.1","PKP2","ENSG00000057294","plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]"
19,"Gli2","ENSMUSG00000048402","19.1.1","GLI2","ENSG00000074047","GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]"
20,"Inpp5j","ENSMUSG00000034570","20.1.1","INPP5J","ENSG00000185133","inositol polyphosphate-5-phosphatase J [Source:HGNC Symbol;Acc:HGNC:8956]"
21,"Arxes1","ENSMUSG00000048040","21.1.1","SPCS3","ENSG00000129128","signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]"
21,"Arxes1","ENSMUSG00000048355","21.2.1","SPCS3","ENSG00000129128","signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]"
22,"Sncg","ENSMUSG00000023064","22.1.1","SNCG","ENSG00000173267","synuclein gamma [Source:HGNC Symbol;Acc:HGNC:11141]"
23,"Col23a1","ENSMUSG00000063564","23.1.1","COL23A1","ENSG00000050767","collagen type XXIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22990]"
24,"Jph1","ENSMUSG00000042686","24.1.1","JPH1","ENSG00000104369","junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]"
25,"Adamts14","ENSMUSG00000059901","25.1.1","ADAMTS14","ENSG00000138316","ADAM metallopeptidase with thrombospondin type 1 motif 14 [Source:HGNC Symbol;Acc:HGNC:14899]"
26,"Ube2ql1","ENSMUSG00000052981","26.1.1","UBE2QL1","ENSG00000215218","ubiquitin conjugating enzyme E2 QL1 [Source:HGNC Symbol;Acc:HGNC:37269]"
27,"Ltbp2","ENSMUSG00000002020","27.1.1","LTBP2","ENSG00000119681","latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]"
28,"Klf15","ENSMUSG00000030087","28.1.1","KLF15","ENSG00000163884","KLF transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:14536]"
29,"Spdl1","ENSMUSG00000069910","29.1.1","SPDL1","ENSG00000040275","spindle apparatus coiled-coil protein 1 [Source:HGNC Symbol;Acc:HGNC:26010]"
30,"Marcksl1","ENSMUSG00000047945","30.1.1","MARCKSL1","ENSG00000175130","MARCKS like 1 [Source:HGNC Symbol;Acc:HGNC:7142]"
31,"Col26a1","ENSMUSG00000004415","31.1.1","COL26A1","ENSG00000160963","collagen type XXVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:18038]"
32,"Gm17455","ENSMUSG00000090439","32.1.1","C10orf105","ENSG00000214688","chromosome 10 open reading frame 105 [Source:HGNC Symbol;Acc:HGNC:20304]"
33,"Spata22","ENSMUSG00000112920","33.1.1","SPATA22","ENSG00000141255","spermatogenesis associated 22 [Source:HGNC Symbol;Acc:HGNC:30705]"
34,"Echdc1","ENSMUSG00000019883","34.1.1","ECHDC1","ENSG00000093144","ethylmalonyl-CoA decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:21489]"
35,"Nap1l5","ENSMUSG00000055430","35.1.1","NAP1L5","ENSG00000177432","nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968]"
36,"Ndufa4","ENSMUSG00000029632","36.1.1","NDUFA4","ENSG00000189043","NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]"
37,"Tmem151a","ENSMUSG00000061451","37.1.1","TMEM151A","ENSG00000179292","transmembrane protein 151A [Source:HGNC Symbol;Acc:HGNC:28497]"
38,"Dchs1","ENSMUSG00000036862","38.1.1","DCHS1","ENSG00000166341","dachsous cadherin-related 1 [Source:HGNC Symbol;Acc:HGNC:13681]"
39,"Mex3b","ENSMUSG00000057706","39.1.1","MEX3B","ENSG00000183496","mex-3 RNA binding family member B [Source:HGNC Symbol;Acc:HGNC:25297]"
40,"Plod2","ENSMUSG00000032374","40.1.1","PLOD2","ENSG00000152952","procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]"
41,"Wdr93","ENSMUSG00000039099","41.1.1","WDR93","ENSG00000140527","WD repeat domain 93 [Source:HGNC Symbol;Acc:HGNC:26924]"
42,"Fndc1","ENSMUSG00000071984","42.1.1","FNDC1","ENSG00000164694","fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21184]"
43,"Islr","ENSMUSG00000037206","43.1.1","ISLR","ENSG00000129009","immunoglobulin superfamily containing leucine rich repeat [Source:HGNC Symbol;Acc:HGNC:6133]"
44,"Gm266","ENSMUSG00000010529","44.1.1","N/A","N/A","N/A"
45,"Hook1","ENSMUSG00000028572","45.1.1","HOOK1","ENSG00000134709","hook microtubule tethering protein 1 [Source:HGNC Symbol;Acc:HGNC:19884]"
46,"Camkk1","ENSMUSG00000020785","46.1.1","CAMKK1","ENSG00000004660","calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]"
47,"Sh3bgr","ENSMUSG00000040666","47.1.1","SH3BGR","ENSG00000185437","SH3 domain binding glutamate rich protein [Source:HGNC Symbol;Acc:HGNC:10822]"
48,"Plin5","ENSMUSG00000011305","48.1.1","PLIN5","ENSG00000214456","perilipin 5 [Source:HGNC Symbol;Acc:HGNC:33196]"
49,"Apoo","ENSMUSG00000079508","49.1.1","APOO","ENSG00000184831","apolipoprotein O [Source:HGNC Symbol;Acc:HGNC:28727]"
50,"Masp1","ENSMUSG00000022887","50.1.1","MASP1","ENSG00000127241","MBL associated serine protease 1 [Source:HGNC Symbol;Acc:HGNC:6901]"
51,"Cnga3","ENSMUSG00000026114","51.1.1","CNGA3","ENSG00000144191","cyclic nucleotide gated channel subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:2150]"
52,"Cfap45","ENSMUSG00000026546","52.1.1","CFAP45","ENSG00000213085","cilia and flagella associated protein 45 [Source:HGNC Symbol;Acc:HGNC:17229]"
53,"Tead2","ENSMUSG00000030796","53.1.1","TEAD2","ENSG00000074219","TEA domain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11715]"
54,"Col6a6","ENSMUSG00000043719","54.1.1","COL6A6","ENSG00000206384","collagen type VI alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:27023]"
55,"Tmem196","ENSMUSG00000048004","55.1.1","N/A","N/A","N/A"
56,"Ccnb2","ENSMUSG00000032218","56.1.1","CCNB2","ENSG00000157456","cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]"
57,"Efcab6","ENSMUSG00000022441","57.1.1","EFCAB6","ENSG00000186976","EF-hand calcium binding domain 6 [Source:HGNC Symbol;Acc:HGNC:24204]"
58,"Gpr85","ENSMUSG00000048216","58.1.1","GPR85","ENSG00000164604","G protein-coupled receptor 85 [Source:HGNC Symbol;Acc:HGNC:4536]"
59,"Matn2","ENSMUSG00000022324","59.1.1","MATN2","ENSG00000132561","matrilin 2 [Source:HGNC Symbol;Acc:HGNC:6908]"
60,"Chd3","ENSMUSG00000018474","60.1.1","CHD3","ENSG00000170004","chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]"
61,"Glrb","ENSMUSG00000028020","61.1.1","GLRB","ENSG00000109738","glycine receptor beta [Source:HGNC Symbol;Acc:HGNC:4329]"
62,"Lmna","ENSMUSG00000028063","62.1.1","LMNA","ENSG00000160789","lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]"
63,"Cdon","ENSMUSG00000038119","63.1.1","CDON","ENSG00000064309","cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]"
64,"Kcnk13","ENSMUSG00000045404","64.1.1","KCNK13","ENSG00000152315","potassium two pore domain channel subfamily K member 13 [Source:HGNC Symbol;Acc:HGNC:6275]"
65,"Ffar4","ENSMUSG00000054200","65.1.1","FFAR4","ENSG00000186188","free fatty acid receptor 4 [Source:HGNC Symbol;Acc:HGNC:19061]"
66,"Cidec","ENSMUSG00000030278","66.1.1","CIDEC","ENSG00000187288","cell death inducing DFFA like effector c [Source:HGNC Symbol;Acc:HGNC:24229]"
67,"Ltbp3","ENSMUSG00000024940","67.1.1","LTBP3","ENSG00000168056","latent transforming growth factor beta binding protein 3 [Source:HGNC Symbol;Acc:HGNC:6716]"
68,"Inhba","ENSMUSG00000041324","68.1.1","INHBA","ENSG00000122641","inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]"
69,"Sh3rf3","ENSMUSG00000037990","69.1.1","SH3RF3","ENSG00000172985","SH3 domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:24699]"
70,"Chn2","ENSMUSG00000004633","70.1.1","CHN2","ENSG00000106069","chimerin 2 [Source:HGNC Symbol;Acc:HGNC:1944]"
71,"Kcnk6","ENSMUSG00000046410","71.1.1","KCNK6","ENSG00000099337","potassium two pore domain channel subfamily K member 6 [Source:HGNC Symbol;Acc:HGNC:6281]"
72,"Tgfb1i1","ENSMUSG00000030782","72.1.1","TGFB1I1","ENSG00000140682","transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]"
73,"Timp4","ENSMUSG00000030317","73.1.1","TIMP4","ENSG00000157150","TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]"
74,"Osr2","ENSMUSG00000022330","74.1.1","OSR2","ENSG00000164920","odd-skipped related transciption factor 2 [Source:HGNC Symbol;Acc:HGNC:15830]"
75,"Col5a3","ENSMUSG00000004098","75.1.1","COL5A3","ENSG00000080573","collagen type V alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:14864]"
76,"Clec12a","ENSMUSG00000053063","76.1.1","CLEC12A","ENSG00000172322","C-type lectin domain family 12 member A [Source:HGNC Symbol;Acc:HGNC:31713]"
77,"Tfpi2","ENSMUSG00000029664","77.1.1","TFPI2","ENSG00000105825","tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]"
78,"Cisd1","ENSMUSG00000037710","78.1.1","CISD1","ENSG00000122873","CDGSH iron sulfur domain 1 [Source:HGNC Symbol;Acc:HGNC:30880]"
79,"Scarf2","ENSMUSG00000012017","79.1.1","SCARF2","ENSG00000244486","scavenger receptor class F member 2 [Source:HGNC Symbol;Acc:HGNC:19869]"
80,"Spp1","ENSMUSG00000029304","80.1.1","SPP1","ENSG00000118785","secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]"
81,"C1qtnf3","ENSMUSG00000058914","81.1.1","C1QTNF3","ENSG00000082196","C1q and TNF related 3 [Source:HGNC Symbol;Acc:HGNC:14326]"
82,"Ampd1","ENSMUSG00000070385","82.1.1","AMPD1","ENSG00000116748","adenosine monophosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:468]"
83,"Tspan6","ENSMUSG00000067377","83.1.1","TSPAN6","ENSG00000000003","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
84,"Praf2","ENSMUSG00000031149","84.1.1","PRAF2","ENSG00000243279","PRA1 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:28911]"
85,"Car1","ENSMUSG00000027556","85.1.1","CA1","ENSG00000133742","carbonic anhydrase 1 [Source:HGNC Symbol;Acc:HGNC:1368]"
86,"Fam171a2","ENSMUSG00000034685","86.1.1","FAM171A2","ENSG00000161682","family with sequence similarity 171 member A2 [Source:HGNC Symbol;Acc:HGNC:30480]"
87,"Steap2","ENSMUSG00000015653","87.1.1","STEAP2","ENSG00000157214","STEAP2 metalloreductase [Source:HGNC Symbol;Acc:HGNC:17885]"
88,"Myom3","ENSMUSG00000037139","88.1.1","MYOM3","ENSG00000142661","myomesin 3 [Source:HGNC Symbol;Acc:HGNC:26679]"
89,"Hjv","ENSMUSG00000038403","89.1.1","HJV","ENSG00000168509","hemojuvelin BMP co-receptor [Source:HGNC Symbol;Acc:HGNC:4887]"
90,"Igsf10","ENSMUSG00000036334","90.1.1","IGSF10","ENSG00000152580","immunoglobulin superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:26384]"
91,"Mettl21e","ENSMUSG00000046828","91.1.1","METTL21EP","ENSG00000250878","methyltransferase like 21E, pseudogene [Source:HGNC Symbol;Acc:HGNC:41948]"
92,"Cmtm3","ENSMUSG00000031875","92.1.1","CMTM3","ENSG00000140931","CKLF like MARVEL transmembrane domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19174]"
93,"Cd209b","ENSMUSG00000065987","93.1.1","CD209","ENSG00000090659","CD209 molecule [Source:HGNC Symbol;Acc:HGNC:1641]"
94,"Mthfd1l","ENSMUSG00000040675","94.1.1","MTHFD1L","ENSG00000120254","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like [Source:HGNC Symbol;Acc:HGNC:21055]"
95,"Cenpf","ENSMUSG00000026605","95.1.1","CENPF","ENSG00000117724","centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]"
96,"Pon1","ENSMUSG00000002588","96.1.1","PON1","ENSG00000005421","paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]"
97,"Loxl3","ENSMUSG00000000693","97.1.1","LOXL3","ENSG00000115318","lysyl oxidase like 3 [Source:HGNC Symbol;Acc:HGNC:13869]"
98,"Nat8f3","ENSMUSG00000051262","98.1.1","NAT8","ENSG00000144035","N-acetyltransferase 8 (putative) [Source:HGNC Symbol;Acc:HGNC:18069]"
98,"Nat8f3","ENSMUSG00000051262","98.1.2","NAT8B","ENSG00000204872","N-acetyltransferase 8B (putative, gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:30235]"
98,"Nat8f3","ENSMUSG00000079495","98.2.1","NAT8","ENSG00000144035","N-acetyltransferase 8 (putative) [Source:HGNC Symbol;Acc:HGNC:18069]"
98,"Nat8f3","ENSMUSG00000079495","98.2.2","NAT8B","ENSG00000204872","N-acetyltransferase 8B (putative, gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:30235]"
99,"Tnr","ENSMUSG00000015829","99.1.1","TNR","ENSG00000116147","tenascin R [Source:HGNC Symbol;Acc:HGNC:11953]"
100,"Asb11","ENSMUSG00000031382","100.1.1","ASB11","ENSG00000165192","ankyrin repeat and SOCS box containing 11 [Source:HGNC Symbol;Acc:HGNC:17186]"
101,"Kif4","ENSMUSG00000034311","101.1.1","KIF4A","ENSG00000090889","kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]"
102,"Ptgr1","ENSMUSG00000028378","102.1.1","PTGR1","ENSG00000106853","prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]"
103,"Dpy19l1","ENSMUSG00000043067","103.1.1","DPY19L1","ENSG00000173852","dpy-19 like C-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22205]"
104,"Fkbp11","ENSMUSG00000003355","104.1.1","FKBP11","ENSG00000134285","FKBP prolyl isomerase 11 [Source:HGNC Symbol;Acc:HGNC:18624]"
105,"Thy1","ENSMUSG00000032011","105.1.1","THY1","ENSG00000154096","Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]"
106,"Lrrc2","ENSMUSG00000032495","106.1.1","LRRC2","ENSG00000163827","leucine rich repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:14676]"
107,"P3h4","ENSMUSG00000006931","107.1.1","P3H4","ENSG00000141696","prolyl 3-hydroxylase family member 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:16946]"
108,"Htra3","ENSMUSG00000029096","108.1.1","HTRA3","ENSG00000170801","HtrA serine peptidase 3 [Source:HGNC Symbol;Acc:HGNC:30406]"
109,"Tcfl5","ENSMUSG00000038932","109.1.1","TCFL5","ENSG00000101190","transcription factor like 5 [Source:HGNC Symbol;Acc:HGNC:11646]"
110,"Scpep1","ENSMUSG00000000278","110.1.1","SCPEP1","ENSG00000121064","serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:29507]"
111,"Cfap20dc","ENSMUSG00000021747","111.1.1","CFAP20DC","ENSG00000163689","CFAP20 domain containing [Source:HGNC Symbol;Acc:HGNC:24763]"
112,"Agpat4","ENSMUSG00000023827","112.1.1","AGPAT4","ENSG00000026652","1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]"
113,"Adam5","ENSMUSG00000031554","113.1.1","N/A","N/A","N/A"
114,"Syn1","ENSMUSG00000037217","114.1.1","SYN1","ENSG00000008056","synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]"
115,"AI593442","ENSMUSG00000078307","115.1.1","C11orf87","ENSG00000185742","chromosome 11 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33788]"
116,"Trim54","ENSMUSG00000062077","116.1.1","TRIM54","ENSG00000138100","tripartite motif containing 54 [Source:HGNC Symbol;Acc:HGNC:16008]"
117,"Pnpla3","ENSMUSG00000041653","117.1.1","PNPLA3","ENSG00000100344","patatin like phospholipase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18590]"
118,"Lum","ENSMUSG00000036446","118.1.1","LUM","ENSG00000139329","lumican [Source:HGNC Symbol;Acc:HGNC:6724]"
119,"Uqcr10","ENSMUSG00000059534","119.1.1","UQCR10","ENSG00000184076","ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:HGNC:30863]"
120,"Cd36","ENSMUSG00000002944","120.1.1","CD36","ENSG00000135218","CD36 molecule (CD36 blood group) [Source:HGNC Symbol;Acc:HGNC:1663]"
121,"Zfp469","ENSMUSG00000043903","121.1.1","ZNF469","ENSG00000225614","zinc finger protein 469 [Source:HGNC Symbol;Acc:HGNC:23216]"
122,"Bmp15","ENSMUSG00000023279","122.1.1","BMP15","ENSG00000130385","bone morphogenetic protein 15 [Source:HGNC Symbol;Acc:HGNC:1068]"
123,"Mtmr7","ENSMUSG00000039431","123.1.1","MTMR7","ENSG00000003987","myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]"
124,"Smpx","ENSMUSG00000041476","124.1.1","SMPX","ENSG00000091482","small muscle protein X-linked [Source:HGNC Symbol;Acc:HGNC:11122]"
125,"Acadm","ENSMUSG00000062908","125.1.1","ACADM","ENSG00000117054","acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]"
126,"Gstz1","ENSMUSG00000021033","126.1.1","GSTZ1","ENSG00000100577","glutathione S-transferase zeta 1 [Source:HGNC Symbol;Acc:HGNC:4643]"
127,"Tcap","ENSMUSG00000007877","127.1.1","TCAP","ENSG00000173991","titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]"
128,"Mylpf","ENSMUSG00000030672","128.1.1","MYL11","ENSG00000180209","myosin light chain 11 [Source:HGNC Symbol;Acc:HGNC:29824]"
129,"Aldh6a1","ENSMUSG00000021238","129.1.1","ALDH6A1","ENSG00000119711","aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]"
130,"Clcf1","ENSMUSG00000040663","130.1.1","CLCF1","ENSG00000175505","cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412]"
131,"Crispld2","ENSMUSG00000031825","131.1.1","CRISPLD2","ENSG00000103196","cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]"
132,"Cd33","ENSMUSG00000004609","132.1.1","N/A","N/A","N/A"
133,"Doc2b","ENSMUSG00000020848","133.1.1","DOC2B","ENSG00000272636","double C2 domain beta [Source:HGNC Symbol;Acc:HGNC:2986]"
134,"Tssk4","ENSMUSG00000007591","134.1.1","TSSK4","ENSG00000139908","testis specific serine kinase 4 [Source:HGNC Symbol;Acc:HGNC:19825]"
135,"Csrp2","ENSMUSG00000020186","135.1.1","CSRP2","ENSG00000175183","cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]"
136,"Ckap2","ENSMUSG00000037725","136.1.1","CKAP2","ENSG00000136108","cytoskeleton associated protein 2 [Source:HGNC Symbol;Acc:HGNC:1990]"
137,"Il17ra","ENSMUSG00000002897","137.1.1","IL17RA","ENSG00000177663","interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]"
138,"Svip","ENSMUSG00000074093","138.1.1","SVIP","ENSG00000198168","small VCP interacting protein [Source:HGNC Symbol;Acc:HGNC:25238]"
139,"Msr1","ENSMUSG00000025044","139.1.1","MSR1","ENSG00000038945","macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]"
140,"Olfml2b","ENSMUSG00000038463","140.1.1","OLFML2B","ENSG00000162745","olfactomedin like 2B [Source:HGNC Symbol;Acc:HGNC:24558]"
141,"Cyp1b1","ENSMUSG00000024087","141.1.1","CYP1B1","ENSG00000138061","cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]"
142,"Kif20a","ENSMUSG00000003779","142.1.1","KIF20A","ENSG00000112984","kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]"
143,"Lctl","ENSMUSG00000032401","143.1.1","LCTL","ENSG00000188501","lactase like [Source:HGNC Symbol;Acc:HGNC:15583]"
144,"Tmc6","ENSMUSG00000025572","144.1.1","TMC6","ENSG00000141524","transmembrane channel like 6 [Source:HGNC Symbol;Acc:HGNC:18021]"
145,"Adora3","ENSMUSG00000000562","145.1.1","ADORA3","ENSG00000282608","adenosine A3 receptor [Source:HGNC Symbol;Acc:HGNC:268]"
146,"Cdr2l","ENSMUSG00000050910","146.1.1","CDR2L","ENSG00000109089","cerebellar degeneration related protein 2 like [Source:HGNC Symbol;Acc:HGNC:29999]"
147,"Adgra2","ENSMUSG00000031486","147.1.1","ADGRA2","ENSG00000020181","adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]"
148,"Srgap1","ENSMUSG00000020121","148.1.1","SRGAP1","ENSG00000196935","SLIT-ROBO Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17382]"
149,"Sphkap","ENSMUSG00000026163","149.1.1","SPHKAP","ENSG00000153820","SPHK1 interactor, AKAP domain containing [Source:HGNC Symbol;Acc:HGNC:30619]"
150,"Tmem132e","ENSMUSG00000020701","150.1.1","TMEM132E","ENSG00000181291","transmembrane protein 132E [Source:HGNC Symbol;Acc:HGNC:26991]"
151,"Tsku","ENSMUSG00000049580","151.1.1","TSKU","ENSG00000182704","tsukushi, small leucine rich proteoglycan [Source:HGNC Symbol;Acc:HGNC:28850]"
152,"Esrrb","ENSMUSG00000021255","152.1.1","ESRRB","ENSG00000119715","estrogen related receptor beta [Source:HGNC Symbol;Acc:HGNC:3473]"
153,"Dnmt3l","ENSMUSG00000000730","153.1.1","DNMT3L","ENSG00000142182","DNA methyltransferase 3 like [Source:HGNC Symbol;Acc:HGNC:2980]"
154,"Lbh","ENSMUSG00000024063","154.1.1","LBH","ENSG00000213626","LBH regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:29532]"
155,"Esrrg","ENSMUSG00000026610","155.1.1","ESRRG","ENSG00000196482","estrogen related receptor gamma [Source:HGNC Symbol;Acc:HGNC:3474]"
156,"Hgf","ENSMUSG00000028864","156.1.1","HGF","ENSG00000019991","hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]"
157,"Rftn2","ENSMUSG00000025978","157.1.1","RFTN2","ENSG00000162944","raftlin family member 2 [Source:HGNC Symbol;Acc:HGNC:26402]"
158,"Nepn","ENSMUSG00000038624","158.1.1","N/A","N/A","N/A"
159,"Epyc","ENSMUSG00000019936","159.1.1","EPYC","ENSG00000083782","epiphycan [Source:HGNC Symbol;Acc:HGNC:3053]"
160,"Naglu","ENSMUSG00000001751","160.1.1","NAGLU","ENSG00000108784","N-acetyl-alpha-glucosaminidase [Source:HGNC Symbol;Acc:HGNC:7632]"
161,"Ttyh3","ENSMUSG00000036565","161.1.1","TTYH3","ENSG00000136295","tweety family member 3 [Source:HGNC Symbol;Acc:HGNC:22222]"
162,"Syngap1","ENSMUSG00000067629","162.1.1","SYNGAP1","ENSG00000197283","synaptic Ras GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:11497]"
163,"Dlx4","ENSMUSG00000020871","163.1.1","DLX4","ENSG00000108813","distal-less homeobox 4 [Source:HGNC Symbol;Acc:HGNC:2917]"
164,"Azin2","ENSMUSG00000028789","164.1.1","AZIN2","ENSG00000142920","antizyme inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:29957]"
165,"Nherf4","ENSMUSG00000032105","165.1.1","NHERF4","ENSG00000172367","NHERF family PDZ scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:19891]"
166,"Hhat","ENSMUSG00000037375","166.1.1","HHAT","ENSG00000054392","hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]"
