"column_name","n_core_samples","n_nonmissing","n_missing","missing_rate_pct","n_unique_nonmissing","is_batch_like_field","is_primary_design_field","is_identifier_or_file_field","unique_per_sample_or_file_level","confounded_with_core_group","usable_for_batch_model","decision_reason","example_values"
"samplelevel__Source Name",18,18,0,0,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"not_batch_like; unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","CON1 | CON2 | CON3 | CON4 | CON5 | CON6 | INJL1 | INJL2 | INJL3 | INJL4 | INJL5 | INJL6 | ..."
"samplelevel__Unit[time unit]",18,18,0,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level; identifier_or_file_run_field; primary_group_or_biological_design_field","month"
"sampling_site",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","perimeniscal medial femorotibial joint"
"sdrf__Characteristics[age]",18,18,0,0,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like","15.3 | 16 | 16.1 | 16.4 | 16.9 | 17.1 | 17.3 | 17.4 | 17.7 | 17.8 | 17.9 | 18 | ..."
"sdrf__Characteristics[breed]",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","Yucatan"
"sdrf__Characteristics[genotype]",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","wild type genotype"
"sdrf__Characteristics[injury]",18,12,6,33.33,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; incomplete_or_missing; constant_or_single_level; primary_group_or_biological_design_field","anterior cruciate ligament transection surgery"
"sdrf__Characteristics[organism part]",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","synovial membrane"
"sdrf__Characteristics[organism]",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","Sus scrofa"
"sdrf__Characteristics[sampling site]",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","perimeniscal medial femorotibial joint"
"sdrf__Characteristics[sex]",18,18,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like","female | male"
"sdrf__Characteristics[treatment]",18,0,18,100,0,FALSE,TRUE,FALSE,FALSE,NA,FALSE,"not_batch_like; incomplete_or_missing; constant_or_single_level; primary_group_or_biological_design_field",NA
"sdrf__Comment[BioSD_SAMPLE]",18,18,0,0,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"not_batch_like; unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","SAMEA1100143 | SAMEA1100144 | SAMEA1100145 | SAMEA1100146 | SAMEA1100147 | SAMEA1100148 | SAMEA1100149 | SAMEA1100150 | SAMEA1100151 | SAMEA1100152 | SAMEA1100153 | SAMEA1100154 | ..."
"sdrf__Comment[ENA_SAMPLE]",18,18,0,0,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"not_batch_like; unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","ERS2393421 | ERS2393422 | ERS2393423 | ERS2393424 | ERS2393425 | ERS2393426 | ERS2393427 | ERS2393428 | ERS2393429 | ERS2393430 | ERS2393431 | ERS2393432 | ..."
"sdrf__Comment[NOMINAL_LENGTH]",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","50"
"sdrf__Comment[NOMINAL_SDEV]",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","1"
"sdrf__Comment[READ_INDEX_1_BASE_COORD]",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","51"
"sdrf__Comment[SPOT_LENGTH]",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","100"
"sdrf__Extract Name",18,18,0,0,18,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"not_batch_like; unique_per_sample_or_file_level; confounded_with_core_group","CON1 | CON2 | CON3 | CON4 | CON5 | CON6 | INJL1 | INJL2 | INJL3 | INJL4 | INJL5 | INJL6 | ..."
"sdrf__Factor Value[injury]",18,12,6,33.33,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; incomplete_or_missing; constant_or_single_level; primary_group_or_biological_design_field","anterior cruciate ligament transection surgery"
"sdrf__Factor Value[time]",18,18,0,0,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"not_batch_like; primary_group_or_biological_design_field; confounded_with_core_group","0 | 28 | 7"
"sdrf__Factor Value[treatment]",18,0,18,100,0,FALSE,TRUE,FALSE,FALSE,NA,FALSE,"not_batch_like; incomplete_or_missing; constant_or_single_level; primary_group_or_biological_design_field",NA
"sdrf__Material Type",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","organism part"
"sdrf__Performer",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","Biopolymers Facility, Harvard Medical School, Boston MA"
"sdrf__Scan Name",18,18,0,0,18,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"not_batch_like; unique_per_sample_or_file_level; confounded_with_core_group","CON1_R1.fastq.gz | CON2_R1.fastq.gz | CON3_R1.fastq.gz | CON4_R1.fastq.gz | CON5_R1.fastq.gz | CON6_R1.fastq.gz | INJL1_R1.fastq.gz | INJL2_R1.fastq.gz | INJL3_R1.fastq.gz | INJL4_R1.fastq.gz | INJL5_R1.fastq.gz | INJL6_R1.fastq.gz | ..."
"sdrf__Source Name",18,18,0,0,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"not_batch_like; unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","CON1 | CON2 | CON3 | CON4 | CON5 | CON6 | INJL1 | INJL2 | INJL3 | INJL4 | INJL5 | INJL6 | ..."
"sdrf__Technology Type",18,18,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level","sequencing assay"
"sdrf__Unit[time unit]",18,18,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level; primary_group_or_biological_design_field","month"
"sdrf__Unit[time unit].1",18,18,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level; primary_group_or_biological_design_field","day"
"sex",18,18,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_batch_like","female | male"
"source_name",18,18,0,0,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"not_batch_like; unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","CON1 | CON2 | CON3 | CON4 | CON5 | CON6 | INJL1 | INJL2 | INJL3 | INJL4 | INJL5 | INJL6 | ..."
"study_group_raw",18,18,0,0,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"not_batch_like; primary_group_or_biological_design_field; confounded_with_core_group","ACLT__untreated__t28 | ACLT__untreated__t7 | control__control__t0"
"time_raw",18,18,0,0,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"not_batch_like; primary_group_or_biological_design_field; confounded_with_core_group","0 | 28 | 7"
"time_unit_raw",18,18,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; constant_or_single_level; primary_group_or_biological_design_field","month"
"treatment_label",18,18,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"not_batch_like; primary_group_or_biological_design_field","control | untreated"
"treatment_raw",18,0,18,100,0,FALSE,TRUE,FALSE,FALSE,NA,FALSE,"not_batch_like; incomplete_or_missing; constant_or_single_level; primary_group_or_biological_design_field",NA
