"gene_id","GSM7140486_CON1_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140491_CON2_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140495_CON3_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140500_CON4_synovium","GSM7140501_ACLT12_synovium","GSM7140502_CON5_synovium","GSM7140503_RECON1_synovium","GSM7140504_RECON2_synovium","GSM7140505_RECON3_synovium","GSM7140506_RECON4_synovium","GSM7140507_CON6_synovium","GSM7140508_RECON5_synovium","GSM7140509_RECON6_synovium","GSM7140510_RECON7_synovium","GSM7140511_CON7_synovium","GSM7140512_RECON8_synovium","GSM7140513_RECON9_synovium","GSM7140514_RECON10_synovium","GSM7140515_RECON11_synovium","GSM7140516_CON8_synovium","GSM7140517_RECON12_synovium","GSM7140518_CON9_synovium","GSM7140519_REPAIR1_synovium","GSM7140520_REPAIR2_synovium","GSM7140521_REPAIR3_synovium","GSM7140522_REPAIR4_synovium","GSM7140523_CON10_synovium","GSM7140524_REPAIR5_synovium","GSM7140525_REPAIR6_synovium","GSM7140526_REPAIR7_synovium","GSM7140527_CON11_synovium","GSM7140528_REPAIR8_synovium","GSM7140529_REPAIR9_synovium","GSM7140530_REPAIR10_synovium","GSM7140531_REPAIR11_synovium","GSM7140532_CON12_synovium","GSM7140533_REPAIR12_synovium"
"ENSSSCG00000000021",0.199243,0,0,0,0,0,0.250336,0.087148,0,0,0.09988,0,0.30474,0,0,0,0,0,0,0,0.234941,0.076718,0,0,0,0.212944,0.096227,0,0,0,0,0,0.39269,0,0,0,0.07789,0.16038,0.319877,0.330181,0,0,0,0,0.151115,0.189084,0.246093,0
"ENSSSCG00000000022",26.871345,22.279062,23.416611,19.842021,17.975424,20.155443,16.225852,18.771335,27.056126,24.16386,22.30386,23.579463,31.076679,11.641055,22.497501,21.269616,16.137841,26.215153,25.774193,26.125018,26.713744,21.248031,12.657142,20.908535,14.242258,24.818322,23.693842,23.918061,14.768277,21.548959,21.07872,21.631834,20.670391,25.99431,20.94888,24.895994,18.223936,22.081685,27.872161,18.257388,25.513973,13.340771,21.934113,18.721733,22.59286,18.934992,21.853133,20.669292
"ENSSSCG00000000024",12.567142,6.92712,8.303565,8.518467,16.163307,13.718567,8.684813,16.121688,6.254708,10.042227,11.373484,10.380215,16.636672,4.139981,11.40942,10.748103,14.486827,6.394706,13.185886,6.461661,10.339292,15.329472,7.164595,9.241693,8.174619,12.400962,9.827534,13.856998,18.148168,8.587244,13.994272,5.236512,12.469729,10.848436,8.355475,10.46466,16.036536,19.167121,6.691533,7.512951,15.955084,9.649903,5.659358,9.328921,16.480554,12.000081,12.69805,18.144977
"ENSSSCG00000000025",11.606369,8.276481,5.505643,4.759643,10.524573,13.969574,10.642705,11.787114,4.079524,15.773057,9.830812,6.173427,12.288766,1.835298,14.062518,13.327949,12.953927,3.757848,13.369633,3.201733,5.450445,10.239919,5.396667,5.96297,4.51669,17.725093,8.020852,8.928636,15.107764,7.778463,17.886735,3.350074,17.549673,7.518816,7.448918,9.433369,15.783374,26.594264,7.098738,9.071557,14.79667,8.333056,3.38116,6.445137,16.626488,10.05032,20.631246,13.279987
"ENSSSCG00000000026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000000028",0.858748,0,0,0,0,0.159347,0,0,0,0.146694,0,0,0,0,0.636742,0,0,0,0.173825,0,0,0.170648,0,0,0,0.709042,0,0,0,0.149567,0.145103,0,0.108588,0.20662,0,0,0,0.207938,0.119052,0,0.12543,0,0,0,0,0,0.405297,0
"ENSSSCG00000000029",74.637377,3.18075,11.287348,5.202911,4.408233,52.904749,16.919326,19.224774,6.758168,102.838179,7.599169,17.968385,18.253055,2.421614,85.822742,17.531188,10.870472,4.188386,16.624211,3.347583,4.869118,45.985449,0.718262,2.080793,1.632216,68.709173,7.492003,4.293775,3.823027,1.977515,61.926827,4.709184,84.02142,5.905559,4.642147,14.19667,11.6148,84.778602,18.007363,1.722059,109.832828,8.42676,5.112785,3.045118,14.261226,5.376783,66.571231,11.475056
"ENSSSCG00000000031",3.698768,4.635399,4.662885,1.93692,5.419003,3.497117,2.690813,3.157068,6.366914,9.219691,3.882812,8.135473,24.57257,10.280302,5.375641,2.288674,4.708871,4.650078,3.445662,2.813575,9.214173,4.395652,2.916599,3.856908,5.883474,3.601464,4.072584,3.442712,1.966478,3.797778,4.584394,4.212924,4.464862,3.413152,6.072883,19.267616,3.318735,3.270429,4.240608,3.643217,5.914475,5.881464,2.638023,4.791403,3.713515,2.702528,5.360196,9.39126
"ENSSSCG00000000033",474.387393,309.406069,333.350336,327.642013,526.36964,418.7746,420.101131,417.633714,375.100238,449.048384,370.236449,435.859563,378.918577,373.455803,381.989396,383.484215,562.371607,300.242759,432.748903,278.074399,540.11182,455.464202,507.60385,371.74238,484.911103,416.262289,418.324504,349.529808,460.578171,353.607255,393.852533,477.264215,430.642697,486.635998,421.629702,471.899146,562.741454,464.36079,328.130227,517.565319,483.144794,512.729458,418.865297,393.125545,521.552864,466.749132,498.103266,409.018071
"ENSSSCG00000000034",62.516704,51.387336,52.86548,52.382374,50.509384,57.557231,43.674643,59.21483,73.808256,72.816796,48.472809,58.596595,65.074452,55.049734,46.060128,46.667419,45.201721,67.29706,61.96117,72.099244,94.109696,61.108756,61.887166,67.562412,50.724594,61.680649,72.340461,59.409829,53.294705,54.996097,56.440064,64.859529,47.42967,62.314927,55.777283,67.745693,56.401795,55.015118,62.010513,55.980606,71.835962,46.172074,67.837139,55.610104,58.869019,49.862447,57.082827,39.828685
"ENSSSCG00000000035",20.869591,19.494143,17.799656,20.953066,18.76666,16.760515,16.027021,21.337128,20.407655,20.239655,15.703483,19.290094,22.455227,15.735441,16.885799,21.244013,13.855182,20.628122,19.999717,22.581291,30.187356,20.483019,18.203349,21.842559,14.566406,19.042874,22.545831,20.240898,22.165461,16.886272,17.419453,27.065164,18.016926,20.370473,19.825746,20.384266,26.839047,20.08644,18.941682,18.228794,22.078324,22.17489,22.987035,21.128452,21.709353,21.267002,15.321604,20.740066
"ENSSSCG00000000036",63.923277,61.712295,68.176629,59.198895,58.837563,52.291163,57.948268,63.125427,64.516251,66.836254,70.157739,64.510303,75.452859,30.262187,53.237109,49.77733,47.88895,54.102079,79.293667,55.405336,75.349678,56.114214,43.293858,65.065624,36.890253,58.191671,72.515228,67.886861,54.3393,59.542308,50.255241,39.894968,58.203013,70.750046,60.582622,60.388379,65.113804,54.307818,55.601233,74.135298,60.715934,45.613116,53.030198,51.188435,70.086932,50.454885,54.93165,65.836823
"ENSSSCG00000000037",80.469003,80.047885,82.402578,78.635858,92.161643,86.795436,92.552415,96.540638,82.914575,81.777146,81.840241,88.328331,77.628635,69.630507,67.586232,69.83419,85.685299,88.673572,92.523716,90.06259,100.057893,87.822384,90.601609,86.498315,71.01608,75.019585,76.499459,91.375606,78.824131,83.069535,95.496774,88.732149,76.813773,93.746308,90.364661,95.296455,91.874152,85.237815,76.64555,77.836044,89.650551,94.301877,100.62203,85.919914,84.978723,91.433601,82.598075,85.677088
"ENSSSCG00000000038",402.712077,243.011086,292.174095,272.646168,292.604614,288.270427,337.989633,324.135154,526.237057,341.406587,263.41495,446.413095,267.863724,270.178883,333.726602,251.979211,392.398851,417.454383,376.170083,353.84612,461.35726,267.387321,415.597898,376.913211,410.796008,289.293804,343.303483,251.530081,354.994302,352.88411,284.15824,424.739512,246.76357,410.138206,491.161562,394.628469,241.51284,229.980031,240.795968,415.332608,360.352521,263.019206,424.745378,327.315408,324.909733,307.554444,221.354222,371.697558
"ENSSSCG00000000039",77.718154,69.870357,66.907349,68.909471,67.711901,65.166956,66.714187,67.795798,77.551165,76.015206,70.800631,74.62838,82.526307,48.991991,66.756716,70.167645,59.05684,78.215781,85.984085,79.798486,92.368895,80.477809,64.155935,68.845134,62.798837,66.648551,67.259984,74.60317,62.3982,79.609977,78.96006,63.797373,66.261714,81.142578,76.341196,84.482513,63.252335,73.124841,80.707118,57.271393,80.375534,56.531745,73.550713,70.330326,70.725961,71.490746,70.955208,70.708253
"ENSSSCG00000000040",0.915448,0.483646,1.463125,1.315215,0.40223,0.298163,0.100278,0.183025,0.178593,0.292243,0.327789,0.746425,1.05919,0.091937,0.196327,1.256712,0,0.828187,0.462541,2.392819,0.322565,0.526211,0.346248,0.831527,0.186744,0.423338,0.721364,0.166537,0.180697,0.099457,0.654579,0.33803,0.679048,0.555942,0.644634,0.429787,0.208719,0.491362,1.009742,0,0.597615,0.188456,0.510628,0.407776,0.348708,0.08302,1.310254,0.285353
"ENSSSCG00000000045",25.654419,20.408559,19.742501,20.15232,26.536645,18.055141,19.057395,23.999242,26.203588,23.867748,20.371208,32.106288,16.961495,28.66723,19.810841,21.480347,27.236489,19.634648,20.259744,21.730033,25.122239,29.665575,19.906015,23.590951,36.027467,23.948697,19.416059,17.524742,24.886699,18.695118,20.017261,19.643917,22.175231,22.339609,23.564914,13.252286,29.362174,16.136974,28.749187,17.654023,21.194193,24.306038,26.844769,23.615223,21.738141,22.130891,21.10485,27.558756
"ENSSSCG00000000046",1.884475,1.987877,2.21776,0.06593,1.086339,0.576716,1.408714,0.497694,1.479504,3.039527,0.878729,1.286568,2.46111,0.606712,1.085532,1.713982,1.31244,1.274194,0.837757,1.392944,2.051434,1.245111,0.408419,1.292504,0.884654,1.756048,1.223154,1.065761,1.417849,2.001976,1.599204,0.395448,2.557892,2.449706,1.669412,1.105862,1.27445,1.325409,1.056372,0.399515,2.695088,1.663591,0.691691,0.803517,1.799489,1.257938,2.699898,2.96328
"ENSSSCG00000000050",83.964771,59.559889,60.009627,52.501892,72.77384,75.030479,53.481902,62.155239,51.296749,85.664815,62.513076,50.614858,91.632051,34.818273,55.039096,63.879929,57.888449,51.962086,72.493637,58.401914,55.886341,71.470144,36.478072,50.286468,59.019475,81.880764,56.750149,70.718945,56.628894,63.0964,72.54168,49.464388,93.193332,67.848628,55.529878,70.619664,74.129596,102.776039,56.356487,62.435733,72.897683,63.048469,55.130632,59.834251,80.211738,73.411023,87.424478,62.163187
"ENSSSCG00000000058",129.777768,112.704721,119.138536,136.02455,138.200184,133.933348,134.249791,120.189834,143.198361,123.313063,105.400158,142.936266,130.553968,162.953968,109.960334,103.197002,140.301231,122.108084,126.438273,116.47252,140.301243,132.535294,134.249466,132.605568,145.256106,126.903152,118.790335,128.310307,170.595916,119.181462,127.140954,148.369333,111.896493,125.793286,144.714474,119.611887,124.817698,114.583771,141.575268,127.824704,130.496484,140.267108,140.210772,159.226961,117.783491,129.074478,125.503304,134.035707
"ENSSSCG00000000059",26.957806,20.774461,21.263926,17.34053,27.189723,23.032151,21.780021,23.242775,18.967281,31.101391,20.51206,23.254106,23.279301,20.595831,23.408174,19.103553,21.463233,23.004532,23.759478,20.643908,25.403925,25.13893,22.394993,23.28357,15.574244,27.418563,20.100664,23.229565,23.232107,23.643008,26.755314,21.765048,26.21683,24.618873,27.257696,22.109532,24.632426,26.60342,21.13538,19.764225,23.312792,22.808281,21.745569,25.420078,26.894678,28.445907,26.067903,19.593765
"ENSSSCG00000000061",16.279464,16.19814,13.925926,10.709449,12.416867,14.067701,13.546318,14.487018,12.191663,15.267255,13.928968,14.184824,18.838269,8.725847,15.602843,8.181205,14.68071,12.700193,17.158404,19.078292,14.903316,13.850181,8.174671,13.737799,13.722564,13.756156,11.30237,13.599367,11.254548,13.620077,13.184853,16.955147,10.545138,14.124485,12.832971,12.735854,12.253689,13.502533,15.329208,14.598605,15.996663,10.630256,11.870711,13.801544,12.781647,16.562813,11.082757,12.600058
"ENSSSCG00000000062",9.825705,3.59359,4.892329,5.874905,2.340005,5.387765,6.028288,5.524123,6.606206,4.5183,5.11821,8.507869,3.949826,7.92108,7.338728,5.076182,4.442758,8.097556,6.82918,6.899156,6.207183,3.480775,4.645339,3.481408,8.094354,4.435919,4.591753,4.911623,3.514134,6.35059,4.774049,8.639082,3.629665,4.237478,4.04525,4.291457,3.938258,3.469425,4.513258,3.382394,6.536787,2.905178,4.348505,7.41562,3.872307,5.096663,1.803324,4.073853
"ENSSSCG00000000063",8.941537,5.656932,4.7303,5.326301,4.210735,8.82323,5.343291,4.682445,7.320708,7.520261,5.457698,7.848298,6.862128,4.387662,5.720139,4.991407,4.554588,8.945747,6.962368,7.866855,9.858048,7.168569,4.822442,5.400991,4.26465,5.20825,5.179711,6.747221,4.683195,4.795703,4.648943,6.955757,6.046825,6.734994,6.033982,4.391599,4.919431,5.624796,7.82552,6.380272,5.897493,3.951715,5.795339,4.67677,5.952345,4.578698,7.195732,7.608316
"ENSSSCG00000000064",61.61365,52.573464,56.64598,48.115635,52.777861,59.566561,50.387335,55.68043,62.593133,61.882783,50.198763,63.532758,65.425914,43.053229,53.807418,55.350302,54.431443,57.962326,62.304777,61.175727,69.754294,60.470525,38.383627,59.51602,51.223079,59.586782,55.101096,57.167909,45.041791,61.513593,43.968356,41.24947,53.544998,65.624848,56.598958,60.118587,58.54147,54.608941,57.464915,55.489627,67.921031,55.814595,53.849472,55.733108,65.057017,59.48358,49.377834,57.970857
"ENSSSCG00000000066",12.388098,8.06011,9.776518,7.65154,9.376945,10.023264,7.975683,9.400201,8.502447,11.469973,7.641769,11.061524,10.472037,6.397339,9.12961,9.555782,7.528661,7.724443,9.265367,9.502537,11.729895,10.12993,5.570908,9.481266,6.658723,9.240205,10.052727,9.632899,8.059475,9.925614,10.694073,8.067194,7.415296,8.10335,7.167754,9.477202,9.894283,8.986334,9.181891,5.733319,12.961212,6.652617,7.979689,8.487203,9.396389,8.79059,10.356043,9.471418
"ENSSSCG00000000067",1.454272,1.219727,0.324608,0,0.785425,0.59857,0.810488,0.090932,0.104982,0.877692,0.544399,0.90739,1.463695,1.132917,0.281451,0.973217,0.155589,0.36736,0.2846,0.141973,0.072999,0.791053,0.808857,1.005714,0.784499,1.090327,1.151511,0.477398,0.118375,0.201503,1.322191,0.150442,0.637511,0.926308,0.271131,0.196324,0.373071,2.548372,0.397521,0.503794,0.571985,0.455343,0.971001,0.652986,2.011011,0.706194,1.710395,0.624039
"ENSSSCG00000000068",70.207302,55.8693,59.973202,57.978289,50.210094,57.708754,53.919913,49.001974,68.676138,64.304983,55.510565,61.752778,80.413788,47.3275,53.840213,53.287611,49.242661,64.923412,60.728188,55.389145,65.696719,57.54447,43.900457,56.67484,55.592022,59.723576,58.988557,65.476997,48.274786,58.861883,56.877567,52.481516,54.49788,56.762665,61.656848,63.459076,48.640694,64.257303,62.529492,51.821699,59.005292,41.076954,58.79258,53.085137,57.272324,57.259332,61.346819,49.408734
"ENSSSCG00000000071",224.638049,183.168964,241.911335,233.474414,229.976603,245.08157,212.268954,222.874351,240.854489,256.717389,221.136854,245.155894,232.827565,224.146577,228.226751,232.873711,252.466294,212.930809,247.39975,213.013578,270.335046,263.892793,297.329245,272.576254,222.82566,268.953062,205.582499,242.816234,326.278381,230.826077,251.622105,232.099843,262.697082,250.006301,238.634807,236.281197,214.589997,228.280098,279.109375,250.183691,287.067279,204.851,204.921585,251.720724,275.089427,225.761761,283.262681,232.811947
"ENSSSCG00000000072",51.551849,45.486313,41.15166,46.538113,53.433635,54.60163,45.354552,47.370614,36.835152,42.674395,41.362925,35.022971,49.078247,35.986795,30.302035,41.881387,47.395747,40.353712,47.459618,36.45672,48.843077,64.245623,38.542413,36.273278,45.26262,45.680922,34.307713,61.758404,43.657191,51.048633,46.257317,39.670962,50.495969,46.328355,48.683607,53.323088,54.130431,50.458219,45.915208,48.282294,40.595814,49.960971,43.001174,41.184932,59.47473,53.100679,52.48966,44.557683
"ENSSSCG00000000074",1.768357,1.637747,0.492919,0.558124,0.717936,1.321062,1.032365,0.754706,0.265069,0.840362,0.417357,1.042805,1.252165,0,0,1.680755,0.098347,1.387511,1.226388,2.176405,1.472252,0.156624,0.304733,1.59318,0.365402,0.437548,1.49674,0.757686,0.789729,0.283178,0,0.84754,1.003545,2.040758,2.359427,2.137864,1.184496,0.287391,0.888524,0.849437,0.597039,3.305385,2.140507,0.925776,2.627414,0.963755,0,0.50331
"ENSSSCG00000000075",39.258411,26.052684,27.421666,18.706347,19.731897,28.704407,20.091529,21.510008,37.33457,34.9844,19.456892,25.386342,34.176205,16.427539,25.664508,22.750932,19.912974,26.520879,26.437994,34.886213,28.114423,25.149054,12.393026,27.260129,15.262739,26.670209,31.593597,26.044432,18.134601,29.059792,27.486002,21.780326,24.095266,31.845078,28.911977,24.744159,19.956066,30.043948,36.088496,22.157589,32.138816,15.853887,25.027597,23.947888,26.388237,24.10445,25.010242,20.446842
"ENSSSCG00000000076",8.82558,11.455827,10.911844,6.314574,9.28669,8.345039,10.202109,8.410743,12.60547,10.029805,8.962351,9.527115,13.012106,5.108334,8.736404,8.223173,6.427624,12.193218,10.466415,12.774149,11.754175,8.738822,7.713349,12.294752,8.079627,8.656526,8.689284,11.12467,6.012096,12.388839,8.869886,12.224394,7.248957,8.069089,10.03735,7.923953,8.660458,7.487476,11.060838,8.729423,11.458875,8.80036,10.462738,8.204198,9.812243,10.419005,8.248642,8.96565
"ENSSSCG00000000077",29.352654,20.654445,20.159009,19.406799,18.917084,23.061866,19.163235,14.150165,25.002361,25.72684,16.593562,13.182423,24.454949,18.329184,21.363166,10.727197,20.211521,22.216771,19.603128,24.47866,26.124166,24.796714,17.002912,22.612693,24.246979,26.169121,18.555426,25.755602,21.000038,19.564315,20.003471,26.241009,23.114061,20.58044,20.870794,18.124344,21.662679,21.447822,27.029427,20.378191,25.401155,21.855875,19.250724,24.822388,16.31712,22.577502,24.523818,17.562057
"ENSSSCG00000000078",60.19621,39.465374,50.14461,34.136467,34.209243,46.364359,40.164634,30.745401,55.97672,52.318662,41.463788,39.746893,64.857712,35.472274,38.314604,36.57922,34.13826,55.47882,40.707798,52.060753,47.270913,42.355815,28.089418,47.116573,40.53351,49.989117,40.183435,49.433013,29.376185,47.521141,46.787247,49.493718,43.916164,38.505024,46.591695,44.053574,35.272431,49.886387,51.699929,34.439704,49.131664,29.073353,45.933274,40.834989,38.593504,41.366116,46.426566,38.236228
"ENSSSCG00000000079",0.802306,0.366664,0.541245,0.338844,0.209018,0.527663,0.524691,0.288914,0.225346,0.723952,0.256037,0.297132,0.627436,0.140238,0.666445,0.306927,0.231678,0.487677,0.353771,0.507972,0.219187,0.63074,0.142464,0.376748,0.721416,0.385495,0.65097,0.525127,0.475756,0.598078,0.437474,0.235666,0.485029,0.449465,0.370452,0.447294,0.249887,0.431488,0.900187,0.392047,0.486322,0.443464,0.38761,0.364457,0.263053,0.3588,0.691949,0.32399
"ENSSSCG00000000080",0.5278,0.597607,0.503257,0.189244,0.192667,0.099718,0.794642,0.217575,0.265311,0.371222,0.413806,0,0,0,0.50007,0,0.265441,0.358338,0.49251,0,0.055554,0.107556,0.153217,0,0,0.218631,0.428448,0.25918,0,0,0.181822,0.125504,0.552875,0.133315,0.634286,0.146073,0.372447,0.064647,0.296116,0.628362,0.158071,0,0.125684,0.056011,0.2352,0.600263,0,0.065523
"ENSSSCG00000000081",0,0,0,0.119648,0,0,0,0,0,0,0.257357,0,0,0,0.25497,0,0,0.096031,0,0,0,0.137123,0,0,0,0,0,0,0,0,0,0,0,0,0.098873,0,0,0,0.091402,0,0,0,0,0.067914,0,0,0.092248,0
"ENSSSCG00000000082",0.361685,0,0.075073,0.021333,0,0.116975,0,0,0.241728,0,0,0.159372,0.04551,0,0.045176,0,0,0.043297,0,0.049988,0,0.874562,0.053975,0,0.016695,0.062188,0.079673,0,0,0.043065,0.091516,0,0.021868,0.0752,0.109563,0.03285,0,0.086186,0.022683,0.040718,0.360935,0,0,0,0.04484,0.04446,0.24762,0.030066
"ENSSSCG00000000087",16.987644,15.121545,18.142278,15.001678,14.788714,15.634302,19.014969,12.919607,22.253383,23.981363,16.002168,21.18147,23.306511,12.204802,18.51195,13.330094,12.476418,21.332425,18.822416,18.653156,22.239412,15.307237,9.478106,20.375938,13.915679,21.169056,18.238594,21.638003,13.125944,15.581513,13.265137,17.837788,15.308817,17.319398,21.997951,18.568497,16.445341,17.991151,22.666423,14.170137,20.126814,11.83468,18.080245,16.610463,14.792096,15.731584,18.970508,20.428401
"ENSSSCG00000000091",10.181726,5.40053,4.560474,4.09522,4.684908,4.827558,5.177453,3.617953,4.686337,8.967958,4.344721,5.222909,7.317444,0,7.632624,6.890868,6.807299,3.487635,4.701194,0.609773,7.133703,4.567569,2.843638,2.991543,4.530676,9.905416,4.979377,5.866185,3.458399,2.797405,8.502609,1.910736,6.443897,2.176749,3.168208,7.867009,6.629627,10.299379,6.122188,3.888808,7.271532,5.936755,2.547614,4.166989,7.630234,5.648844,7.174426,6.478851
