"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category","mouse_symbol","ortholog_name","input","input_number","input_ensg","ensg_number","ortholog_ensg","description","n_human_orthologs","n_mouse_inputs","Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","human_symbol","CellAge_effect_current","FDR_1W_num","FDR_4W_num","logFC_1W_num","logFC_4W_num","FDR_1W_safe","FDR_4W_safe","rank_component_1W","rank_component_4W","combined_effect_score","mean_logFC","plot_direction"
"G10090_14122",56401,"P3h1",1.63425877377084,5.10331696807295e-10,"Up",1.13725136690321,1.11135108909932e-05,"Up","Up","persistent_direction_consistent","P3h1","P3H1","P3h1",217,"ENSMUSG00000028641","217.1.1","ENSG00000117385","prolyl 3-hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:19316]",1,1,64175,"P3H1","prolyl 3-hydroxylase 1","No","Replicative","Inhibits",26206181,"P3H1","Inhibits",5.10331696807295e-10,1.11135108909932e-05,1.63425877377084,1.13725136690321,5.10331696807295e-10,1.11135108909932e-05,15.1857735083006,5.63411240430181,20.8198859126024,1.38575507033703,"Up in ACLR"
"G10090_14332",17698,"Msn",1.10171193083306,1.13859767265284e-07,"Up",1.09872099518668,1.13418167011298e-05,"Up","Up","persistent_direction_consistent","Msn","MSN","Msn",226,"ENSMUSG00000031207","226.1.1","ENSG00000147065","moesin [Source:HGNC Symbol;Acc:HGNC:7373]",1,1,4478,"MSN","moesin","No","Unclear","Inhibits",20376899,"MSN","Inhibits",1.13859767265284e-07,1.13418167011298e-05,1.10171193083306,1.09872099518668,1.13859767265284e-07,1.13418167011298e-05,7.64987969285698,5.43352402862088,13.0834037214779,1.10021646300987,"Up in ACLR"
"G10090_14431",94352,"Loxl2",1.74047856913474,1.28164851611697e-06,"Up",1.475981140634,2.23633937727112e-05,"Up","Up","persistent_direction_consistent","Loxl2","LOXL2","Loxl2",240,"ENSMUSG00000034205","240.1.1","ENSG00000134013","lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]",1,1,4017,"LOXL2","lysyl oxidase like 2","No","Oncogene-induced","Inhibits",24113189,"LOXL2","Inhibits",1.28164851611697e-06,2.23633937727112e-05,1.74047856913474,1.475981140634,1.28164851611697e-06,2.23633937727112e-05,10.255301885998,6.8639946339657,17.1192965199637,1.60822985488437,"Up in ACLR"
"G10090_14558",320207,"Pik3r5",1.45646828091137,4.01686895804901e-07,"Up",1.16259589437712,4.6426920926992e-05,"Up","Up","persistent_direction_consistent","Pik3r5","PIK3R5","Pik3r5",244,"ENSMUSG00000020901","244.1.1","ENSG00000141506","phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]",1,1,23533,"PIK3R5","phosphoinositide-3-kinase regulatory subunit 5","No","Unclear","Induces",26583757,"PIK3R5","Induces",4.01686895804901e-07,4.6426920926992e-05,1.45646828091137,1.16259589437712,4.01686895804901e-07,4.6426920926992e-05,9.31573473851048,5.03779554476333,14.3535302832738,1.30953208764425,"Up in ACLR"
"G10090_14602",20677,"Sox4",1.8868333920114,1.19984285717762e-11,"Up",1.57240384754254,6.38822267926656e-06,"Up","Up","persistent_direction_consistent","Sox4","SOX4","Sox4",246,"ENSMUSG00000076431","246.1.1","ENSG00000124766","SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]",1,1,6659,"SOX4","SRY-box transcription factor 4","Yes","Stress-induced","Inhibits",27446439,"SOX4","Inhibits",1.19984285717762e-11,6.38822267926656e-06,1.8868333920114,1.57240384754254,1.19984285717762e-11,6.38822267926656e-06,20.6058728078579,8.16804040176284,28.7739132096208,1.72961861977697,"Up in ACLR"
"G10090_1484",12411,"Cbs",-2.18200334632883,1.19625996009651e-05,"Down",-1.76907168235951,0.00194442879476205,"Down","Down","persistent_direction_consistent","Cbs","CBS","Cbs",257,"ENSMUSG00000024039","257.1.1","ENSG00000160200","cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]",1,1,875,"CBS","cystathionine beta-synthase","No","Replicative","Inhibits",23117410,"CBS","Inhibits",1.19625996009651e-05,0.00194442879476205,-2.18200334632883,-1.76907168235951,1.19625996009651e-05,0.00194442879476205,10.7402010845681,4.79632122020625,15.5365223047743,-1.97553751434417,"Down in ACLR"
"G10090_15259",20779,"Src",1.34851304455832,1.87150212791105e-08,"Up",1.05708696262221,2.58293951451557e-05,"Up","Up","persistent_direction_consistent","Src","SRC","Src",280,"ENSMUSG00000027646","280.1.1","ENSG00000197122","SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]",1,1,6714,"SRC","SRC proto-oncogene, non-receptor tyrosine kinase","Yes","Stress-induced","Inhibits",16204065,"SRC","Inhibits",1.87150212791105e-08,2.58293951451557e-05,1.34851304455832,1.05708696262221,1.87150212791105e-08,2.58293951451557e-05,10.421052152269,4.84979422682242,15.2708463790914,1.20280000359026,"Up in ACLR"
"G10090_15377",326623,"Tnfsf15",4.02207203032693,3.44137164326669e-09,"Up",2.83261872891062,2.35910316007353e-05,"Up","Up","persistent_direction_consistent","Tnfsf15","TNFSF15","Tnfsf15",286,"ENSMUSG00000050395","286.1.1","ENSG00000181634","TNF superfamily member 15 [Source:HGNC Symbol;Acc:HGNC:11931]",1,1,9966,"TNFSF15","TNF superfamily member 15","No","Replicative","Induces",20675618,"TNFSF15","Induces",3.44137164326669e-09,2.35910316007353e-05,4.02207203032693,2.83261872891062,3.44137164326669e-09,2.35910316007353e-05,34.0398752140476,13.1072437028266,47.1471189168742,3.42734537961877,"Up in ACLR"
"G10090_16431",13605,"Ect2",2.79091970781436,1.04309809573181e-08,"Up",1.40725421732259,0.00324443385475325,"Up","Up","persistent_direction_consistent","Ect2","ECT2","Ect2",343,"ENSMUSG00000027699","343.1.1","ENSG00000114346","epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155]",1,1,1894,"ECT2","epithelial cell transforming 2","Yes","Oncogene-induced","Inhibits",28806777,"ECT2","Inhibits",1.04309809573181e-08,0.00324443385475325,2.79091970781436,1.40725421732259,1.04309809573181e-08,0.00324443385475325,22.2762136330851,3.50246024483715,25.7786738779222,2.09908696256847,"Up in ACLR"
"G10090_16466",93735,"Wnt16",4.14759073448876,7.36001216176245e-08,"Up",3.9999084394722,4.44823186753004e-06,"Up","Up","persistent_direction_consistent","Wnt16","WNT16","Wnt16",344,"ENSMUSG00000029671","344.1.1","ENSG00000002745","Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]",1,1,51384,"WNT16","Wnt family member 16","No","Replicative","Induces",19951988,"WNT16","Induces",7.36001216176245e-08,4.44823186753004e-06,4.14759073448876,3.9999084394722,7.36001216176245e-08,4.44823186753004e-06,29.5852685087803,21.4067603168146,50.9920288255949,4.07374958698048,"Up in ACLR"
"G10090_16565",22137,"Ttk",2.65465338621027,1.51635724332518e-08,"Up",1.35595990473009,0.00118028686480976,"Up","Up","persistent_direction_consistent","Ttk","TTK","Ttk",351,"ENSMUSG00000038379","351.1.1","ENSG00000112742","TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]",1,1,7272,"TTK","TTK protein kinase","Yes","Unclear","Inhibits",27618777,"TTK","Inhibits",1.51635724332518e-08,0.00118028686480976,2.65465338621027,1.35595990473009,1.51635724332518e-08,0.00118028686480976,20.7572616954641,3.97026745024874,24.7275291457129,2.00530664547018,"Up in ACLR"
"G10090_16579",16416,"Itgb3",1.11435825736116,1.71968760171143e-05,"Up",1.07003954627892,5.65320706279438e-05,"Up","Up","persistent_direction_consistent","Itgb3","ITGB3","Itgb3",352,"ENSMUSG00000020689","352.1.1","ENSG00000259207","integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]",1,1,3690,"ITGB3","integrin subunit beta 3","Yes","Oncogene-induced","Induces",28273461,"ITGB3","Induces",1.71968760171143e-05,5.65320706279438e-05,1.11435825736116,1.07003954627892,1.71968760171143e-05,5.65320706279438e-05,5.3094161252297,4.54521244556116,9.85462857079086,1.09219890182004,"Up in ACLR"
"G10090_16680",12394,"Runx1",2.74383629655089,8.84067537544994e-12,"Up",2.30925915512754,2.17153995462432e-06,"Up","Up","persistent_direction_consistent","Runx1","RUNX1","Runx1",360,"ENSMUSG00000022952","360.1.1","ENSG00000159216","RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]",1,1,861,"RUNX1","RUNX family transcription factor 1","No","Unclear","Induces",19448675,"RUNX1","Induces",8.84067537544994e-12,2.17153995462432e-06,2.74383629655089,2.30925915512754,8.84067537544994e-12,2.17153995462432e-06,30.3290344437084,13.0778707490062,43.4069051927145,2.52654772583922,"Up in ACLR"
"G10090_16803",14745,"Lpar1",1.29360417805924,5.43237703801825e-07,"Up",1.18366342126708,4.50321060472379e-06,"Up","Up","persistent_direction_consistent","Lpar1","LPAR1","Lpar1",365,"ENSMUSG00000038668","365.1.1","ENSG00000198121","lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]",1,1,1902,"LPAR1","lysophosphatidic acid receptor 1","Yes","Unclear","Induces",27641212,"LPAR1","Induces",5.43237703801825e-07,4.50321060472379e-06,1.29360417805924,1.18366342126708,5.43237703801825e-07,4.50321060472379e-06,8.10444323468485,6.32843013536909,14.4328733700539,1.23863379966316,"Up in ACLR"
"G10090_17113",26934,"Racgap1",2.10037105190806,2.93243325525024e-10,"Up",1.00543283314151,0.000814512188844454,"Up","Up","persistent_direction_consistent","Racgap1","RACGAP1","Racgap1",382,"ENSMUSG00000023015","382.1.1","ENSG00000161800","Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]",1,1,29127,"RACGAP1","Rac GTPase activating protein 1","Yes","Oncogene-induced","Inhibits",27216196,"RACGAP1","Inhibits",2.93243325525024e-10,0.000814512188844454,2.10037105190806,1.00543283314151,2.93243325525024e-10,0.000814512188844454,20.0223580676371,3.105884990229,23.1282430578661,1.55290194252479,"Up in ACLR"
"G10090_17242",12578,"Cdkn2a",2.2541111665221,5.20968138706871e-05,"Up",2.96112346985525,0.00015604593375292,"Up","Up","persistent_direction_consistent","Cdkn2a","CDKN2A","Cdkn2a",389,"ENSMUSG00000044303","389.1.1","ENSG00000147889","cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]",1,1,1029,"CDKN2A","cyclin dependent kinase inhibitor 2A","No","Replicative","Induces",9607312,"CDKN2A","Induces",5.20968138706871e-05,0.00015604593375292,2.2541111665221,2.96112346985525,5.20968138706871e-05,0.00015604593375292,9.654783784467,11.2722494954721,20.9270332799391,2.60761731818867,"Up in ACLR"
"G10090_17274",16854,"Lgals3",1.61038993415004,2.60606051242501e-06,"Up",1.35000868464952,9.15540073024524e-05,"Up","Up","persistent_direction_consistent","Lgals3","LGALS3","Lgals3",390,"ENSMUSG00000050335","390.1.1","ENSG00000131981","galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]",1,1,3958,"LGALS3","galectin 3","Yes","Unclear","Inhibits",24971481,"LGALS3","Inhibits",2.60606051242501e-06,9.15540073024524e-05,1.61038993415004,1.35000868464952,2.60606051242501e-06,9.15540073024524e-05,8.99244236016343,5.45177063805579,14.4442129982192,1.48019930939978,"Up in ACLR"
"G10090_17992",16181,"Il1rn",3.98683853978937,1.03916459595149e-06,"Up",1.07379412677475,0.0112185772059591,"Up","Up","persistent_direction_consistent","Il1rn","IL1RN","Il1rn",415,"ENSMUSG00000026981","415.1.1","ENSG00000136689","interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]",1,1,3557,"IL1RN","interleukin 1 receptor antagonist","No","Replicative","Unclear",12764021,"IL1RN","Unclear",1.03916459595149e-06,0.0112185772059591,3.98683853978937,1.07379412677475,1.03916459595149e-06,0.0112185772059591,23.8545134609403,2.09396535750786,25.9484788184481,2.53031633328206,"Up in ACLR"
"G10090_18702",12703,"Socs1",1.61824115045993,3.75552030068156e-09,"Up",1.18191547275918,0.000416947093551061,"Up","Up","persistent_direction_consistent","Socs1","SOCS1","Socs1",443,"ENSMUSG00000038037","443.1.1","ENSG00000185338","suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]",1,1,8651,"SOCS1","suppressor of cytokine signaling 1","No","Replicative","Induces",20005840,"SOCS1","Induces",3.75552030068156e-09,0.000416947093551061,1.61824115045993,1.18191547275918,3.75552030068156e-09,0.000416947093551061,13.6342155278441,3.99477862091189,17.628994148756,1.40007831160955,"Up in ACLR"
"G10090_19693",13837,"Epha3",2.47875246329713,1.42864176518152e-05,"Up",1.05757955409583,0.0134124988382905,"Up","Up","persistent_direction_consistent","Epha3","EPHA3","Epha3",482,"ENSMUSG00000052504","482.1.1","ENSG00000044524","EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]",1,1,2042,"EPHA3","EPH receptor A3","Yes","Unclear","Inhibits",23324396,"EPHA3","Inhibits",1.42864176518152e-05,0.0134124988382905,2.47875246329713,1.05757955409583,1.42864176518152e-05,0.0134124988382905,12.0097457003343,1.98030745931684,13.9900531596512,1.76816600869648,"Up in ACLR"
"G10090_19840",244864,"Layn",1.66027633789722,8.70593240889801e-10,"Up",1.08841970711597,5.52762643041413e-05,"Up","Up","persistent_direction_consistent","Layn","LAYN","Layn",491,"ENSMUSG00000060594","491.1.1","ENSG00000204381","layilin [Source:HGNC Symbol;Acc:HGNC:29471]",1,1,143903,"LAYN","layilin","No","Unclear","Induces",21740549,"LAYN","Induces",8.70593240889801e-10,5.52762643041413e-05,1.66027633789722,1.08841970711597,8.70593240889801e-10,5.52762643041413e-05,15.0424102892317,4.6339047978047,19.6763150870364,1.3743480225066,"Up in ACLR"
"G10090_20518",12235,"Bub1",3.70320243758361,2.02750651260511e-08,"Up",1.04351610496594,0.0142382976619916,"Up","Up","persistent_direction_consistent","Bub1","BUB1","Bub1",524,"ENSMUSG00000027379","524.1.1","ENSG00000169679","BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]",1,1,699,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase","No","Oncogene-induced","Inhibits",17488820,"BUB1","Inhibits",2.02750651260511e-08,0.0142382976619916,3.70320243758361,1.04351610496594,2.02750651260511e-08,0.0142382976619916,28.4888761189905,1.92689624460098,30.4157723635915,2.37335927127477,"Up in ACLR"
"G10090_20554",17436,"Me1",-1.16260030761282,0.000116755663126388,"Down",-1.06401983704445,2.34114942493779e-05,"Down","Down","persistent_direction_consistent","Me1","ME1","Me1",526,"ENSMUSG00000032418","526.1.1","ENSG00000065833","malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]",1,1,4199,"ME1","malic enzyme 1","Yes","Stress-induced","Inhibits",25994759,"ME1","Inhibits",0.000116755663126388,2.34114942493779e-05,-1.16260030761282,-1.06401983704445,0.000116755663126388,2.34114942493779e-05,4.5721838594998,4.92701925866192,9.49920311816171,-1.11331007232863,"Down in ACLR"
"G10090_2107",17242,"Mdk",3.64437610153065,1.62594475173558e-09,"Up",2.37689074258688,2.24607050480471e-05,"Up","Up","persistent_direction_consistent","Mdk","MDK","Mdk",546,"ENSMUSG00000027239","546.1.1","ENSG00000110492","midkine [Source:HGNC Symbol;Acc:HGNC:6972]",1,1,4192,"MDK","midkine","No","Stress-induced","Inhibits",31219803,"MDK","Inhibits",1.62594475173558e-09,2.24607050480471e-05,3.64437610153065,2.37689074258688,1.62594475173558e-09,2.24607050480471e-05,32.0300360377044,11.049158722948,43.0791947606524,3.01063342205877,"Up in ACLR"
"G10090_21458",12534,"Cdk1",3.0513420887995,2.55018027734037e-08,"Up",1.27355065667407,0.00269459766653784,"Up","Up","persistent_direction_consistent","Cdk1","CDK1","Cdk1",559,"ENSMUSG00000019942","559.1.1","ENSG00000170312","cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]",1,1,983,"CDK1","cyclin dependent kinase 1","Yes","Unclear","Inhibits",23324396,"CDK1","Inhibits",2.55018027734037e-08,0.00269459766653784,3.0513420887995,1.27355065667407,2.55018027734037e-08,0.00269459766653784,23.1701498640429,3.2723961435953,26.4425460076382,2.16244637273679,"Up in ACLR"
"G10090_21820",57740,"Stk32c",1.30909332852927,8.44976511561088e-05,"Up",1.35917727389271,0.000105255931323144,"Up","Up","persistent_direction_consistent","Stk32c","STK32C","Stk32c",582,"ENSMUSG00000015981","582.1.1","ENSG00000165752","serine/threonine kinase 32C [Source:HGNC Symbol;Acc:HGNC:21332]",1,1,282974,"STK32C","serine/threonine kinase 32C","No","Unclear","Induces",26583757,"STK32C","Induces",8.44976511561088e-05,0.000105255931323144,1.30909332852927,1.35917727389271,8.44976511561088e-05,0.000105255931323144,5.33214051214406,5.40647205190175,10.7386125640458,1.33413530121099,"Up in ACLR"
"G10090_22128",20377,"Sfrp1",2.53600744338347,2.70379447302713e-11,"Up",1.62953331242188,1.71644574141104e-05,"Up","Up","persistent_direction_consistent","Sfrp1","SFRP1","Sfrp1",598,"ENSMUSG00000031548","598.1.1","ENSG00000104332","secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]",1,1,6422,"SFRP1","secreted frizzled related protein 1","No","Stress-induced","Induces",22927647,"SFRP1","Induces",2.70379447302713e-11,1.71644574141104e-05,2.53600744338347,1.62953331242188,2.70379447302713e-11,1.71644574141104e-05,26.8005934196768,7.76532903148399,34.5659224511608,2.08277037790267,"Up in ACLR"
"G10090_22339",20613,"Snai1",2.09804045225347,1.27077763829977e-09,"Up",1.75156197993856,4.28062718074365e-05,"Up","Up","persistent_direction_consistent","Snai1","SNAI1","Snai1",610,"ENSMUSG00000042821","610.1.1","ENSG00000124216","snail family transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:11128]",1,1,6615,"SNAI1","snail family transcriptional repressor 1","Yes","Unclear","Inhibits",20397042,"SNAI1","Inhibits",1.27077763829977e-09,4.28062718074365e-05,2.09804045225347,1.75156197993856,1.27077763829977e-09,4.28062718074365e-05,18.6640219151571,7.65168553938996,26.3157074545471,1.92480121609601,"Up in ACLR"
"G10090_22453",11622,"Ahr",1.35111259703672,1.53266543794143e-07,"Up",1.10841803488383,5.80047810415888e-05,"Up","Up","persistent_direction_consistent","Ahr","AHR","Ahr",623,"ENSMUSG00000019256","623.1.1","ENSG00000106546","aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]",1,1,196,"AHR","aryl hydrocarbon receptor","No","Stress-induced","Induces",15111621,"AHR","Induces",1.53266543794143e-07,5.80047810415888e-05,1.35111259703672,1.10841803488383,1.53266543794143e-07,5.80047810415888e-05,9.2072279096107,4.69585313867116,13.9030810482819,1.22976531596027,"Up in ACLR"
"G10090_22706",14824,"Grn",1.44094301502236,2.68736849900177e-07,"Up",1.06449417706687,0.000159860197556374,"Up","Up","persistent_direction_consistent","Grn","GRN","Grn",637,"ENSMUSG00000034708","637.1.1","ENSG00000030582","granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]",1,1,2896,"GRN","granulin precursor","Yes","Unclear","Inhibits",26600492,"GRN","Inhibits",2.68736849900177e-07,0.000159860197556374,1.44094301502236,1.06449417706687,2.68736849900177e-07,0.000159860197556374,9.46796504329465,4.04109629702115,13.5090613403158,1.25271859604462,"Up in ACLR"
"G10090_23738",20692,"Sparc",1.98484774677195,6.08884661681166e-08,"Up",1.18043391627224,0.000102878823036895,"Up","Up","persistent_direction_consistent","Sparc","SPARC","Sparc",672,"ENSMUSG00000018593","672.1.1","ENSG00000113140","secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]",1,1,6678,"SPARC","secreted protein acidic and cysteine rich","Yes","Stress-induced","Induces",20164124,"SPARC","Induces",6.08884661681166e-08,0.000102878823036895,1.98484774677195,1.18043391627224,6.08884661681166e-08,0.000102878823036895,14.3215993797811,4.70718565179882,19.02878503158,1.5826408315221,"Up in ACLR"
"G10090_24385",15116,"Has1",1.68554154084839,0.000521584069418186,"Up",3.01875009779288,4.91945196163869e-05,"Up","Up","persistent_direction_consistent","Has1","HAS1","Has1",705,"ENSMUSG00000003665","705.1.1","ENSG00000105509","hyaluronan synthase 1 [Source:HGNC Symbol;Acc:HGNC:4818]",1,1,3036,"HAS1","hyaluronan synthase 1","No","Stress-induced","Inhibits",31219803,"HAS1","Inhibits",0.000521584069418186,4.91945196163869e-05,1.68554154084839,3.01875009779288,0.000521584069418186,4.91945196163869e-05,5.53308622646347,13.0050268105762,18.5381130370397,2.35214581932064,"Up in ACLR"
